elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000026, 10.000026, 47309, 712, 1965.3, 1455, 4285, 6040, 13066, 24824, 0
20.000435, 10.000409, 43239, 657, 2036.1, 1452, 4533, 7612, 15936, 33561, 0
30.000457, 10.000022, 29834, 602, 1756.7, 1236, 4214, 7768, 15766, 421007, 0
40.000434, 9.999977, 31078, 586, 1804.5, 1249, 4431, 8701, 17790, 380617, 0
50.000372, 9.999938, 28500, 604, 1668.2, 1216, 4064, 6892, 15343, 34937, 0
60.000387, 10.000015, 38174, 594, 2011.3, 1364, 4843, 9163, 16475, 36171, 0
70.000447, 10.00006, 36899, 618, 2057.4, 1399, 5020, 9412, 17738, 30222, 0
80.000355, 9.999908, 30564, 596, 1885.3, 1312, 4512, 8715, 16205, 45138, 0
90.000419, 10.000064, 36168, 619, 2158.9, 1425, 5280, 10856, 18595, 39943, 0
100.000382, 9.999963, 41386, 599, 2163.8, 1449, 5272, 10259, 17722, 49095, 0
110.000406, 10.000024, 36258, 643, 2090.2, 1369, 5227, 10294, 17457, 40710, 0
120.000399, 9.999993, 41097, 645, 2215.5, 1424, 5589, 10986, 18351, 51115, 0
130.000406, 10.000007, 33842, 592, 2117.2, 1396, 5192, 10292, 18426, 51115, 0
140.000357, 9.999951, 35838, 594, 2218.1, 1413, 5585, 11250, 20235, 242226, 0
150.000373, 10.000016, 30249, 603, 2049.4, 1339, 5215, 10193, 18294, 130834, 0
160.000436, 10.000063, 38501, 615, 2007.6, 1347, 4921, 10799, 18428, 37496, 0
170.000376, 9.99994, 11086, 584, 1255.9, 928, 1536, 7447, 60021, 168284, 0
180.000366, 9.99999, 5390, 583, 2128.7, 907, 1523, 42302, 128239, 266469, 3057
190.000378, 10.000012, 4655, 604, 2374.1, 909, 1901, 41056, 133898, 217371, 0
200.000388, 10.00001, 4066, 585, 2991.2, 907, 6754, 40926, 269034, 764896, 3207
210.000365, 9.999977, 2686, 605, 3635.3, 919, 12611, 67862, 187418, 505402, 54484
220.000362, 9.999997, 1372, 615, 7989.8, 964, 28297, 142071, 619233, 837398, 72818
230.000374, 10.000012, 1708, 611, 4150.8, 960, 17878, 47254, 247402, 536672, 70850
240.000359, 9.999985, 1600, 631, 4618.1, 964, 19860, 59080, 246074, 399944, 79974
250.000381, 10.000022, 1164, 579, 7916.8, 999, 32593, 181566, 314031, 360567, 74383
260.000361, 9.99998, 1228, 632, 8192.4, 1013, 23963, 93409, 1280813, 1438544, 72512
270.000365, 10.000004, 1181, 608, 7049.3, 1004, 27955, 151049, 336088, 396780, 90156
280.000366, 10.000001, 811, 619, 11342.1, 1027, 38488, 268744, 702762, 821173, 132136
290.000383, 10.000017, 1054, 639, 9336.5, 1025, 38374, 180209, 332488, 458825, 100051
300.000502, 10.000119, 1043, 622, 5886.0, 999, 22181, 79147, 277004, 314922, 138035
310.000363, 9.999861, 977, 646, 20385.7, 1049, 111691, 338514, 691969, 904390, 127739
320.000359, 9.999996, 881, 657, 15383.4, 1036, 59515, 327374, 560188, 780598, 72760
330.000383, 10.000024, 1008, 664, 11587.3, 1038, 60169, 166558, 399993, 413097, 102781
340.00036, 9.999977, 898, 572, 12869.0, 1051, 54763, 244028, 611449, 613958, 109401
350.00036, 10.0, 964, 620, 25422.0, 1087, 138135, 446783, 767134, 875289, 74955
360.000372, 10.000012, 1040, 633, 11031.7, 1038, 49897, 179168, 330013, 490369, 119823
370.000497, 10.000125, 838, 611, 12228.4, 1063, 56270, 224333, 356225, 401082, 105575
380.000384, 9.999887, 964, 633, 17663.3, 1054, 95462, 240311, 352470, 548222, 97927
390.000355, 9.999971, 903, 630, 9035.3, 1020, 40931, 144913, 219618, 381259, 99683
400.000406, 10.000051, 931, 610, 12525.0, 1026, 54893, 196706, 547496, 644380, 92122
410.000366, 9.99996, 864, 603, 16629.6, 1034, 105743, 274077, 395143, 410104, 146089
420.000366, 10.0, 1123, 670, 10824.0, 1031, 57944, 143634, 295953, 335187, 95248
430.00047, 10.000104, 814, 612, 14935.7, 1037, 83755, 257052, 391189, 403553, 150038
440.000355, 9.999885, 1028, 605, 24119.7, 1053, 135641, 370406, 555508, 658620, 108742
450.000382, 10.000027, 967, 630, 9404.9, 1055, 38063, 156684, 307509, 668214, 93956
460.000384, 10.000002, 929, 587, 10538.6, 1021, 63605, 167510, 294794, 320531, 113559
470.000404, 10.00002, 1087, 623, 23274.5, 1056, 136233, 320952, 572139, 659301, 121121
480.000363, 9.999959, 852, 623, 13080.9, 1030, 60577, 224511, 319225, 332426, 151906
490.000358, 9.999995, 994, 608, 17016.7, 1058, 87100, 290348, 470265, 565807, 122354
500.000368, 10.00001, 883, 674, 28360.7, 1088, 155657, 334694, 1043024, 1428672, 127144
510.00036, 9.999992, 1000, 670, 28928.7, 1081, 181684, 375995, 839560, 987438, 74177
520.000377, 10.000017, 890, 667, 24009.4, 1061, 149866, 353485, 491711, 593356, 108072
530.000379, 10.000002, 959, 653, 32210.1, 1087, 202975, 430371, 755531, 989064, 65228
540.000372, 9.999993, 914, 660, 19855.2, 1061, 133253, 270039, 569003, 698648, 99610
550.000386, 10.000014, 883, 649, 22490.5, 1057, 131178, 298875, 452590, 1202742, 146549
560.000453, 10.000067, 726, 625, 32804.7, 1084, 193916, 422007, 1062142, 1738745, 127233
570.00044, 9.999987, 854, 626, 38380.3, 1107, 217876, 491332, 806007, 877436, 101684
580.000363, 9.999923, 880, 622, 35568.8, 1089, 231455, 415495, 630701, 850798, 94491
590.000368, 10.000005, 782, 662, 57175.9, 1111, 315986, 796937, 1539874, 1679914, 74953
600.00036, 9.999992, 912, 650, 48634.4, 1119, 274415, 527254, 991957, 1615939, 53007
610.000367, 10.000007, 884, 613, 44187.0, 1105, 210962, 630362, 1909188, 2059093, 21866
620.000364, 9.999997, 759, 676, 55298.4, 1116, 372523, 679373, 1381643, 1853487, 31874
630.000377, 10.000013, 909, 630, 30848.3, 1069, 180025, 513441, 841086, 1304337, 42882
640.00038, 10.000003, 861, 647, 24001.3, 1064, 121819, 397427, 980296, 1143603, 46537
650.000359, 9.999979, 885, 644, 35037.7, 1076, 182126, 481617, 1165703, 1419373, 32997
660.000373, 10.000014, 912, 595, 30385.9, 1061, 181286, 369105, 752115, 817938, 61447
670.000358, 9.999985, 997, 624, 18919.8, 1048, 97823, 271570, 682514, 1004518, 91407
680.000353, 9.999995, 857, 636, 35086.3, 1062, 214758, 534636, 857232, 1328880, 85564
690.000442, 10.000089, 1027, 665, 22214.1, 1063, 144548, 280865, 525211, 761159, 50151
700.000391, 9.999949, 1062, 622, 37474.4, 1059, 224432, 458999, 931649, 942153, 49012
710.000381, 9.99999, 1007, 663, 29363.6, 1088, 164427, 408185, 697544, 801478, 48170
720.000355, 9.999974, 1000, 638, 25963.6, 1050, 178021, 387768, 725051, 770220, 52851
730.000359, 10.000004, 1104, 660, 27025.2, 1049, 177847, 367049, 884396, 946945, 46174
740.00037, 10.000011, 1071, 598, 28268.6, 1042, 187774, 341777, 681591, 919911, 45557
750.000353, 9.999983, 1153, 637, 17111.4, 1013, 103750, 313099, 715633, 820036, 97293
760.000378, 10.000025, 1162, 576, 24905.9, 1043, 154070, 445650, 827066, 1174550, 65115
770.000379, 10.000001, 1111, 641, 22249.2, 1031, 105088, 428582, 868819, 1054269, 59463
780.000363, 9.999984, 1173, 657, 17502.9, 1033, 102713, 261852, 764618, 1054438, 38076
790.000357, 9.999994, 1175, 624, 11696.6, 1024, 44424, 223235, 778889, 1150765, 36837
800.000359, 10.000002, 1087, 650, 11609.2, 1018, 48529, 166887, 1147565, 1298919, 55107
810.000382, 10.000023, 1264, 555, 8046.3, 1000, 33944, 145076, 474357, 621591, 64603
820.000353, 9.999971, 1262, 588, 20007.9, 999, 137671, 341462, 587507, 889114, 68025
830.000375, 10.000022, 1387, 616, 25148.7, 1037, 167346, 366179, 655147, 825439, 6548
840.000363, 9.999988, 1141, 612, 26780.4, 1035, 158659, 489394, 880780, 1499291, 22777
850.000364, 10.000001, 1494, 572, 17001.9, 1011, 120592, 256050, 417771, 528146, 35825
860.000374, 10.00001, 1437, 613, 31799.6, 1039, 191996, 405806, 1008569, 1146841, 15858
870.000387, 10.000013, 1229, 661, 21118.5, 1038, 133198, 352090, 601712, 826780, 14094
880.000356, 9.999969, 1485, 642, 23879.6, 1031, 143423, 352319, 698118, 1361397, 9859
890.000374, 10.000018, 1328, 571, 21175.8, 1006, 133944, 359479, 902803, 956472, 50150
900.000358, 9.999984, 1437, 587, 20614.3, 1008, 120469, 346356, 1268627, 1386322, 19441
910.000357, 9.999999, 1173, 587, 7980.9, 981, 28138, 167895, 486372, 572688, 53269
920.000382, 10.000025, 1292, 578, 7312.5, 977, 41637, 132809, 238084, 332225, 116939
930.000369, 9.999987, 1514, 602, 8897.2, 983, 39363, 156384, 384678, 874354, 85612
940.000383, 10.000014, 1645, 606, 6419.1, 970, 26452, 113447, 278162, 738411, 86829
950.000389, 10.000006, 1535, 624, 10923.8, 993, 57808, 207681, 457126, 711537, 86257
960.000426, 10.000037, 1396, 593, 7171.8, 964, 28806, 125578, 514588, 838949, 84285
970.000359, 9.999933, 1334, 593, 8124.8, 990, 39872, 140007, 400389, 424118, 56311
980.000382, 10.000023, 1544, 606, 6965.5, 957, 25015, 151884, 381786, 948502, 95604
990.000379, 9.999997, 1654, 616, 8019.1, 966, 35047, 158056, 438698, 443149, 104218
1000.000387, 10.000008, 1620, 603, 8612.8, 976, 36905, 155994, 439046, 1305519, 31171
1010.000385, 9.999998, 1630, 622, 13929.6, 982, 58854, 278769, 721845, 1305519, 23370
1020.000385, 10.0, 1838, 601, 8323.2, 969, 42525, 169398, 280400, 310735, 43702
1030.000375, 9.99999, 1652, 581, 3905.0, 962, 18771, 65754, 161269, 178254, 9620
1040.000353, 9.999978, 1640, 581, 5521.9, 966, 26530, 101653, 193050, 319951, 77657
1050.000382, 10.000029, 1434, 592, 12994.8, 969, 48638, 284881, 951988, 1212410, 38430
1060.000376, 9.999994, 1412, 631, 7419.9, 967, 24421, 122976, 734890, 1212410, 54840
1070.000365, 9.999989, 1537, 579, 5144.2, 939, 21460, 97292, 231800, 345316, 103614
1080.000365, 10.0, 1451, 623, 10795.6, 971, 34674, 261783, 609408, 979340, 67585
1090.000355, 9.99999, 1685, 598, 6679.9, 971, 32274, 128504, 247867, 507386, 30260
1100.000461, 10.000106, 1737, 590, 4917.1, 937, 22373, 95428, 229327, 397428, 126896
1110.000379, 9.999918, 1436, 615, 10094.5, 957, 32354, 192050, 733437, 1127211, 99759
1120.000355, 9.999976, 1725, 613, 8198.9, 955, 33929, 185085, 314640, 452416, 68333
1130.000386, 10.000031, 1424, 581, 3457.3, 949, 17075, 55080, 111207, 120002, 114563
1140.00036, 9.999974, 1461, 600, 9744.1, 952, 24342, 173513, 1289961, 2018889, 120537
1150.000354, 9.999994, 1524, 606, 8155.9, 972, 35778, 137514, 395472, 1012628, 38544
1160.000361, 10.000007, 1775, 586, 5347.8, 944, 23760, 120367, 209413, 443236, 72168
1170.000362, 10.000001, 1530, 623, 5394.1, 956, 19643, 86378, 378216, 442088, 87272
1180.00038, 10.000018, 1740, 608, 8868.6, 973, 39387, 195012, 439669, 697020, 31817
1190.000364, 9.999984, 1376, 614, 3458.0, 954, 14538, 54137, 161851, 219121, 43911
1200.000355, 9.999991, 1443, 579, 3738.7, 961, 18896, 49154, 151597, 557674, 36788
1210.000376, 10.000021, 1894, 626, 12381.7, 964, 51465, 254094, 677345, 1598969, 32140
1220.000382, 10.000006, 1756, 615, 9544.7, 963, 41908, 156254, 532659, 788943, 35552
1230.000373, 9.999991, 1637, 610, 3550.0, 950, 17359, 49700, 91260, 252274, 76638
1240.00038, 10.000007, 1582, 612, 8016.3, 968, 34189, 169699, 408405, 549024, 69048
1250.000381, 10.000001, 1806, 620, 9663.2, 962, 30970, 217935, 614987, 1213395, 47778
1260.000366, 9.999985, 1601, 612, 3848.4, 958, 16030, 64052, 153928, 368039, 46272
1270.000371, 10.000005, 1470, 612, 7710.9, 976, 26972, 161360, 441585, 472364, 86134
1280.000418, 10.000047, 1953, 601, 6984.0, 952, 26926, 168313, 515723, 643082, 52497
1290.00041, 9.999992, 1659, 608, 6744.0, 969, 23645, 128412, 447948, 921573, 44898
1300.000374, 9.999964, 1324, 625, 6591.5, 953, 21508, 165078, 489647, 571407, 60861
1310.000385, 10.000011, 1852, 618, 4113.3, 938, 18571, 71913, 274490, 333593, 88288
1320.000386, 10.000001, 1713, 596, 5254.9, 943, 18821, 113349, 309991, 518446, 117759
1330.000381, 9.999995, 1544, 603, 6892.3, 949, 21872, 135651, 473337, 791092, 97102
1340.000374, 9.999993, 1982, 599, 6125.1, 958, 25661, 112264, 397054, 617375, 56756
1350.000422, 10.000048, 1768, 593, 6024.5, 942, 19741, 140293, 390849, 549233, 54500
1360.000379, 9.999957, 1506, 614, 9329.0, 961, 24698, 191997, 741776, 1562529, 49361
