elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000026, 10.000026, 46663, 1330, 8867.3, 3320, 45056, 57816, 71075, 86459, 0
20.000435, 10.000409, 43732, 992, 8987.8, 3312, 43971, 58949, 123339, 618167, 0
30.000457, 10.000022, 30433, 884, 14988.4, 2899, 37082, 400612, 983669, 1725587, 0
40.000434, 9.999977, 30788, 901, 14268.6, 2917, 32499, 419892, 868443, 1326900, 0
50.000372, 9.999938, 28518, 907, 15661.5, 2857, 36787, 505774, 830102, 1095408, 0
60.000387, 10.000015, 38127, 886, 11398.4, 3225, 43939, 74353, 776917, 1533023, 0
70.000447, 10.00006, 37271, 890, 10490.9, 3288, 44775, 71300, 701859, 938918, 0
80.000355, 9.999908, 30371, 883, 15527.4, 3068, 39026, 324888, 1270895, 1832146, 0
90.000419, 10.000064, 36138, 943, 11520.1, 3330, 43414, 73171, 1237035, 1819974, 0
100.000382, 9.999963, 41218, 900, 10026.2, 3390, 47439, 70972, 166548, 957145, 0
110.000406, 10.000024, 36490, 968, 11496.0, 3237, 42898, 76268, 808932, 1006168, 0
120.000399, 9.999993, 40627, 918, 9974.6, 3358, 44970, 65839, 432320, 839698, 0
130.000406, 10.000007, 33848, 840, 12601.2, 3310, 45731, 92437, 839600, 1418223, 0
140.000357, 9.999951, 35456, 941, 11951.7, 3328, 45641, 79550, 774806, 1224183, 0
150.000373, 10.000016, 30063, 915, 13835.0, 3163, 43075, 98880, 1084903, 1197317, 0
160.000436, 10.000063, 38464, 924, 11677.5, 3213, 41456, 101252, 879446, 2171352, 0
170.000376, 9.99994, 11145, 888, 40399.7, 1690, 209355, 884749, 2038314, 2475290, 0
180.000366, 9.99999, 5460, 872, 91583.6, 1549, 588365, 1461799, 3847982, 4751517, 3045
190.000378, 10.000012, 4761, 845, 93114.7, 1555, 549024, 1583267, 3375711, 3477973, 0
200.000388, 10.00001, 4024, 847, 112145.4, 1521, 689804, 1916472, 3765219, 4428161, 3241
210.000365, 9.999977, 2604, 850, 167509.3, 1528, 1089557, 2806906, 4127913, 4543686, 55011
220.000362, 9.999997, 1426, 879, 247844.2, 1674, 1501200, 3498670, 4565297, 4668163, 72427
230.000374, 10.000012, 1525, 860, 248609.6, 1624, 1613262, 3706241, 4665467, 4768125, 71606
240.000359, 9.999985, 1573, 896, 227427.0, 1603, 1326992, 3824146, 4661762, 4899259, 79771
250.000381, 10.000022, 1230, 922, 300442.4, 1914, 1846203, 4185720, 4997230, 4998148, 73925
260.000361, 9.99998, 1224, 905, 300723.2, 1953, 1818913, 3408693, 4766308, 4832186, 72980
270.000365, 10.000004, 1097, 939, 290059.1, 1900, 1890771, 3395345, 4753783, 4830917, 90131
280.000366, 10.000001, 824, 917, 305193.7, 1755, 1923522, 4446023, 4838630, 4937774, 131975
290.000383, 10.000017, 1002, 885, 339433.4, 1963, 2308165, 4275421, 4906081, 4915302, 99865
300.000502, 10.000119, 1033, 916, 219095.6, 1784, 1322242, 3388389, 4296337, 4885469, 137770
310.000363, 9.999861, 1004, 914, 328447.1, 5085, 1713754, 4412646, 4930850, 4982551, 128056
320.000359, 9.999996, 896, 912, 374452.1, 8291, 2048307, 3691027, 4939660, 4948352, 72708
330.000383, 10.000024, 997, 893, 311385.7, 15141, 1737850, 3506022, 4662168, 4760211, 103305
340.00036, 9.999977, 925, 915, 311429.1, 10577, 1878261, 3798674, 4473500, 4769734, 109644
350.00036, 10.0, 928, 896, 371986.1, 21698, 2040951, 3903730, 4743611, 4852228, 75122
360.000372, 10.000012, 1017, 938, 295269.1, 7419, 1862664, 3782006, 4686056, 4776174, 120061
370.000497, 10.000125, 846, 916, 356043.9, 9425, 2258206, 4020335, 4896073, 4949403, 105676
380.000384, 9.999887, 920, 893, 347025.3, 13019, 2127345, 3500733, 4823366, 4882811, 98534
390.000355, 9.999971, 947, 871, 327414.0, 3961, 2202130, 3966520, 4792856, 4884493, 99906
400.000406, 10.000051, 853, 906, 370371.9, 4567, 2430519, 4295487, 4854981, 4894699, 92171
410.000366, 9.99996, 889, 832, 289767.8, 14330, 1536331, 3990818, 4880288, 4948490, 145451
420.000366, 10.0, 1161, 933, 276470.0, 2385, 1793438, 3887600, 4763220, 4763928, 95098
430.00047, 10.000104, 797, 938, 296737.3, 10162, 1699155, 3529803, 4575499, 4992661, 148553
440.000355, 9.999885, 1012, 941, 288624.4, 28101, 1629926, 3125281, 4254452, 4364077, 108683
450.000382, 10.000027, 939, 877, 360962.8, 9152, 2176723, 4066736, 4920945, 4989464, 93484
460.000384, 10.000002, 882, 946, 316428.6, 9219, 1988125, 4035308, 4841144, 4962452, 113520
470.000404, 10.00002, 1000, 886, 278831.8, 39181, 1445684, 3655935, 4509911, 4727675, 120561
480.000363, 9.999959, 804, 939, 257614.8, 10225, 1572377, 2675382, 4480620, 4692789, 151420
490.000358, 9.999995, 958, 913, 287139.6, 11433, 1578435, 3472881, 4980583, 4989168, 122104
500.000368, 10.00001, 860, 913, 340961.9, 68028, 1697234, 3147057, 4407734, 4860662, 127838
510.00036, 9.999992, 988, 954, 333667.5, 43737, 1686593, 3204006, 4095139, 4287196, 74242
520.000377, 10.000017, 889, 924, 344481.5, 28763, 1932613, 3696363, 4870018, 4918795, 108276
530.000379, 10.000002, 1000, 920, 327689.2, 56738, 1696193, 3231103, 4124073, 4373393, 65013
540.000372, 9.999993, 778, 879, 392770.3, 35482, 2497875, 4160990, 4453412, 4747760, 99791
550.000386, 10.000014, 805, 928, 330563.9, 33685, 1688905, 3644203, 4769558, 4899091, 146659
560.000453, 10.000067, 684, 938, 363305.7, 48903, 1870729, 3587001, 4745007, 4812982, 127419
570.00044, 9.999987, 757, 957, 412018.6, 73599, 1784366, 4229251, 4944230, 4979997, 101747
580.000363, 9.999923, 792, 947, 400419.7, 46139, 2238824, 3668565, 4613374, 4925268, 94428
590.000368, 10.000005, 769, 887, 460192.3, 111867, 2178402, 3243299, 4838562, 4974003, 75233
600.00036, 9.999992, 879, 939, 416186.1, 133324, 2058135, 3545978, 4737647, 4988305, 53168
610.000367, 10.000007, 841, 971, 507120.2, 65950, 2925487, 4139153, 4638708, 4665952, 21452
620.000364, 9.999997, 774, 944, 495120.8, 106683, 2511937, 4059806, 4420137, 4778310, 32054
630.000377, 10.000013, 899, 950, 468942.1, 29761, 3168404, 4475530, 4800138, 4800593, 43288
640.00038, 10.000003, 858, 984, 473146.2, 21959, 2863032, 4402008, 4973061, 4996616, 46508
650.000359, 9.999979, 893, 998, 452279.1, 66676, 2409452, 4056592, 4608003, 4610298, 32814
660.000373, 10.000014, 890, 981, 416423.7, 41449, 2225765, 4219345, 4811267, 4845856, 61914
670.000358, 9.999985, 988, 853, 322826.1, 19184, 1877900, 3529135, 4803630, 4922060, 91314
