elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
9.999936, 9.999936, 12762, 1593, 21532.5, 19189, 45640, 57596, 77433, 101740, 0
20.000719, 10.000783, 13037, 1260, 20436.3, 18151, 42559, 54578, 65118, 73450, 0
30.000698, 9.999979, 13604, 1188, 19552.3, 17228, 41467, 51982, 61854, 77605, 0
40.000697, 9.999999, 14106, 969, 18674.2, 16614, 39139, 49105, 58329, 66953, 0
50.00077, 10.000073, 14157, 1353, 18155.2, 15925, 38080, 49900, 72823, 86053, 0
60.000721, 9.999951, 14446, 983, 18153.5, 15968, 38514, 47957, 57875, 66518, 0
70.000691, 9.99997, 14393, 983, 17801.5, 15535, 38542, 49033, 66228, 80882, 0
80.000725, 10.000034, 14341, 1488, 17760.7, 15652, 37558, 49197, 80114, 100643, 0
90.00073, 10.000005, 14276, 1235, 17524.7, 15563, 37424, 46615, 56085, 68213, 0
100.000721, 9.999991, 14480, 1165, 17742.4, 15587, 37732, 48662, 62711, 106708, 0
110.000767, 10.000046, 14383, 1276, 17800.8, 15567, 37773, 49337, 82313, 96155, 0
120.000698, 9.999931, 14574, 1045, 17482.5, 15308, 37321, 47095, 57563, 67422, 0
130.000697, 9.999999, 14241, 1324, 18077.6, 15971, 38602, 50295, 68215, 83211, 0
140.000738, 10.000041, 14505, 1165, 17597.4, 15582, 36773, 47142, 59544, 68695, 0
150.000711, 9.999973, 14559, 1304, 17495.7, 15285, 37375, 47080, 56768, 67041, 0
160.000696, 9.999985, 14582, 878, 17586.8, 15397, 37675, 47700, 79672, 97943, 0
170.000727, 10.000031, 14206, 878, 17757.6, 15596, 37552, 47863, 70519, 78510, 0
180.000777, 10.00005, 14634, 1368, 17511.2, 15350, 37202, 46514, 56426, 61759, 0
190.000699, 9.999922, 14331, 1491, 17731.7, 15603, 37972, 48176, 64529, 81254, 0
200.000695, 9.999996, 14611, 1310, 17717.8, 15609, 37715, 48015, 58983, 66185, 0
210.000705, 10.00001, 14580, 1087, 17540.8, 15461, 37653, 47665, 58343, 68200, 0
220.000723, 10.000018, 14651, 1048, 17483.6, 15207, 38472, 48550, 65762, 77187, 0
230.00069, 9.999967, 14569, 1121, 17529.3, 15575, 37143, 47264, 59044, 74291, 0
240.000782, 10.000092, 14567, 1369, 17385.8, 15287, 36841, 47866, 56057, 63804, 0
250.000788, 10.000006, 14494, 1074, 17822.2, 15764, 37787, 48851, 59736, 67076, 0
260.000688, 9.9999, 14368, 1160, 17776.8, 15641, 37806, 49753, 62805, 73486, 0
270.000707, 10.000019, 14637, 1054, 17546.7, 15628, 36939, 46016, 58863, 64864, 0
280.000686, 9.999979, 14566, 1250, 17676.5, 15525, 37456, 48312, 63587, 73337, 0
290.000709, 10.000023, 14526, 1155, 17716.9, 15500, 38342, 48565, 58669, 76499, 0
300.000716, 10.000007, 14613, 1165, 17314.6, 14879, 37819, 47487, 56751, 67626, 0
310.000698, 9.999982, 14392, 1259, 17691.6, 15374, 37894, 47869, 60058, 70498, 0
320.000741, 10.000043, 14540, 1353, 17716.6, 15352, 38394, 49051, 66929, 100424, 0
330.000743, 10.000002, 14602, 1140, 17488.5, 15294, 37828, 48256, 59395, 69088, 0
340.000703, 9.99996, 14435, 1161, 17537.8, 15354, 37610, 48285, 62825, 70697, 0
350.000752, 10.000049, 14381, 1280, 17564.3, 15379, 37557, 49173, 67296, 86696, 0
360.0007, 9.999948, 14596, 1418, 17498.7, 15508, 37224, 47846, 59407, 68211, 0
370.000788, 10.000088, 14438, 1152, 17774.2, 15472, 38906, 50403, 65914, 78543, 0
380.000742, 9.999954, 14451, 1152, 17813.2, 15738, 37868, 48880, 67846, 79373, 0
390.000699, 9.999957, 14481, 1208, 17542.1, 15474, 37270, 46952, 56705, 61825, 0
400.000756, 10.000057, 14588, 1123, 17652.6, 15596, 36974, 47236, 65497, 76955, 0
410.000719, 9.999963, 14331, 1201, 17654.2, 15467, 37877, 48182, 59348, 89993, 0
420.000768, 10.000049, 14520, 1404, 17443.7, 15421, 37032, 47338, 61510, 84785, 0
430.000707, 9.999939, 14303, 1146, 17618.8, 15383, 37664, 49266, 76954, 91836, 0
440.000712, 10.000005, 14613, 1282, 17544.3, 15211, 37521, 50452, 83603, 93760, 0
450.000695, 9.999983, 14550, 1480, 17442.9, 15360, 36884, 46757, 54440, 60719, 0
460.000697, 10.000002, 14432, 1342, 17333.7, 15129, 37265, 46309, 59064, 74061, 0
470.000745, 10.000048, 14544, 1072, 17682.3, 15460, 37864, 47791, 64341, 78594, 0
480.000744, 9.999999, 14637, 1334, 17681.6, 15440, 37813, 48117, 58979, 72069, 0
490.000739, 9.999995, 14526, 1385, 17526.7, 15450, 37214, 47890, 66960, 97050, 0
500.000721, 9.999982, 14500, 1184, 17553.4, 15250, 37788, 48338, 63744, 72520, 0
510.00077, 10.000049, 14561, 1301, 17516.0, 15364, 37757, 47746, 57525, 65586, 0
520.000697, 9.999927, 14579, 1245, 17543.5, 15315, 37855, 49254, 60721, 77582, 0
530.000773, 10.000076, 14618, 1378, 17355.2, 15179, 36957, 46731, 57832, 65973, 0
540.000705, 9.999932, 14696, 1072, 17320.6, 15264, 36609, 47144, 56110, 63659, 0
550.000696, 9.999991, 14532, 898, 17553.3, 15638, 36912, 47985, 60818, 69903, 0
560.000696, 10.0, 14617, 1191, 17472.9, 15269, 37539, 49136, 59544, 70441, 0
570.00074, 10.000044, 14551, 1073, 17470.9, 15554, 36733, 47367, 56409, 66183, 0
580.000757, 10.000017, 14383, 1041, 17573.8, 15537, 37674, 47248, 57902, 78353, 0
590.000702, 9.999945, 14494, 898, 17723.4, 15664, 37839, 48442, 68032, 91221, 0
600.000713, 10.000011, 14830, 1133, 17347.7, 15257, 37967, 46863, 56280, 62854, 0
610.000817, 10.000104, 14430, 1130, 17673.7, 15284, 38239, 48557, 59344, 79320, 0
620.00069, 9.999873, 14340, 1305, 17555.1, 15502, 37343, 49599, 58278, 68723, 0
630.000723, 10.000033, 14750, 1078, 17305.6, 15204, 36633, 46338, 55793, 67279, 0
640.000699, 9.999976, 14402, 1261, 17478.9, 15330, 37163, 47074, 61096, 95575, 0
650.000796, 10.000097, 14655, 958, 17573.4, 15519, 36885, 47215, 56396, 66802, 0
660.000743, 9.999947, 14701, 1361, 17596.7, 15591, 37465, 46550, 56121, 64111, 0
670.000694, 9.999951, 14378, 1216, 17623.2, 15516, 37369, 46970, 57786, 72937, 0
