elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
9.999961, 9.999961, 13595, 335, 808.4, 770, 1111, 1647, 3195, 11644, 0
20.000593, 10.000632, 14105, 336, 751.2, 746, 1019, 1313, 2949, 14398, 0
30.000642, 10.000049, 14942, 342, 735.7, 730, 1019, 1314, 8086, 11691, 0
40.000631, 9.999989, 14987, 322, 718.6, 720, 1032, 1330, 2989, 11618, 0
50.000587, 9.999956, 16089, 336, 721.1, 715, 1037, 1371, 5113, 18901, 0
60.0006, 10.000013, 16059, 345, 709.4, 710, 1018, 1313, 3780, 12820, 0
70.000619, 10.000019, 15803, 332, 703.2, 702, 1023, 1282, 3880, 10864, 0
80.000579, 9.99996, 15959, 304, 698.9, 699, 1017, 1280, 3048, 10450, 0
90.00059, 10.000011, 16152, 311, 726.6, 702, 1068, 1537, 8344, 12512, 0
100.000578, 9.999988, 16394, 342, 700.8, 700, 1018, 1272, 3719, 11723, 0
110.00058, 10.000002, 15360, 316, 709.4, 691, 1027, 1432, 8608, 18239, 0
120.000593, 10.000013, 15004, 305, 711.4, 693, 1037, 1495, 7681, 12305, 0
130.000608, 10.000015, 15197, 320, 710.1, 696, 1046, 1424, 6991, 11333, 0
140.000626, 10.000018, 16133, 320, 701.5, 698, 1021, 1309, 5158, 12998, 0
150.000598, 9.999972, 16346, 322, 704.6, 699, 1038, 1332, 3953, 13697, 0
160.000617, 10.000019, 16212, 318, 703.3, 696, 1030, 1341, 3905, 11884, 0
170.00058, 9.999963, 16273, 303, 721.0, 704, 1053, 1444, 7263, 13919, 0
180.000584, 10.000004, 16262, 310, 713.5, 699, 1033, 1477, 10595, 13919, 0
190.000618, 10.000034, 15639, 308, 714.1, 698, 1038, 1406, 9764, 11659, 0
200.000642, 10.000024, 16283, 333, 717.2, 700, 1045, 1457, 7128, 12191, 0
210.000587, 9.999945, 16192, 331, 707.0, 696, 1032, 1374, 4831, 18680, 0
220.000609, 10.000022, 16644, 339, 699.1, 693, 1015, 1253, 4714, 11694, 0
230.000602, 9.999993, 16198, 284, 707.1, 698, 1017, 1294, 9760, 21294, 0
240.000586, 9.999984, 15559, 329, 712.0, 698, 1024, 1296, 10732, 21294, 0
250.000665, 10.000079, 16559, 335, 698.3, 696, 1022, 1265, 3419, 11641, 0
260.000576, 9.999911, 16423, 347, 696.4, 696, 1017, 1260, 3186, 11633, 0
270.000617, 10.000041, 15234, 316, 713.6, 697, 1043, 1526, 8235, 17664, 0
280.012581, 10.011964, 15985, 322, 700.5, 696, 1024, 1367, 3711, 15551, 0
290.000567, 9.987986, 16567, 332, 698.6, 696, 1018, 1274, 3220, 11782, 0
