elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
9.999843, 9.999843, 40177, 379, 1841.5, 1108, 4287, 5509, 9640, 15462, 0
20.00041, 10.000567, 38578, 388, 1769.2, 1101, 4148, 5177, 6915, 13729, 0
30.000397, 9.999987, 39457, 395, 1721.6, 1079, 4065, 5113, 6687, 15666, 0
40.000382, 9.999985, 40405, 388, 1731.0, 1089, 4050, 5171, 6666, 12899, 0
50.000403, 10.000021, 40719, 356, 1664.6, 1082, 3926, 5056, 6650, 15601, 0
60.000436, 10.000033, 41507, 369, 1646.9, 1082, 3838, 5064, 10892, 18112, 0
70.000437, 10.000001, 42363, 388, 1634.9, 1084, 3783, 4913, 12171, 19069, 0
80.000425, 9.999988, 42664, 348, 1537.4, 1069, 3522, 4600, 6718, 13660, 0
90.000399, 9.999974, 42844, 368, 1607.8, 1093, 3735, 5061, 11495, 24599, 0
100.000406, 10.000007, 43767, 359, 1658.0, 1132, 3844, 5100, 6571, 13072, 0
110.000396, 9.99999, 44488, 370, 1582.4, 1086, 3678, 4796, 6398, 15115, 0
120.000406, 10.00001, 44249, 358, 1491.2, 1049, 3384, 4730, 11526, 21245, 0
130.000392, 9.999986, 45497, 380, 1476.9, 1046, 3378, 4370, 6086, 14333, 0
140.000395, 10.000003, 45210, 365, 1491.3, 1072, 3403, 4483, 5818, 11960, 0
150.000431, 10.000036, 44525, 377, 1496.7, 1055, 3406, 4627, 8697, 20126, 0
160.000613, 10.000182, 45737, 373, 1469.4, 1057, 3317, 4324, 9243, 15989, 0
170.000421, 9.999808, 45845, 353, 1403.8, 1028, 3154, 4231, 11268, 14346, 0
180.000399, 9.999978, 45779, 354, 1468.3, 1051, 3299, 4694, 11735, 18476, 0
190.000403, 10.000004, 46455, 352, 1422.0, 1047, 3249, 4243, 5999, 17126, 0
200.000425, 10.000022, 46310, 351, 1426.1, 1037, 3231, 4330, 7370, 13422, 0
210.000439, 10.000014, 45718, 366, 1390.6, 1024, 3117, 4213, 7351, 12255, 0
220.00043, 9.999991, 46734, 359, 1386.5, 1036, 3068, 3928, 5244, 14723, 0
230.000455, 10.000025, 46705, 355, 1394.3, 1033, 3078, 4147, 11073, 23121, 0
240.000393, 9.999938, 45979, 351, 1435.1, 1035, 3239, 4429, 11095, 16443, 0
250.000391, 9.999998, 46928, 358, 1454.5, 1051, 3337, 4438, 10372, 13805, 0
260.000422, 10.000031, 47567, 369, 1447.0, 1053, 3256, 4344, 9235, 12672, 0
270.000472, 10.00005, 46373, 353, 1390.7, 1032, 3074, 4124, 7106, 16847, 0
280.000401, 9.999929, 47488, 371, 1465.5, 1065, 3313, 4299, 5966, 16129, 0
290.000406, 10.000005, 47189, 355, 1409.5, 1028, 3166, 4261, 8347, 17753, 0
300.000411, 10.000005, 46855, 384, 1372.0, 1020, 3028, 4060, 6718, 22273, 0
310.000398, 9.999987, 47308, 359, 1412.2, 1050, 3159, 4186, 5889, 12236, 0
320.0004, 10.000002, 47494, 361, 1452.2, 1062, 3278, 4381, 5796, 18242, 0
330.0004, 10.0, 46649, 360, 1423.4, 1047, 3181, 4272, 7256, 12785, 0
340.000396, 9.999996, 47295, 368, 1432.2, 1043, 3241, 4343, 6318, 17531, 0
350.0004, 10.000004, 46884, 364, 1395.2, 1031, 3134, 4067, 5698, 8460, 0
360.0004, 10.0, 46910, 349, 1396.6, 1038, 3103, 4122, 5937, 9786, 0
370.000399, 9.999999, 47436, 358, 1437.1, 1041, 3227, 4378, 11230, 14961, 0
380.000389, 9.99999, 47628, 371, 1360.4, 1017, 2994, 4018, 10291, 16160, 0
