elapsed, window, total, successful, failed
10.000008, 10.000008, 120450, 120450, 0
20.001003, 10.000995, 116393, 116393, 0
30.00098, 9.999977, 118376, 118376, 0
40.000979, 9.999999, 121069, 121069, 0
50.001013, 10.000034, 122371, 122371, 0
60.001017, 10.000004, 124221, 124221, 0
70.000984, 9.999967, 126953, 126953, 0
80.001002, 10.000018, 128471, 128471, 0
90.000972, 9.99997, 128056, 128056, 0
100.001003, 10.000031, 132124, 132124, 0
110.001008, 10.000005, 133587, 133587, 0
120.000989, 9.999981, 131934, 131934, 0
130.000977, 9.999988, 135958, 135958, 0
140.000988, 10.000011, 135573, 135573, 0
150.000999, 10.000011, 133814, 133814, 0
160.000978, 9.999979, 138168, 138168, 0
170.000987, 10.000009, 138090, 138090, 0
180.001008, 10.000021, 135948, 135948, 0
190.000987, 9.999979, 139588, 139588, 0
200.001038, 10.000051, 139764, 139764, 0
210.000021, 9.998983, 137221, 137221, 0
220.00002, 9.999999, 140679, 140679, 0
230.001002, 10.000982, 139848, 139848, 0
240.001009, 10.000007, 138131, 138131, 0
250.000985, 9.999976, 140937, 140937, 0
260.000999, 10.000014, 141266, 141266, 0
270.000991, 9.999992, 139049, 139049, 0
280.000982, 9.999991, 141619, 141619, 0
290.000982, 10.0, 141480, 141480, 0
300.000984, 10.000002, 139649, 139649, 0
310.001004, 10.00002, 141676, 141676, 0
320.001001, 9.999997, 142003, 142003, 0
330.001062, 10.000061, 139727, 139727, 0
340.000006, 9.998944, 142478, 142478, 0
350.000965, 10.000959, 141393, 141393, 0
360.001001, 10.000036, 140029, 140029, 0
370.000979, 9.999978, 141888, 141888, 0
380.000989, 10.00001, 142106, 142106, 0
390.000999, 10.00001, 139689, 139689, 0
400.000983, 9.999984, 141617, 141617, 0
410.000976, 9.999993, 141437, 141437, 0
420.000972, 9.999996, 140063, 140063, 0
430.001846, 10.000874, 140994, 140994, 0
440.000023, 9.998177, 142283, 142283, 0
450.000971, 10.000948, 139279, 139279, 0
460.000974, 10.000003, 142212, 142212, 0
470.000997, 10.000023, 141773, 141773, 0
480.000982, 9.999985, 138879, 138879, 0
490.00098, 9.999998, 143311, 143311, 0
500.000988, 10.000008, 141717, 141717, 0
510.000989, 10.000001, 140256, 140256, 0
520.001009, 10.00002, 142169, 142169, 0
530.001447, 10.000438, 141786, 141786, 0
540.000015, 9.998568, 140880, 140880, 0
550.001011, 10.000996, 142325, 142325, 0
560.001739, 10.000728, 141450, 141450, 0
570.000023, 9.998284, 140721, 140721, 0
580.000021, 9.999998, 141754, 141754, 0
590.000972, 10.000951, 141503, 141503, 0
600.000989, 10.000017, 141097, 141097, 0
610.000977, 9.999988, 141764, 141764, 0
620.000999, 10.000022, 142334, 142334, 0
630.000981, 9.999982, 140610, 140610, 0
640.00104, 10.000059, 141970, 141970, 0
650.000003, 9.998963, 141898, 141898, 0
660.001004, 10.001001, 140878, 140878, 0
670.001002, 9.999998, 141829, 141829, 0
680.001004, 10.000002, 141992, 141992, 0
690.000983, 9.999979, 141242, 141242, 0
700.000994, 10.000011, 141135, 141135, 0
710.000972, 9.999978, 142038, 142038, 0
720.000965, 9.999993, 140685, 140685, 0
730.000967, 10.000002, 140980, 140980, 0
740.001003, 10.000036, 141310, 141310, 0
750.000972, 9.999969, 140713, 140713, 0
760.000996, 10.000024, 140682, 140682, 0
770.001415, 10.000419, 139874, 139874, 0
780.000009, 9.998594, 143904, 143904, 0
790.000964, 10.000955, 141425, 141425, 0
800.000981, 10.000017, 142556, 142556, 0
810.00097, 9.999989, 140822, 140822, 0
820.001068, 10.000098, 141010, 141010, 0
830.000021, 9.998953, 142144, 142144, 0
840.000009, 9.999988, 140705, 140705, 0
850.000997, 10.000988, 140991, 140991, 0
860.000978, 9.999981, 142253, 142253, 0
870.000984, 10.000006, 141122, 141122, 0
880.000976, 9.999992, 141364, 141364, 0
890.000972, 9.999996, 142562, 142562, 0
900.001021, 10.000049, 141253, 141253, 0
910.000982, 9.999961, 141531, 141531, 0
920.000993, 10.000011, 141769, 141769, 0
930.001, 10.000007, 141076, 141076, 0
940.000976, 9.999976, 141380, 141380, 0
950.000973, 9.999997, 142097, 142097, 0
960.000971, 9.999998, 141744, 141744, 0
970.00101, 10.000039, 141165, 141165, 0
980.001009, 9.999999, 141881, 141881, 0
990.000994, 9.999985, 141228, 141228, 0
1000.000993, 9.999999, 141085, 141085, 0
1010.000984, 9.999991, 142189, 142189, 0
1020.000981, 9.999997, 141317, 141317, 0
1030.000967, 9.999986, 141025, 141025, 0
1040.000989, 10.000022, 141982, 141982, 0
1050.001004, 10.000015, 140904, 140904, 0
1060.000971, 9.999967, 140399, 140399, 0
1070.001, 10.000029, 142125, 142125, 0
1080.000989, 9.999989, 141388, 141388, 0
1090.000987, 9.999998, 140650, 140650, 0
1100.000984, 9.999997, 142278, 142278, 0
1110.000982, 9.999998, 141147, 141147, 0
1120.001, 10.000018, 141199, 141199, 0
1130.000972, 9.999972, 141924, 141924, 0
1140.001048, 10.000076, 141879, 141879, 0
1150.000023, 9.998975, 141261, 141261, 0
1160.000028, 10.000005, 142194, 142194, 0
1170.000031, 10.000003, 141857, 141857, 0
1180.000016, 9.999985, 140417, 140417, 0
1190.000968, 10.000952, 142853, 142853, 0
1200.000968, 10.0, 141358, 141358, 0
1210.001025, 10.000057, 140906, 140906, 0
1220.00002, 9.998995, 141723, 141723, 0
1230.000978, 10.000958, 141806, 141806, 0
1240.001081, 10.000103, 140971, 140971, 0
1250.000965, 9.999884, 142871, 142871, 0
1260.001011, 10.000046, 141502, 141502, 0
1270.001011, 10.0, 140522, 140522, 0
1280.001003, 9.999992, 142671, 142671, 0
1290.001016, 10.000013, 141032, 141032, 0
1300.000963, 9.999947, 140290, 140290, 0
1310.000996, 10.000033, 142187, 142187, 0
1320.001016, 10.00002, 141398, 141398, 0
1330.001003, 9.999987, 140834, 140834, 0
1340.000981, 9.999978, 142341, 142341, 0
1350.000979, 9.999998, 141932, 141932, 0
