elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000049, 10.000049, 39202, 1033, 4638.9, 2432, 16085, 23912, 30333, 37085, 0
20.000082, 10.000033, 38807, 1107, 4853.5, 2482, 16870, 24844, 34079, 45196, 0
30.000296, 10.000214, 39587, 1149, 4929.5, 2452, 17962, 26193, 35451, 47170, 0
40.000089, 9.999793, 40146, 1097, 4917.9, 2472, 18239, 26015, 32225, 39370, 0
50.000054, 9.999965, 41041, 1061, 5046.1, 2537, 19157, 27390, 38757, 52435, 0
60.000086, 10.000032, 41339, 1151, 5065.1, 2512, 19518, 28480, 36730, 57160, 0
70.000047, 9.999961, 42384, 1200, 5107.7, 2568, 19274, 28411, 37064, 50344, 0
80.000089, 10.000042, 42543, 1167, 5222.2, 2662, 19787, 28862, 39449, 50456, 0
90.000066, 9.999977, 42863, 1131, 5255.7, 2649, 20340, 29963, 38690, 68506, 0
100.000077, 10.000011, 43917, 1062, 5063.1, 2557, 19615, 28862, 39797, 75277, 0
110.000056, 9.999979, 44247, 1162, 5162.6, 2668, 19761, 28351, 37200, 45717, 0
120.000061, 10.000005, 44456, 1108, 5187.7, 2553, 20422, 31262, 45980, 77743, 0
130.000147, 10.000086, 44859, 1128, 5228.3, 2589, 21104, 29913, 40715, 71513, 0
140.00007, 9.999923, 45343, 1109, 5285.4, 2587, 21767, 30356, 40991, 55395, 0
150.000166, 10.000096, 44872, 1177, 5250.4, 2576, 21467, 30463, 38924, 68882, 0
160.000046, 9.99988, 45948, 1181, 5323.4, 2595, 21609, 31611, 43959, 81417, 0
170.000046, 10.0, 46014, 1103, 5320.0, 2644, 21733, 30760, 41507, 51072, 0
180.000074, 10.000028, 45351, 1101, 5333.2, 2615, 21428, 30941, 41604, 66919, 0
190.000077, 10.000003, 46172, 1131, 5350.4, 2579, 22230, 31663, 44585, 89982, 0
200.000045, 9.999968, 46485, 1052, 5287.8, 2586, 21792, 33301, 43364, 53025, 0
210.000054, 10.000009, 46277, 1103, 5400.9, 2620, 22494, 31760, 39504, 54889, 0
220.000046, 9.999992, 46704, 1127, 5308.8, 2583, 22309, 30439, 38491, 68464, 0
230.00005, 10.000004, 46762, 1078, 5271.4, 2581, 21965, 31126, 40662, 56002, 0
240.000095, 10.000045, 46316, 1146, 5312.9, 2622, 21742, 29929, 41783, 58384, 0
250.000049, 9.999954, 46463, 1138, 5309.7, 2594, 21997, 30698, 40600, 62148, 0
260.00008, 10.000031, 46782, 1136, 5366.3, 2614, 22108, 33042, 43263, 59105, 0
270.000064, 9.999984, 46780, 1157, 5298.5, 2631, 21746, 31392, 42062, 57097, 0
280.000089, 10.000025, 46648, 1191, 5294.7, 2613, 21336, 30002, 43917, 62021, 0
290.000055, 9.999966, 47272, 1105, 5341.2, 2587, 22388, 32995, 43629, 54371, 0
300.000056, 10.000001, 46901, 1045, 5325.6, 2625, 22060, 32286, 47477, 77658, 0
310.000056, 10.0, 47196, 1168, 5367.3, 2598, 22762, 32069, 44369, 72308, 0
320.000048, 9.999992, 47329, 1094, 5293.1, 2607, 22243, 30947, 38214, 58060, 0
330.000046, 9.999998, 46357, 1017, 5336.9, 2626, 22161, 30982, 39129, 59489, 0
340.000065, 10.000019, 47180, 1202, 5323.8, 2591, 22388, 31727, 42552, 67831, 0
350.000082, 10.000017, 47327, 1155, 5328.1, 2595, 22547, 31433, 38958, 51400, 0
360.000056, 9.999974, 46904, 1205, 5345.2, 2645, 21810, 31198, 42955, 80012, 0
370.000086, 10.00003, 46883, 1094, 5320.0, 2593, 21813, 30778, 49513, 79941, 0
380.000047, 9.999961, 47164, 1188, 5352.3, 2596, 22769, 32738, 41224, 55343, 0
390.000057, 10.00001, 47086, 1104, 5308.0, 2589, 22595, 31095, 39921, 49437, 0
400.00008, 10.000023, 47055, 1030, 5340.1, 2608, 22219, 30981, 39772, 70066, 0
410.000052, 9.999972, 47224, 1095, 5389.7, 2584, 22712, 31719, 41730, 57148, 0
420.000061, 10.000009, 47075, 1111, 5267.5, 2585, 21823, 30822, 39057, 48789, 0
430.000088, 10.000027, 47122, 1143, 5312.6, 2616, 21711, 32900, 44012, 87737, 0
440.000048, 9.99996, 47347, 1064, 5382.3, 2611, 23096, 32626, 41277, 52502, 0
450.000059, 10.000011, 46726, 1036, 5397.3, 2673, 22361, 30903, 40185, 65164, 0
460.000092, 10.000033, 47116, 1170, 5277.7, 2694, 21083, 30074, 38441, 66526, 0
470.000248, 10.000156, 47074, 1156, 5249.6, 2611, 21867, 30873, 41361, 52901, 0
480.000047, 9.999799, 47500, 1127, 5231.1, 2618, 21608, 29485, 37547, 49117, 0
490.000061, 10.000014, 46129, 1094, 5417.5, 2619, 22682, 31843, 43901, 59069, 0
500.000067, 10.000006, 47041, 1127, 5313.6, 2564, 22479, 33087, 42711, 55185, 0
510.000077, 10.00001, 46891, 1143, 5314.6, 2581, 22136, 31672, 41049, 70079, 0
520.000075, 9.999998, 47270, 1161, 5301.7, 2588, 22125, 31102, 40606, 64616, 0
530.002077, 10.002002, 47141, 1084, 5361.2, 2644, 22067, 32529, 43533, 51523, 0
540.000041, 9.997964, 47111, 1160, 5345.0, 2619, 22709, 31896, 39813, 53101, 0
550.003272, 10.003231, 47048, 1078, 5337.9, 2579, 23094, 32072, 43962, 74636, 0
560.000062, 9.99679, 47369, 1075, 5329.0, 2602, 22491, 32822, 42765, 54457, 0
570.000053, 9.999991, 47056, 1133, 5384.0, 2625, 22334, 31960, 41582, 59705, 0
580.0001, 10.000047, 46888, 1133, 5342.7, 2604, 22322, 32276, 47959, 72357, 0
590.000047, 9.999947, 47521, 1169, 5232.6, 2589, 22042, 30752, 37630, 45025, 0
600.000063, 10.000016, 47069, 1149, 5340.6, 2580, 22570, 31446, 40785, 53394, 0
610.00009, 10.000027, 46573, 1137, 5408.7, 2585, 22967, 34130, 47047, 101891, 0
620.000047, 9.999957, 47340, 1133, 5294.9, 2556, 22767, 32283, 42889, 48558, 0
630.000084, 10.000037, 46988, 1128, 5272.4, 2585, 21731, 32561, 40216, 48623, 0
640.000069, 9.999985, 46892, 1039, 5399.0, 2600, 22770, 33150, 44273, 102451, 0
650.000068, 9.999999, 47454, 1087, 5353.5, 2612, 22906, 32673, 43887, 55671, 0
660.000589, 10.000521, 47186, 1014, 5274.8, 2609, 21804, 31855, 41862, 50244, 0
670.000099, 9.99951, 47104, 1084, 5370.7, 2600, 22273, 32888, 42413, 64210, 0
680.00005, 9.999951, 47839, 1142, 5399.1, 2684, 22084, 32028, 41425, 50438, 0
690.000069, 10.000019, 47217, 1245, 5389.9, 2645, 21990, 31262, 40709, 53049, 0
700.000043, 9.999974, 46763, 1143, 5451.7, 2665, 23140, 32836, 42461, 73029, 0
710.00008, 10.000037, 47183, 1123, 5299.0, 2677, 21646, 30483, 39117, 51038, 0
720.000067, 9.999987, 47426, 1079, 5415.1, 2593, 23044, 32417, 41899, 48721, 0
730.000069, 10.000002, 46633, 1105, 5428.9, 2626, 22606, 31647, 41049, 56794, 0
740.000111, 10.000042, 47367, 1071, 5286.9, 2566, 22572, 32450, 40724, 47778, 0
750.000041, 9.99993, 47161, 1069, 5283.1, 2594, 21842, 32325, 42415, 59766, 0
760.000056, 10.000015, 46815, 1133, 5277.1, 2612, 22148, 29768, 37647, 77526, 0
770.000044, 9.999988, 48135, 1075, 5282.5, 2562, 22819, 32706, 47003, 55545, 0
780.000045, 10.000001, 46746, 1159, 5253.9, 2615, 22114, 30438, 37227, 45586, 0
790.000105, 10.00006, 47007, 1141, 5333.9, 2622, 22231, 32954, 44891, 53280, 0
800.000048, 9.999943, 47654, 1146, 5313.5, 2577, 22129, 34133, 43360, 49275, 0
810.000074, 10.000026, 47206, 1137, 5360.4, 2615, 22109, 32156, 40357, 47298, 0
820.00005, 9.999976, 46550, 1065, 5299.3, 2631, 21234, 31326, 44268, 75000, 0
830.000049, 9.999999, 47437, 1180, 5312.5, 2593, 22772, 31839, 41254, 49023, 0
840.000048, 9.999999, 47080, 1134, 5321.7, 2605, 22238, 32650, 41587, 60022, 0
850.000345, 10.000297, 46973, 1171, 5423.7, 2622, 22946, 32225, 45759, 67672, 0
860.000065, 9.99972, 47135, 994, 5232.9, 2570, 22159, 31971, 39793, 43697, 0
870.000041, 9.999976, 47218, 1120, 5394.9, 2658, 22241, 31032, 37859, 43091, 0
880.000051, 10.00001, 46797, 1126, 5328.5, 2594, 22517, 32516, 44533, 68115, 0
890.000046, 9.999995, 47296, 1087, 5154.2, 2567, 22109, 32567, 40106, 47147, 0
900.000042, 9.999996, 47184, 1149, 5365.2, 2710, 21570, 30364, 38133, 50232, 0
910.000049, 10.000007, 47012, 1137, 5440.4, 2657, 22756, 32110, 43049, 72262, 0
920.000105, 10.000056, 47139, 1045, 5429.5, 2589, 23393, 33215, 41409, 52056, 0
930.000039, 9.999934, 47315, 1039, 5220.6, 2578, 21806, 31737, 40908, 63447, 0
940.000059, 10.00002, 46921, 1048, 5321.6, 2589, 22595, 31456, 39682, 62728, 0
950.000109, 10.00005, 47256, 1125, 5377.3, 2621, 22431, 32004, 40042, 47852, 0
960.000112, 10.000003, 47069, 1122, 5248.0, 2585, 21854, 29577, 38397, 48562, 0
970.000089, 9.999977, 46797, 1130, 5365.2, 2653, 22820, 31611, 40132, 46259, 0
980.000087, 9.999998, 47513, 1176, 5260.2, 2581, 22118, 32747, 45842, 54949, 0
990.000093, 10.000006, 47122, 1115, 5362.9, 2623, 22519, 30606, 39846, 45946, 0
1000.000068, 9.999975, 46934, 1209, 5361.4, 2637, 22222, 31407, 46645, 68098, 0
1010.000096, 10.000028, 47237, 939, 5295.5, 2647, 21889, 30097, 38373, 45061, 0
1020.000384, 10.000288, 47389, 1121, 5319.6, 2627, 22176, 30350, 41294, 57989, 0
1030.000068, 9.999684, 47148, 1142, 5308.8, 2582, 22032, 32439, 44232, 73307, 0
1040.00006, 9.999992, 47237, 1146, 5229.1, 2600, 21774, 30432, 38367, 49385, 0
1050.000072, 10.000012, 47604, 1046, 5366.2, 2607, 22890, 33143, 42609, 63664, 0
1060.000047, 9.999975, 46613, 1051, 5384.5, 2631, 22341, 32583, 42871, 59203, 0
1070.000115, 10.000068, 47473, 1124, 5375.8, 2647, 22138, 32184, 42412, 54641, 0
1080.000088, 9.999973, 47159, 1215, 5388.2, 2600, 23048, 33228, 45002, 55120, 0
1090.000041, 9.999953, 47357, 1076, 5321.9, 2596, 21844, 31918, 42003, 62932, 0
1100.00005, 10.000009, 47242, 1080, 5315.7, 2586, 21936, 30610, 38641, 46381, 0
1110.000067, 10.000017, 47179, 1145, 5385.2, 2603, 22890, 31928, 40672, 59920, 0
1120.000072, 10.000005, 47042, 1026, 5372.3, 2578, 22872, 32905, 41960, 54717, 0
