elapsed, window, total, successful, failed
10.000049, 10.000049, 119243, 119243, 0
20.000082, 10.000033, 116285, 116285, 0
30.000296, 10.000214, 118787, 118787, 0
40.000089, 9.999793, 120594, 120594, 0
50.000054, 9.999965, 122541, 122541, 0
60.000086, 10.000032, 123970, 123970, 0
70.000047, 9.999961, 127031, 127031, 0
80.000089, 10.000042, 128507, 128507, 0
90.000066, 9.999977, 128086, 128086, 0
100.000077, 10.000011, 132041, 132041, 0
110.000056, 9.999979, 133512, 133512, 0
120.000061, 10.000005, 132194, 132194, 0
130.000147, 10.000086, 135632, 135632, 0
140.00007, 9.999923, 135588, 135588, 0
150.000166, 10.000096, 134271, 134271, 0
160.000046, 9.99988, 137771, 137771, 0
170.000046, 10.0, 138022, 138022, 0
180.000074, 10.000028, 136365, 136365, 0
190.000077, 10.000003, 138957, 138957, 0
200.000045, 9.999968, 139651, 139651, 0
210.000054, 10.000009, 137920, 137920, 0
220.000046, 9.999992, 140191, 140191, 0
230.00005, 10.000004, 139801, 139801, 0
240.000095, 10.000045, 138743, 138743, 0
250.000049, 9.999954, 140315, 140315, 0
260.00008, 10.000031, 141270, 141270, 0
270.000064, 9.999984, 139585, 139585, 0
280.000089, 10.000025, 140981, 140981, 0
290.000055, 9.999966, 141493, 141493, 0
300.000056, 10.000001, 140159, 140159, 0
310.000056, 10.0, 141739, 141739, 0
320.000048, 9.999992, 142208, 142208, 0
330.000046, 9.999998, 139330, 139330, 0
340.000065, 10.000019, 142228, 142228, 0
350.000082, 10.000017, 141373, 141373, 0
360.000056, 9.999974, 140518, 140518, 0
370.000086, 10.00003, 141393, 141393, 0
380.000047, 9.999961, 142153, 142153, 0
390.000057, 10.00001, 140122, 140122, 0
400.00008, 10.000023, 141037, 141037, 0
410.000052, 9.999972, 141733, 141733, 0
420.000061, 10.000009, 140072, 140072, 0
430.000088, 10.000027, 142165, 142165, 0
440.000048, 9.99996, 140879, 140879, 0
450.000059, 10.000011, 139713, 139713, 0
460.000092, 10.000033, 142176, 142176, 0
470.000248, 10.000156, 141372, 141372, 0
480.000047, 9.999799, 141241, 141241, 0
