elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
9.999955, 9.999955, 9550, 937, 9365.8, 6663, 26354, 49718, 76221, 104849, 0
20.000163, 10.000208, 8125, 1113, 10834.3, 7405, 33003, 56361, 75704, 104849, 0
30.000166, 10.000003, 8425, 992, 10622.5, 7334, 32418, 57066, 87124, 106268, 0
40.000163, 9.999997, 8558, 893, 10211.7, 7044, 29706, 54439, 76648, 90250, 0
50.000156, 9.999993, 8696, 1053, 9866.0, 7000, 28166, 50001, 70563, 88462, 0
60.000145, 9.999989, 8714, 1053, 9895.8, 6924, 29617, 52110, 67532, 96753, 0
70.000191, 10.000046, 9086, 979, 9841.0, 6862, 30279, 50819, 66974, 78601, 0
80.000204, 10.000013, 9131, 960, 9601.9, 6678, 28523, 49045, 66482, 89085, 0
90.00023, 10.000026, 8973, 695, 9690.9, 6895, 28091, 49311, 69361, 87490, 0
100.001165, 10.000935, 9415, 1015, 9343.1, 6773, 26715, 45925, 61255, 79272, 0
110.000147, 9.998982, 9199, 914, 9273.1, 6740, 26168, 45825, 67203, 85596, 0
120.000159, 10.000012, 9229, 841, 9634.5, 6757, 29572, 49096, 71427, 91087, 0
130.000224, 10.000065, 9394, 776, 9271.9, 6674, 26918, 46377, 66722, 76315, 0
140.000209, 9.999985, 9442, 975, 9310.9, 6544, 27170, 48803, 72089, 101609, 0
150.000158, 9.999949, 9278, 905, 9460.5, 6702, 28047, 45938, 66028, 77716, 0
160.000152, 9.999994, 9269, 827, 9277.6, 6698, 26266, 46505, 64905, 75779, 0
170.000223, 10.000071, 9526, 870, 9082.2, 6643, 25471, 42494, 57908, 77635, 0
180.000182, 9.999959, 9185, 839, 9305.5, 6657, 26252, 48117, 68661, 88074, 0
190.000233, 10.000051, 9463, 935, 9361.4, 6597, 27382, 47316, 66227, 84586, 0
200.000152, 9.999919, 9333, 858, 9246.7, 6639, 26341, 48404, 69686, 87484, 0
210.00024, 10.000088, 8970, 918, 9344.1, 6696, 26814, 46971, 75899, 89705, 0
220.00015, 9.99991, 9509, 798, 9523.7, 6694, 28439, 47733, 68475, 80962, 0
230.000154, 10.000004, 9539, 649, 9217.4, 6633, 26635, 44100, 59280, 83467, 0
240.000156, 10.000002, 9184, 929, 9336.1, 6756, 26321, 44894, 66234, 76498, 0
250.000156, 10.0, 9453, 727, 9300.8, 6730, 26509, 45720, 63586, 75155, 0
260.000153, 9.999997, 9488, 784, 9119.4, 6635, 26523, 46476, 64348, 85632, 0
270.000144, 9.999991, 9186, 836, 9668.4, 6873, 28515, 49317, 75424, 91206, 0
280.000156, 10.000012, 9591, 619, 9144.5, 6661, 26368, 44804, 64533, 82956, 0
290.000145, 9.999989, 9417, 964, 9354.0, 6627, 27857, 47447, 68534, 81867, 0
300.000148, 10.000003, 9176, 872, 9414.9, 6742, 26794, 46599, 69741, 94539, 0
310.000183, 10.000035, 9445, 914, 9501.8, 6670, 28061, 48298, 66153, 84169, 0
320.000157, 9.999974, 9506, 912, 9279.7, 6688, 26678, 44938, 65958, 82511, 0
330.000233, 10.000076, 9153, 752, 9508.3, 6824, 26904, 44403, 66319, 119178, 0
340.000154, 9.999921, 9291, 822, 9291.2, 6526, 27233, 48012, 69002, 84108, 0
350.000213, 10.000059, 9601, 588, 9121.9, 6487, 26124, 46989, 67726, 82434, 0
360.000199, 9.999986, 9283, 1039, 9174.5, 6737, 25670, 42887, 59780, 98834, 0
370.000155, 9.999956, 9523, 845, 9192.5, 6653, 26264, 46072, 64321, 74157, 0
380.000155, 10.0, 9461, 838, 9243.1, 6690, 25744, 46737, 67385, 81310, 0
390.000155, 10.0, 9118, 910, 9496.2, 6821, 26597, 47746, 72171, 80179, 0
400.000153, 9.999998, 9273, 900, 9137.5, 6599, 25506, 45420, 69835, 80623, 0
410.000163, 10.00001, 9531, 922, 9149.6, 6618, 25565, 45794, 62201, 72125, 0
420.000192, 10.000029, 9166, 974, 9531.7, 6824, 27232, 47327, 69631, 89430, 0
430.000156, 9.999964, 9373, 849, 9100.8, 6577, 25684, 44535, 64543, 80123, 0
440.000152, 9.999996, 9393, 830, 9181.2, 6604, 26191, 46906, 62635, 80146, 0
450.000143, 9.999991, 9246, 869, 9388.8, 6851, 26111, 43957, 62979, 83810, 0
460.000157, 10.000014, 9644, 726, 9266.2, 6729, 26096, 46933, 67922, 88232, 0
470.000176, 10.000019, 9427, 834, 9095.1, 6617, 24942, 44270, 66416, 83855, 0
480.000202, 10.000026, 9192, 1017, 9324.8, 6805, 25644, 43977, 63321, 91938, 0
490.000158, 9.999956, 9395, 805, 9117.7, 6568, 26530, 45763, 69910, 86657, 0
500.000173, 10.000015, 9357, 833, 9394.7, 6681, 27126, 45332, 65500, 87752, 0
510.000154, 9.999981, 9102, 999, 9354.0, 6805, 26150, 46159, 66552, 71618, 0
520.000148, 9.999994, 9486, 788, 9231.6, 6639, 26352, 47285, 61011, 78944, 0
530.000158, 10.00001, 9553, 794, 9135.1, 6638, 26752, 44477, 64650, 82466, 0
540.000152, 9.999994, 9322, 792, 9438.3, 6760, 27159, 47699, 70745, 85669, 0
550.00016, 10.000008, 9618, 838, 9238.1, 6675, 25836, 45227, 68492, 75905, 0
560.000154, 9.999994, 9376, 686, 9354.0, 6668, 27049, 46432, 68199, 93361, 0
570.000168, 10.000014, 9200, 867, 9580.6, 6866, 27033, 47374, 66058, 79711, 0
580.000147, 9.999979, 9580, 982, 9254.4, 6653, 26123, 45816, 66072, 73134, 0
590.000158, 10.000011, 9619, 817, 9389.7, 6762, 27153, 45564, 63013, 71499, 0
600.000162, 10.000004, 9213, 928, 9291.8, 6744, 26576, 44811, 67254, 81193, 0
610.000156, 9.999994, 9323, 764, 9373.5, 6737, 26960, 47771, 67025, 78063, 0
620.000156, 10.0, 9430, 888, 9409.6, 6799, 26754, 46161, 70428, 93893, 0
630.000154, 9.999998, 9316, 842, 9421.8, 6756, 27056, 47108, 71788, 93893, 0
640.000162, 10.000008, 9357, 920, 9074.5, 6678, 24705, 44324, 70758, 85372, 0
650.000154, 9.999992, 9569, 768, 9359.8, 6715, 27521, 46936, 66239, 81573, 0
660.000222, 10.000068, 9187, 857, 9567.1, 6725, 28076, 49748, 70412, 80547, 0
670.000179, 9.999957, 9387, 753, 9408.5, 6618, 28264, 49694, 68759, 82876, 0
680.000155, 9.999976, 9432, 869, 9279.3, 6536, 27258, 48791, 70814, 88940, 0
690.000155, 10.0, 9168, 925, 9531.3, 6717, 28033, 47038, 71945, 89252, 0
700.000163, 10.000008, 9468, 942, 9348.2, 6800, 25959, 45577, 69575, 84503, 0
710.000154, 9.999991, 9527, 1109, 9193.1, 6708, 25665, 45169, 65347, 83242, 0
720.000166, 10.000012, 9029, 643, 9558.9, 6885, 26931, 45361, 70249, 84138, 0
730.000157, 9.999991, 9432, 899, 9524.4, 6723, 27643, 47508, 68161, 81272, 0
740.000161, 10.000004, 9253, 977, 9344.3, 6663, 27113, 47101, 67899, 86057, 0
750.00018, 10.000019, 9142, 945, 9431.0, 6736, 26811, 48374, 68340, 86090, 0
760.000157, 9.999977, 9712, 736, 9238.5, 6743, 26018, 45146, 63203, 74452, 0
770.000149, 9.999992, 9399, 831, 9276.8, 6708, 26293, 45822, 66924, 84360, 0
780.000154, 10.000005, 9341, 917, 9264.1, 6709, 25983, 46749, 73244, 81993, 0
790.000156, 10.000002, 9408, 726, 9167.2, 6557, 25817, 45241, 67317, 88023, 0
800.000169, 10.000013, 9397, 776, 9536.2, 6693, 27848, 49980, 68430, 82393, 0
810.000158, 9.999989, 9487, 991, 9588.3, 6762, 28475, 49107, 68915, 89247, 0
820.000192, 10.000034, 9406, 828, 9231.8, 6663, 27216, 47193, 66149, 76235, 0
830.000164, 9.999972, 9394, 797, 9463.2, 6812, 27721, 46679, 66034, 81798, 0
840.000183, 10.000019, 9154, 934, 9127.9, 6637, 25225, 45354, 67388, 84439, 0
850.000156, 9.999973, 9432, 768, 9297.9, 6653, 27054, 45508, 62044, 81238, 0
860.000164, 10.000008, 9620, 749, 9390.2, 6700, 26864, 47619, 69220, 92942, 0
870.000161, 9.999997, 9145, 705, 9328.3, 6709, 26682, 44786, 66057, 78892, 0
880.000154, 9.999993, 9441, 1000, 9293.0, 6740, 26223, 43314, 64481, 87282, 0
890.000219, 10.000065, 9499, 850, 9166.1, 6746, 25852, 44664, 63791, 74345, 0
900.00026, 10.000041, 9271, 783, 9251.2, 6854, 25944, 44633, 65408, 79278, 0
910.000166, 9.999906, 9444, 864, 9241.0, 6722, 26435, 43776, 65382, 80518, 0
920.000148, 9.999982, 9420, 970, 9211.6, 6554, 26951, 46929, 66757, 85582, 0
930.001668, 10.00152, 9028, 956, 9432.4, 6780, 27453, 45131, 66040, 86778, 0
940.000152, 9.998484, 9402, 980, 9390.5, 6603, 27211, 46774, 66595, 74473, 0
950.000208, 10.000056, 9417, 684, 9307.1, 6726, 26467, 46767, 65791, 74202, 0
960.00016, 9.999952, 9242, 893, 9370.5, 6799, 26214, 46227, 73646, 83391, 0
970.000234, 10.000074, 9400, 877, 9317.2, 6778, 26034, 44391, 63099, 82286, 0
