elapsed, window, total, successful, failed
9.999962, 9.999962, 28384, 28384, 0
20.000914, 10.000952, 24443, 24443, 0
30.001836, 10.000922, 25105, 25105, 0
40.000834, 9.998998, 25751, 25751, 0
50.000838, 10.000004, 26459, 26459, 0
60.000822, 9.999984, 26593, 26593, 0
70.000851, 10.000029, 27233, 27233, 0
80.000832, 9.999981, 27296, 27296, 0
90.000864, 10.000032, 27286, 27286, 0
100.000884, 10.00002, 27968, 27968, 0
110.001917, 10.001033, 27749, 27749, 0
120.000845, 9.998928, 27576, 27576, 0
130.000861, 10.000016, 28147, 28147, 0
140.000857, 9.999996, 28116, 28116, 0
150.000891, 10.000034, 27851, 27851, 0
160.00182, 10.000929, 28128, 28128, 0
170.000851, 9.999031, 28265, 28265, 0
180.000832, 9.999981, 27673, 27673, 0
190.000825, 9.999993, 28136, 28136, 0
200.000829, 10.000004, 28317, 28317, 0
210.000881, 10.000052, 27389, 27389, 0
220.001826, 10.000945, 28399, 28399, 0
230.000843, 9.999017, 28432, 28432, 0
240.000829, 9.999986, 27575, 27575, 0
250.000888, 10.000059, 28472, 28472, 0
260.000826, 9.999938, 28435, 28435, 0
270.000816, 9.99999, 27570, 27570, 0
280.000822, 10.000006, 28427, 28427, 0
290.00082, 9.999998, 28321, 28321, 0
300.000855, 10.000035, 27401, 27401, 0
310.000887, 10.000032, 28275, 28275, 0
320.000906, 10.000019, 28370, 28370, 0
330.00082, 9.999914, 27682, 27682, 0
340.000894, 10.000074, 28478, 28478, 0
350.00089, 9.999996, 28429, 28429, 0
360.001836, 10.000946, 27850, 27850, 0
370.000839, 9.999003, 28474, 28474, 0
380.000821, 9.999982, 28271, 28271, 0
390.000831, 10.00001, 27522, 27522, 0
400.000838, 10.000007, 28219, 28219, 0
410.000918, 10.00008, 28345, 28345, 0
420.000818, 9.9999, 27579, 27579, 0
430.000829, 10.000011, 28501, 28501, 0
440.000849, 10.00002, 28278, 28278, 0
450.000858, 10.000009, 27664, 27664, 0
460.000846, 9.999988, 28413, 28413, 0
470.000837, 9.999991, 28377, 28377, 0
480.000835, 9.999998, 27630, 27630, 0
490.000835, 10.0, 28407, 28407, 0
500.000828, 9.999993, 28171, 28171, 0
510.000821, 9.999993, 27483, 27483, 0
520.000818, 9.999997, 28447, 28447, 0
530.000828, 10.00001, 28438, 28438, 0
540.000917, 10.000089, 27775, 27775, 0
550.000972, 10.000055, 28471, 28471, 0
560.000836, 9.999864, 28257, 28257, 0
570.00083, 9.999994, 27688, 27688, 0
580.000896, 10.000066, 28246, 28246, 0
590.000834, 9.999938, 28408, 28408, 0
600.000834, 10.0, 27791, 27791, 0
610.000827, 9.999993, 28234, 28234, 0
620.000835, 10.000008, 28354, 28354, 0
630.000837, 10.000002, 27798, 27798, 0
640.001019, 10.000182, 28345, 28345, 0
650.000831, 9.999812, 28231, 28231, 0
660.000831, 10.0, 27648, 27648, 0
670.000834, 10.000003, 28226, 28226, 0
680.00083, 9.999996, 28427, 28427, 0
690.000839, 10.000009, 27595, 27595, 0
700.000863, 10.000024, 28308, 28308, 0
710.001153, 10.00029, 28495, 28495, 0
720.00082, 9.999667, 27391, 27391, 0
730.000955, 10.000135, 28186, 28186, 0
740.000827, 9.999872, 28422, 28422, 0
750.000836, 10.000009, 27625, 27625, 0
760.000826, 9.99999, 28566, 28566, 0
770.000831, 10.000005, 28170, 28170, 0
780.000819, 9.999988, 27907, 27907, 0
790.000839, 10.00002, 28264, 28264, 0
800.000822, 9.999983, 28361, 28361, 0
810.000832, 10.00001, 27868, 27868, 0
820.000852, 10.00002, 28104, 28104, 0
830.000827, 9.999975, 28359, 28359, 0
840.00083, 10.000003, 27698, 27698, 0
850.000832, 10.000002, 28361, 28361, 0
860.000858, 10.000026, 28529, 28529, 0
870.000823, 9.999965, 27626, 27626, 0
880.000832, 10.000009, 28312, 28312, 0
890.000828, 9.999996, 28503, 28503, 0
900.000829, 10.000001, 27731, 27731, 0
910.000847, 10.000018, 28375, 28375, 0
920.00083, 9.999983, 28419, 28419, 0
930.000836, 10.000006, 27635, 27635, 0
940.000843, 10.000007, 28225, 28225, 0
