elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.00005, 10.00005, 56828, 414, 1458.1, 1165, 2957, 4148, 11619, 52528, 0
20.000601, 10.000551, 38464, 379, 1560.8, 1202, 3160, 4590, 11589, 399987, 0
30.000681, 10.00008, 30948, 341, 1534.8, 1146, 3197, 5113, 13824, 399987, 0
40.000957, 10.000276, 14288, 317, 844.6, 785, 1284, 1799, 10693, 21213, 192186
50.000609, 9.999652, 145, 426, 120497.7, 867, 2105, 4995477, 4996974, 4996974, 246819
60.000613, 10.000004, 380, 372, 127515.3, 868, 506925, 2758658, 6000105, 6000105, 183661
70.000581, 9.999968, 1412, 337, 6529.1, 789, 1389, 12984, 367678, 4707303, 137990
80.000625, 10.000044, 12100, 347, 1564.6, 1012, 2648, 3917, 12771, 1430040, 114443
90.000589, 9.999964, 45088, 359, 1440.5, 1143, 3054, 4184, 8708, 36754, 0
100.000586, 9.999997, 33356, 317, 1524.8, 1135, 3433, 5207, 13658, 122213, 77332
110.00064, 10.000054, 15359, 372, 1886.2, 1079, 2733, 4981, 32013, 2496875, 97155
120.000587, 9.999947, 37249, 368, 1595.7, 1142, 3476, 6012, 18306, 467874, 0
130.00061, 10.000023, 20117, 360, 1958.6, 1218, 3818, 7295, 34128, 1240500, 0
140.000606, 9.999996, 2436, 351, 1884.7, 966, 2206, 8003, 264177, 541111, 68752
150.000604, 9.999998, 530, 402, 28999.9, 1018, 25306, 961078, 1458532, 1718349, 147283
160.000597, 9.999993, 133, 457, 568945.4, 1269, 3460757, 4477607, 4961710, 4961710, 132110
170.000608, 10.000011, 5285, 370, 9365.9, 1092, 3360, 29830, 2075016, 4763786, 58839
180.00059, 9.999982, 28766, 359, 1735.1, 1165, 3365, 5033, 19375, 659167, 0
190.000633, 10.000043, 43541, 411, 1654.9, 1235, 3475, 4880, 12302, 881194, 0
200.000591, 9.999958, 1989, 347, 4107.7, 971, 2569, 4981, 1360089, 2147308, 22281
210.000593, 10.000002, 1418, 350, 42513.2, 980, 3274, 1370339, 3790732, 3845341, 151393
220.000621, 10.000028, 19861, 358, 1433.7, 1117, 3283, 4716, 9136, 39444, 0
230.000697, 10.000076, 22119, 329, 1616.6, 1168, 3344, 4805, 11532, 2230953, 0
240.000604, 9.999907, 18298, 381, 1532.6, 1158, 3409, 5419, 15989, 281238, 0
250.000617, 10.000013, 16644, 349, 1666.9, 1215, 3453, 4939, 13586, 359731, 20349
260.000613, 9.999996, 4525, 380, 3183.3, 1026, 3842, 16116, 403860, 1886924, 0
270.000632, 10.000019, 1308, 392, 18120.8, 1173, 7423, 337089, 1977730, 2574704, 71977
280.000637, 10.000005, 1504, 407, 17242.6, 1054, 23889, 324929, 1641647, 1649756, 3269
290.000671, 10.000034, 3526, 405, 3867.4, 1074, 3028, 30520, 552449, 1399864, 0
300.000605, 9.999934, 5917, 355, 4514.9, 1122, 4669, 21595, 779183, 1963969, 44521
310.000669, 10.000064, 28096, 391, 1714.9, 1160, 3824, 7696, 29278, 562509, 0
320.000651, 9.999982, 24487, 369, 1563.1, 1132, 3608, 6293, 19797, 200682, 0
330.000701, 10.00005, 25212, 372, 1545.6, 1129, 3202, 4907, 14750, 2102076, 0
340.000635, 9.999934, 18676, 330, 1299.0, 1063, 2524, 4603, 11050, 289715, 0
350.000789, 10.000154, 18777, 376, 1542.7, 1165, 3251, 4614, 12534, 495590, 0
360.00061, 9.999821, 23018, 401, 1421.7, 1125, 3086, 4748, 10461, 139688, 24650
370.00062, 10.00001, 19343, 357, 1222.9, 1032, 2388, 3971, 7637, 273826, 0
380.000611, 9.999991, 13310, 349, 1826.3, 1128, 3571, 6886, 28926, 1429903, 0
390.000705, 10.000094, 1830, 366, 14974.5, 1012, 7293, 396563, 1550844, 2174868, 44798
400.000608, 9.999903, 2871, 363, 3972.8, 1090, 8811, 47033, 302616, 738596, 25923
410.000607, 9.999999, 2324, 370, 11513.0, 1034, 18762, 265571, 1884885, 3020959, 7312
420.000613, 10.000006, 4542, 399, 3158.4, 1011, 3024, 31232, 379126, 1004018, 0
430.000595, 9.999982, 11505, 402, 2516.0, 1155, 3529, 9472, 153036, 1957904, 0
440.000614, 10.000019, 17583, 367, 1648.7, 1127, 3419, 7871, 31608, 653470, 0
450.000666, 10.000052, 25301, 401, 1617.7, 1154, 3502, 6405, 18683, 863054, 0
460.000601, 9.999935, 21634, 371, 1651.2, 1168, 3376, 5924, 27225, 863054, 0
470.000772, 10.000171, 24385, 374, 1519.8, 1138, 3323, 5438, 14233, 442894, 0
480.000654, 9.999882, 14360, 346, 1269.7, 1028, 2296, 4968, 19368, 108320, 0
490.000616, 9.999962, 17678, 369, 1320.8, 1100, 2436, 4132, 11847, 117292, 0
500.000692, 10.000076, 28189, 404, 1657.4, 1201, 3581, 5170, 12876, 1205576, 0
510.000675, 9.999983, 17543, 383, 1462.5, 1132, 3261, 4892, 10678, 245045, 0
520.000673, 9.999998, 6629, 411, 1848.6, 1039, 2221, 8988, 122646, 900257, 0
530.000608, 9.999935, 1006, 406, 18385.9, 1083, 13037, 553143, 1306094, 2748414, 38176
