elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.00005, 10.00005, 55988, 1017, 7583.6, 2848, 40756, 52229, 63206, 76143, 0
20.000601, 10.000551, 39585, 800, 8605.3, 2910, 42414, 57506, 73606, 1886195, 0
30.000681, 10.00008, 30975, 747, 13078.1, 2825, 39952, 61437, 2201734, 3962504, 0
40.000957, 10.000276, 14004, 718, 1721.2, 1538, 2739, 5009, 13409, 85049, 193014
50.000609, 9.999652, 121, 830, 1384.9, 1270, 2157, 2563, 2617, 2617, 245391
60.000613, 10.000004, 338, 768, 345126.6, 1642, 1964177, 4969841, 8849486, 8849486, 184050
70.000581, 9.999968, 1366, 716, 94189.0, 1369, 145215, 3101977, 9802498, 10201098, 138070
80.000625, 10.000044, 11871, 726, 27555.9, 2350, 23984, 694387, 3840304, 4864597, 115269
90.000589, 9.999964, 44786, 761, 7633.8, 2678, 41135, 54104, 345646, 757347, 0
100.000586, 9.999997, 33035, 763, 9746.7, 2645, 40684, 56194, 678467, 4718204, 77383
110.00064, 10.000054, 15796, 780, 12952.7, 2423, 24530, 211497, 1644422, 2482222, 97706
120.000587, 9.999947, 36702, 739, 12095.6, 2596, 39763, 155345, 1032235, 1555855, 0
130.00061, 10.000023, 20606, 804, 15272.2, 2774, 46941, 286891, 1294235, 1555855, 0
140.000606, 9.999996, 2534, 798, 109747.2, 1888, 75453, 4058825, 4810349, 4947405, 68638
150.000604, 9.999998, 487, 832, 281296.6, 1699, 2380415, 4712670, 4976839, 4976839, 147775
160.000597, 9.999993, 109, 858, 522381.9, 1794, 3505420, 4299447, 4509201, 4509201, 131979
170.000608, 10.000011, 5440, 801, 65615.8, 2452, 268740, 1648840, 4067067, 4802813, 58834
180.00059, 9.999982, 28133, 767, 19103.2, 2619, 43762, 387960, 2646548, 3656907, 0
190.000633, 10.000043, 43484, 874, 9534.2, 2757, 46871, 61431, 784366, 1620472, 0
200.000591, 9.999958, 1960, 773, 61476.8, 1956, 54419, 2264654, 3683684, 4142473, 22196
210.000593, 10.000002, 1293, 800, 128717.3, 1952, 777947, 3424919, 4607733, 4610710, 151244
220.000621, 10.000028, 19899, 815, 26107.6, 2454, 42521, 581641, 3170500, 4296836, 0
230.000697, 10.000076, 22413, 780, 16143.6, 2580, 42660, 78955, 2234937, 2351594, 0
240.000604, 9.999907, 18257, 774, 30587.4, 2508, 41310, 671023, 3934834, 4159369, 0
250.000617, 10.000013, 17064, 785, 19255.1, 2681, 45172, 122698, 3128666, 4824789, 20126
260.000613, 9.999996, 4581, 789, 100898.7, 2068, 560396, 2523063, 3744199, 4403446, 0
270.000632, 10.000019, 1363, 861, 153044.6, 2560, 1156806, 3642668, 4821023, 4997187, 72003
280.000637, 10.000005, 1468, 765, 359932.6, 2240, 2514171, 3713648, 4454063, 4665506, 3298
290.000671, 10.000034, 3566, 794, 126831.7, 2158, 922550, 3037868, 4216636, 4454063, 0
300.000605, 9.999934, 5855, 761, 77906.9, 2423, 368415, 1908913, 4497603, 4862107, 44066
310.000669, 10.000064, 28194, 790, 16440.8, 2561, 42321, 482883, 775152, 1092179, 0
320.000651, 9.999982, 24742, 796, 17051.9, 2462, 41262, 341366, 2172218, 3749323, 0
330.000701, 10.00005, 25273, 810, 19023.2, 2449, 41408, 359862, 2391094, 4387112, 0
340.000635, 9.999934, 18949, 811, 24329.2, 2216, 29075, 833415, 2346974, 3194368, 0
350.000789, 10.000154, 18889, 788, 16566.6, 2530, 48275, 337790, 1808270, 3055865, 0
360.00061, 9.999821, 22842, 810, 23211.9, 2414, 30844, 729251, 3007442, 4815882, 24904
370.00062, 10.00001, 19326, 760, 22350.4, 2046, 13993, 729296, 2355601, 3645203, 0
380.000611, 9.999991, 13592, 807, 24167.7, 2427, 34963, 688474, 1980337, 2665240, 0
390.000705, 10.000094, 1766, 822, 225378.8, 1964, 1513534, 4207395, 4863685, 4867168, 44490
400.000608, 9.999903, 2822, 767, 170928.9, 2361, 1464979, 3087302, 4789836, 4867497, 25855
410.000607, 9.999999, 2272, 775, 229835.6, 2023, 2030800, 2945555, 3565718, 4758883, 7285
420.000613, 10.000006, 4498, 774, 119048.4, 1952, 935975, 2324097, 3556405, 4758883, 0
430.000595, 9.999982, 11458, 805, 40617.6, 2488, 61947, 1543144, 2189637, 2742578, 0
440.000614, 10.000019, 17525, 803, 29350.9, 2422, 43426, 671902, 3411584, 4813173, 0
450.000666, 10.000052, 25464, 808, 17574.5, 2497, 45120, 513771, 1444612, 1796599, 0
460.000601, 9.999935, 21347, 788, 23039.3, 2510, 44040, 687968, 2150889, 3292431, 0
470.000772, 10.000171, 24279, 786, 17984.5, 2439, 36997, 441793, 2116228, 3439200, 0
480.000654, 9.999882, 14463, 758, 31358.9, 2062, 19415, 1061362, 2572757, 3810381, 0
490.000616, 9.999962, 17540, 781, 27819.2, 2285, 18811, 869159, 3292365, 3396613, 0
500.000692, 10.000076, 27641, 812, 16268.9, 2596, 39192, 196628, 2621883, 4169214, 0
510.000675, 9.999983, 17573, 819, 20681.7, 2398, 39099, 503727, 2191726, 3087676, 0
520.000673, 9.999998, 6478, 799, 81518.3, 2032, 373711, 2414550, 4029820, 4483212, 0
530.000608, 9.999935, 963, 805, 268955.1, 2190, 2220770, 3843639, 4564495, 4816849, 38454
540.000661, 10.000053, 2529, 802, 199764.3, 1699, 1606242, 3747721, 4836665, 4983717, 21137
550.000619, 9.999958, 5373, 783, 91295.4, 2076, 656633, 2000372, 2925858, 3712253, 0
560.00061, 9.999991, 3026, 807, 152080.7, 1929, 1087179, 3008273, 4016541, 4363961, 5243
570.000631, 10.000021, 12901, 822, 46475.2, 2548, 90880, 1319192, 2867844, 4363961, 0
580.000627, 9.999996, 21533, 762, 19854.1, 2558, 49273, 398611, 2090553, 3223220, 0
590.000609, 9.999982, 8629, 825, 52079.0, 2102, 35399, 1664349, 4887664, 4962478, 0
600.001036, 10.000427, 26824, 785, 20396.6, 2521, 43782, 492532, 2570562, 2861700, 0
609.999992, 9.998956, 14953, 787, 29684.9, 1991, 34579, 885338, 2268383, 2954156, 0
620.000586, 10.000594, 15714, 769, 31520.4, 2335, 44487, 1088672, 3033417, 3398378, 0
630.000587, 10.000001, 36767, 781, 13139.6, 2545, 41789, 81215, 1728236, 2804248, 0
640.000611, 10.000024, 18167, 803, 22027.8, 2529, 47965, 380635, 3162825, 3904648, 0
650.000603, 9.999992, 6169, 800, 70264.1, 1805, 68699, 2134997, 4492122, 4951799, 25633
660.000609, 10.000006, 24277, 774, 20226.2, 2548, 43885, 361727, 2533876, 3463493, 0
670.001004, 10.000395, 4701, 828, 89449.9, 2097, 505009, 2322708, 2508641, 4712303, 0
680.000659, 9.999655, 2238, 844, 177657.4, 2116, 1375990, 3671395, 4605141, 4868715, 62967
690.000586, 9.999927, 4618, 793, 93772.7, 2054, 499621, 2194009, 3358885, 3930009, 0
700.000604, 10.000018, 5646, 804, 83967.7, 2121, 541420, 1858104, 2969311, 3745675, 0
710.000638, 10.000034, 4312, 821, 120925.9, 1991, 918283, 2315556, 3471919, 4428677, 3407
720.000605, 9.999967, 17364, 835, 29617.9, 2510, 63222, 811830, 1696587, 2449213, 0
730.000594, 9.999989, 9775, 789, 40985.5, 2461, 55197, 1391916, 2410517, 2525685, 0
740.000615, 10.000021, 29444, 792, 15408.3, 2512, 42112, 356156, 1317994, 2430538, 0
750.000648, 10.000033, 11623, 806, 41530.7, 2321, 47701, 1437489, 3011953, 3523126, 0
760.000619, 9.999971, 12028, 823, 36643.4, 2106, 23572, 1125373, 2806306, 4505061, 0
770.00059, 9.999971, 26256, 812, 19772.4, 2180, 34235, 643024, 2023452, 3018240, 0
780.000614, 10.000024, 26996, 775, 16618.8, 2387, 33620, 448928, 1628357, 2130058, 0
790.000672, 10.000058, 18119, 806, 22147.4, 2189, 21692, 750662, 2506665, 4094745, 0
800.000591, 9.999919, 13097, 780, 40317.9, 2066, 39915, 1398364, 3283481, 4290843, 0
810.000614, 10.000023, 20679, 828, 18587.8, 2415, 44674, 454678, 1597214, 2669283, 0
820.001252, 10.000638, 1359, 875, 323618.6, 1787, 2611460, 4338676, 4898179, 4900981, 22747
829.999909, 9.998657, 3404, 841, 122146.1, 2251, 835894, 2375142, 4613070, 4681050, 41399
840.000616, 10.000707, 10243, 819, 44960.8, 2452, 114778, 1101978, 2366986, 4109621, 0
850.000607, 9.999991, 1631, 813, 159304.6, 1648, 884162, 3238296, 4032055, 4977786, 76809
860.000615, 10.000008, 5330, 730, 101398.4, 1982, 776509, 2071685, 3102001, 3532386, 8511
870.000601, 9.999986, 12095, 760, 38075.0, 2254, 176975, 882859, 1852159, 2372499, 0
880.000598, 9.999997, 19065, 778, 23448.6, 2498, 56977, 562614, 1948211, 2470175, 0
890.00062, 10.000022, 14709, 818, 34325.9, 2494, 46630, 1011952, 2991187, 3280157, 3282
900.000765, 10.000145, 16992, 801, 26363.2, 2459, 47426, 605855, 2704144, 3206766, 0
910.000902, 10.000137, 11607, 801, 34311.9, 2591, 50929, 1117400, 3494523, 3765426, 0
920.000707, 9.999805, 16571, 790, 29119.4, 2470, 46634, 783536, 1864003, 3260509, 0
930.000642, 9.999935, 26187, 820, 18006.4, 2534, 46853, 371734, 1673920, 2262476, 0
940.000625, 9.999983, 15972, 795, 23358.3, 2554, 44529, 543136, 2736419, 4503696, 17233
950.000615, 9.99999, 27299, 826, 15880.0, 2497, 42323, 182613, 2198126, 3211177, 0
960.000605, 9.99999, 18721, 767, 20533.7, 2355, 44382, 633893, 1671043, 2489102, 0
970.000606, 10.000001, 1834, 808, 257243.2, 1941, 1991994, 4355115, 4965141, 4977635, 30677
980.000611, 10.000005, 5585, 814, 87854.7, 2442, 365980, 2558007, 3542235, 3627322, 0
990.000605, 9.999994, 8774, 789, 58385.8, 2099, 346215, 1541908, 2139641, 2827630, 0
1000.000599, 9.999994, 5313, 797, 90289.1, 1846, 771489, 1746575, 2599711, 3036614, 0
1010.000589, 9.99999, 8107, 763, 63159.2, 2205, 373235, 1378079, 2977158, 3990047, 3184
1020.000655, 10.000066, 13205, 806, 35301.9, 2305, 66018, 992336, 1617018, 2499213, 0
1030.000607, 9.999952, 12752, 795, 36495.9, 2385, 60174, 1156077, 2497269, 3619208, 0
1040.000584, 9.999977, 24143, 795, 18638.9, 2390, 32340, 533928, 1527649, 2037560, 0
1050.000621, 10.000037, 17799, 760, 25666.6, 2448, 41140, 740706, 2728934, 4205301, 0
1060.000596, 9.999975, 10823, 778, 45716.0, 2064, 33516, 1511893, 3790849, 4676568, 0
1070.000665, 10.000069, 17117, 819, 28926.6, 2377, 40351, 801421, 3006040, 4142918, 0
1080.000589, 9.999924, 18076, 784, 23814.9, 2224, 36095, 686979, 2551638, 3714686, 0
1090.00064, 10.000051, 21040, 808, 24440.6, 2154, 16692, 941879, 2080351, 2688095, 0
1100.00059, 9.99995, 19585, 803, 23590.4, 2101, 32540, 799004, 1856842, 2986105, 0
1110.00058, 9.99999, 19186, 780, 23337.3, 2120, 39393, 795635, 2437433, 3147028, 0
1120.000695, 10.000115, 5219, 849, 58024.0, 2497, 65694, 1961206, 4095853, 4487023, 8761
1130.000593, 9.999898, 7312, 784, 55552.1, 2540, 66022, 1707201, 4159213, 4769105, 28779
1140.000613, 10.00002, 11442, 791, 40413.8, 2382, 217730, 1009930, 2259281, 2460333, 0
1150.000597, 9.999984, 3814, 797, 120276.2, 1915, 949984, 2193725, 3940317, 4138321, 0
1160.000658, 10.000061, 8061, 798, 54911.3, 2319, 66252, 1913527, 4026732, 4967767, 9134
1170.000787, 10.000129, 9479, 782, 45913.7, 2375, 70298, 1417017, 2167089, 3866881, 0
1180.000595, 9.999808, 16753, 791, 34669.8, 2362, 50132, 814142, 3292853, 3737897, 0
1190.000699, 10.000104, 13662, 748, 27531.7, 2405, 40996, 476429, 4158011, 4968749, 23733
1200.000633, 9.999934, 18573, 785, 28937.4, 2387, 45124, 822235, 2304805, 2553810, 0
1210.000614, 9.999981, 13613, 767, 32390.6, 2268, 49738, 680610, 3923860, 4186971, 0
1220.000613, 9.999999, 20862, 751, 22514.1, 2528, 47714, 642838, 1924506, 2663092, 0
1230.000663, 10.00005, 22743, 768, 22108.0, 2402, 47062, 678289, 1500423, 2673625, 0
1240.000594, 9.999931, 15263, 836, 19575.3, 2387, 34612, 637098, 1801471, 2576837, 0
1250.000655, 10.000061, 11429, 792, 37794.6, 2227, 49215, 1269664, 3036206, 4399321, 47767
1260.000613, 9.999958, 27199, 787, 17639.6, 2519, 44065, 405804, 1919733, 2313998, 0
1270.000598, 9.999985, 9392, 817, 49848.7, 2530, 73764, 1438056, 3453030, 3638326, 0
1280.000663, 10.000065, 7578, 822, 36349.4, 2192, 97198, 863582, 1562818, 4993332, 65437
1290.000616, 9.999953, 5375, 825, 86959.6, 2100, 540778, 2344802, 3626476, 4192450, 0
1300.0006, 9.999984, 5013, 799, 89557.4, 2343, 545386, 2205647, 3517455, 3559743, 0
1310.000775, 10.000175, 11313, 801, 48819.6, 2345, 77268, 1535829, 3910901, 4666698, 0
1320.000615, 9.99984, 16112, 815, 29758.9, 2336, 70410, 779606, 1565176, 3309473, 0
1330.000598, 9.999983, 11556, 787, 40513.3, 2309, 53059, 1631088, 2784537, 3442399, 0
1340.000612, 10.000014, 18609, 798, 24614.1, 2158, 17131, 869668, 3528071, 4603000, 0
1350.000663, 10.000051, 11607, 807, 40355.8, 2321, 82119, 1114489, 2485427, 2938525, 0
1360.000685, 10.000022, 9784, 795, 50798.3, 2344, 51410, 1503302, 3375110, 3577187, 0
1370.000591, 9.999906, 31383, 826, 14102.8, 2681, 45511, 227042, 1024318, 2485177, 0
1380.000617, 10.000026, 15920, 795, 21574.0, 2284, 39465, 728853, 1553511, 2251490, 0
1390.000666, 10.000049, 4847, 802, 113846.9, 1795, 604404, 3628323, 4361216, 4531015, 6408
1400.000671, 10.000005, 19042, 810, 23200.2, 2259, 38418, 792638, 2109922, 2677272, 0
1410.000658, 9.999987, 25887, 795, 20416.9, 2366, 38005, 574631, 1563115, 2615525, 0
1420.000619, 9.999961, 6749, 799, 50189.9, 2551, 56308, 1872576, 3143908, 4058301, 0
1430.000614, 9.999995, 16149, 793, 31499.8, 2351, 49089, 802729, 2019913, 4228616, 0
1440.000666, 10.000052, 4185, 784, 100688.6, 1967, 549631, 2523433, 3891230, 4294618, 6687
1450.000678, 10.000012, 3682, 776, 119727.0, 1945, 927613, 2436081, 3966014, 4514342, 25526
1460.00064, 9.999962, 13760, 803, 33511.8, 2471, 58501, 897029, 2252477, 2927870, 0
1470.000609, 9.999969, 10461, 802, 51159.8, 2235, 85261, 1647168, 2665773, 3144711, 0
1480.000673, 10.000064, 14038, 842, 32946.8, 2375, 38002, 935683, 2589032, 3042607, 0
1490.00063, 9.999957, 19735, 801, 22038.8, 2366, 36003, 572566, 1845735, 2332006, 0
1500.0006, 9.99997, 16059, 792, 30200.5, 2465, 43954, 959389, 2021772, 2704408, 0
1510.000597, 9.999997, 8890, 806, 57009.3, 2364, 81965, 1910874, 3494269, 3602703, 0
1520.000637, 10.00004, 17158, 787, 30237.8, 2423, 36034, 881915, 4209732, 4947697, 0
1530.000608, 9.999971, 17157, 791, 24145.8, 2261, 34748, 802707, 2019625, 2944214, 0
1540.000679, 10.000071, 15345, 781, 25400.0, 2290, 36522, 653655, 2640245, 3242817, 0
1550.000628, 9.999949, 21409, 794, 28428.1, 2490, 37449, 816803, 3169336, 3586564, 0
1560.000607, 9.999979, 13357, 779, 29939.0, 2200, 42407, 895815, 2643551, 2918089, 0
1570.000622, 10.000015, 10540, 808, 45617.4, 2056, 36788, 1544315, 3085343, 3431188, 0
1580.000655, 10.000033, 21413, 827, 22009.7, 2473, 34334, 708120, 1838821, 3657547, 0
1590.000609, 9.999954, 4497, 813, 109351.9, 2212, 706367, 2664949, 4001254, 4399497, 0
1600.000614, 10.000005, 7542, 785, 62114.4, 2339, 145810, 1803018, 3189110, 3976934, 0
1610.000614, 10.0, 5650, 792, 93212.2, 1934, 495506, 2624161, 3120090, 3327364, 3346
1620.000601, 9.999987, 15305, 805, 31883.8, 2379, 83116, 819240, 1432083, 1877133, 0
1630.000598, 9.999997, 9335, 802, 43920.0, 2431, 67973, 1575896, 2442334, 3305946, 0
1640.000623, 10.000025, 17608, 786, 29560.1, 2187, 30553, 976654, 2118466, 3240016, 0
1650.000622, 9.999999, 21317, 807, 22784.1, 2459, 41178, 634117, 2093219, 2600744, 0
1660.000618, 9.999996, 8463, 781, 46218.5, 2502, 70216, 1103775, 4031773, 4557516, 8266
1670.000685, 10.000067, 21827, 758, 21623.5, 2507, 47760, 480063, 2073358, 2423383, 0
1680.000595, 9.99991, 10083, 801, 47233.5, 2173, 43789, 1144375, 4887073, 4979125, 7445
1690.000603, 10.000008, 12154, 822, 38396.3, 2513, 55284, 989756, 3382925, 4183043, 0
1700.000591, 9.999988, 28118, 841, 15807.4, 2605, 45675, 257185, 1650354, 2518189, 0
1710.00065, 10.000059, 14351, 802, 27949.3, 2442, 40856, 881040, 3149661, 3707671, 0
1720.000603, 9.999953, 9232, 800, 37515.7, 2257, 27434, 1316374, 3016437, 3079879, 24038
1730.000606, 10.000003, 16446, 786, 32596.0, 2454, 42751, 695630, 4282932, 4755355, 19279
1740.000707, 10.000101, 8155, 851, 60554.2, 2412, 224709, 1286790, 3307948, 3971270, 0
1750.001405, 10.000698, 5721, 776, 63693.2, 2286, 243388, 1878241, 3138816, 4044371, 0
1759.999879, 9.998474, 10343, 786, 33604.0, 2542, 37946, 1195195, 3520849, 4917897, 46966
1770.000668, 10.000789, 4110, 800, 131810.1, 1944, 756629, 3171539, 4621872, 4966640, 0
1780.000587, 9.999919, 11318, 793, 42577.6, 2272, 89212, 1238996, 2064941, 2761697, 0
1790.000602, 10.000015, 20268, 803, 25286.8, 2462, 46017, 750447, 2371666, 2515375, 0
1800.000593, 9.999991, 16364, 789, 25718.7, 2470, 46810, 588926, 2353155, 2886848, 0
1801.005388, 1.004795, 0, 789, 26830.9, 2477, 48263, 616924, 2378961, 2886848, 0
