elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000031, 10.000031, 48869, 1122, 8610.2, 2599, 49085, 62477, 75264, 203008, 0
19.999978, 9.999947, 40583, 859, 10107.4, 2645, 49832, 71177, 293287, 910034, 0
30.000844, 10.000866, 45470, 898, 9237.7, 2699, 48238, 65008, 163564, 261344, 0
40.000937, 10.000093, 47370, 1022, 8815.1, 2667, 48923, 63685, 75091, 119250, 0
50.000857, 9.99992, 47126, 1212, 8810.9, 2673, 48949, 63081, 80895, 204288, 0
60.000842, 9.999985, 46967, 1176, 8867.4, 2676, 48987, 61660, 71260, 81643, 0
70.000897, 10.000055, 47374, 1045, 8798.8, 2688, 48870, 61856, 76201, 85818, 0
80.000882, 9.999985, 46408, 1012, 9017.5, 2658, 50084, 67067, 85428, 203643, 0
90.000846, 9.999964, 47515, 1025, 8742.9, 2646, 49567, 65672, 81305, 93014, 0
100.000867, 10.000021, 47466, 1120, 8807.0, 2694, 48281, 63230, 79668, 109945, 0
110.000852, 9.999985, 46926, 1111, 8873.5, 2675, 49931, 66526, 85302, 108090, 0
120.000869, 10.000017, 46783, 1060, 8871.3, 2660, 49742, 66012, 89276, 234723, 0
130.000862, 9.999993, 39347, 780, 10828.0, 2612, 56546, 113720, 290277, 404030, 0
140.000903, 10.000041, 35099, 788, 12058.6, 2612, 54919, 151677, 417365, 670594, 0
150.000949, 10.000046, 47104, 1124, 8775.0, 2699, 50375, 64845, 75108, 85783, 0
160.000855, 9.999906, 46869, 1092, 8903.5, 2725, 48976, 65076, 84872, 112574, 0
170.000933, 10.000078, 46346, 1008, 9005.9, 2693, 49497, 66607, 95016, 207188, 0
180.000843, 9.99991, 46770, 1102, 8887.6, 2703, 50402, 63885, 80426, 105322, 0
190.000865, 10.000022, 46236, 1070, 9064.0, 2708, 49948, 69988, 86472, 208079, 0
200.000856, 9.999991, 46438, 1068, 8987.1, 2687, 49643, 67326, 78057, 105953, 0
210.000842, 9.999986, 47914, 1196, 8641.9, 2664, 48332, 61336, 78441, 90606, 0
220.000845, 10.000003, 47425, 1154, 8793.5, 2673, 48999, 66125, 81213, 120471, 0
230.000852, 10.000007, 41803, 719, 10024.2, 2628, 51076, 76421, 365481, 656783, 0
240.000868, 10.000016, 36657, 790, 11571.6, 2578, 59248, 124476, 460972, 803758, 0
250.000915, 10.000047, 39432, 806, 10832.0, 2584, 56911, 127095, 291221, 449307, 0
260.000893, 9.999978, 45647, 1019, 9148.3, 2702, 48934, 71444, 102546, 193794, 0
270.000925, 10.000032, 46442, 1120, 8993.6, 2679, 50847, 63842, 74573, 90934, 0
280.000855, 9.99993, 45891, 1091, 9042.8, 2723, 49712, 64134, 82022, 203743, 0
290.000871, 10.000016, 46631, 1120, 8944.3, 2684, 49215, 67152, 92405, 127617, 0
300.008491, 10.00762, 46848, 1050, 8929.2, 2675, 51279, 66383, 78602, 209130, 0
