elapsed, window, total, successful, failed
10.000047, 10.000047, 100394, 100394, 0
20.000108, 10.000061, 79867, 79867, 0
30.004657, 10.004549, 90778, 90778, 0
40.000711, 9.996054, 94424, 94424, 0
50.000712, 10.000001, 93943, 93943, 0
60.00066, 9.999948, 93677, 93677, 0
70.000715, 10.000055, 93943, 93943, 0
80.000673, 9.999958, 94364, 94364, 0
90.000653, 9.99998, 93772, 93772, 0
100.000651, 9.999998, 94112, 94112, 0
110.000644, 9.999993, 93793, 93793, 0
120.000648, 10.000004, 92610, 92610, 0
130.000643, 9.999995, 79054, 79054, 0
140.000653, 10.00001, 71000, 71000, 0
150.000669, 10.000016, 93031, 93031, 0
160.000671, 10.000002, 92347, 92347, 0
170.000647, 9.999976, 91713, 91713, 0
180.00066, 10.000013, 93083, 93083, 0
190.000663, 10.000003, 92528, 92528, 0
200.000727, 10.000064, 93657, 93657, 0
210.000682, 9.999955, 92648, 92648, 0
220.000644, 9.999962, 92185, 92185, 0
230.000708, 10.000064, 83329, 83329, 0
240.000654, 9.999946, 72309, 72309, 0
250.000667, 10.000013, 80535, 80535, 0
260.000693, 10.000026, 91629, 91629, 0
270.000656, 9.999963, 92653, 92653, 0
280.000673, 10.000017, 92407, 92407, 0
290.000651, 9.999978, 92655, 92655, 0
300.000653, 10.000002, 93413, 93413, 0
310.000641, 9.999988, 92566, 92566, 0
320.000671, 10.00003, 93276, 93276, 0
330.000704, 10.000033, 92738, 92738, 0
340.000675, 9.999971, 79070, 79070, 0
350.000645, 9.99997, 81596, 81596, 0
360.000659, 10.000014, 91651, 91651, 0
370.000664, 10.000005, 91729, 91729, 0
380.000655, 9.999991, 92297, 92297, 0
390.000661, 10.000006, 92572, 92572, 0
400.000679, 10.000018, 91782, 91782, 0
410.000642, 9.999963, 92311, 92311, 0
420.000677, 10.000035, 94133, 94133, 0
430.000665, 9.999988, 83247, 83247, 0
440.000649, 9.999984, 81916, 81916, 0
450.000657, 10.000008, 84111, 84111, 0
460.00067, 10.000013, 91163, 91163, 0
470.000712, 10.000042, 89491, 89491, 0
480.000647, 9.999935, 92925, 92925, 0
490.000734, 10.000087, 91544, 91544, 0
500.00066, 9.999926, 90887, 90887, 0
510.000649, 9.999989, 92381, 92381, 0
520.000687, 10.000038, 91113, 91113, 0
530.000645, 9.999958, 91829, 91829, 0
540.000652, 10.000007, 83101, 83101, 0
550.000664, 10.000012, 86301, 86301, 0
560.000655, 9.999991, 87284, 87284, 0
570.000663, 10.000008, 90140, 90140, 0
580.000687, 10.000024, 88219, 88219, 0
590.00068, 9.999993, 92549, 92549, 0
600.000689, 10.000009, 91491, 91491, 0
610.000648, 9.999959, 92403, 92403, 0
620.000659, 10.000011, 91308, 91308, 0
630.000726, 10.000067, 92121, 92121, 0
640.000691, 9.999965, 83420, 83420, 0
650.000658, 9.999967, 87494, 87494, 0
660.000644, 9.999986, 88382, 88382, 0
670.000666, 10.000022, 90281, 90281, 0
680.000748, 10.000082, 91044, 91044, 0
690.001193, 10.000445, 91380, 91380, 0
700.000003, 9.99881, 92615, 92615, 0
710.000819, 10.000816, 90597, 90597, 0
720.000672, 9.999853, 89625, 89625, 0
730.000646, 9.999974, 91208, 91208, 0
740.000724, 10.000078, 89761, 89761, 0
750.000655, 9.999931, 85540, 85540, 0
760.000647, 9.999992, 87924, 87924, 0
770.000665, 10.000018, 90482, 90482, 0
780.000671, 10.000006, 93260, 93260, 0
790.000677, 10.000006, 90860, 90860, 0
800.00065, 9.999973, 90775, 90775, 0
810.000646, 9.999996, 92525, 92525, 0
820.00064, 9.999994, 87186, 87186, 0
830.000683, 10.000043, 91711, 91711, 0
840.000679, 9.999996, 84841, 84841, 0
850.000671, 9.999992, 88938, 88938, 0
860.000772, 10.000101, 89956, 89956, 0
870.000698, 9.999926, 89114, 89114, 0
880.000691, 9.999993, 90043, 90043, 0
890.000667, 9.999976, 89736, 89736, 0
900.00065, 9.999983, 91494, 91494, 0
910.000655, 10.000005, 90166, 90166, 0
920.000642, 9.999987, 90594, 90594, 0
930.000646, 10.000004, 91795, 91795, 0
940.000689, 10.000043, 87988, 87988, 0
950.000743, 10.000054, 88495, 88495, 0
960.000658, 9.999915, 89917, 89917, 0
970.000692, 10.000034, 89120, 89120, 0
980.000659, 9.999967, 91081, 91081, 0
990.000656, 9.999997, 92891, 92891, 0
1000.000708, 10.000052, 91503, 91503, 0
1010.000693, 9.999985, 90746, 90746, 0
1020.000658, 9.999965, 88936, 88936, 0
1030.000701, 10.000043, 86815, 86815, 0
1040.000649, 9.999948, 88362, 88362, 0
1050.000649, 10.0, 90175, 90175, 0
1060.00066, 10.000011, 88068, 88068, 0
1070.000649, 9.999989, 89294, 89294, 0
1080.000646, 9.999997, 88297, 88297, 0
1090.000665, 10.000019, 92634, 92634, 0
1100.000693, 10.000028, 88807, 88807, 0
1110.00067, 9.999977, 90219, 90219, 0
1120.000649, 9.999979, 91138, 91138, 0
1130.00066, 10.000011, 85976, 85976, 0
1140.000669, 10.000009, 89792, 89792, 0
1150.000646, 9.999977, 92082, 92082, 0
1160.000642, 9.999996, 89873, 89873, 0
1170.000649, 10.000007, 91564, 91564, 0
1180.000649, 10.0, 86821, 86821, 0
1190.000654, 10.000005, 89448, 89448, 0
1200.000648, 9.999994, 91058, 91058, 0
1210.000675, 10.000027, 89056, 89056, 0
1220.000675, 10.0, 90125, 90125, 0
1230.000684, 10.000009, 89693, 89693, 0
1240.000649, 9.999965, 89201, 89201, 0
1250.000671, 10.000022, 91013, 91013, 0
