elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000006, 10.000006, 50453, 657, 1712.1, 1242, 3700, 5241, 12606, 24915, 0
20.000795, 10.000789, 39796, 551, 1961.5, 1273, 3981, 10466, 46737, 190592, 0
30.000787, 9.999992, 45006, 629, 2063.7, 1334, 4633, 10908, 29638, 186269, 0
40.000802, 10.000015, 47426, 671, 1738.7, 1276, 3699, 5231, 11787, 18814, 0
50.000807, 10.000005, 46297, 667, 1775.5, 1293, 3823, 5514, 12098, 27231, 0
60.000781, 9.999974, 47066, 667, 1748.9, 1281, 3757, 5363, 11314, 19385, 0
70.000791, 10.00001, 46603, 669, 1816.3, 1307, 3950, 5696, 14087, 201458, 0
80.000784, 9.999993, 46839, 651, 1714.7, 1275, 3664, 5227, 11193, 16742, 0
90.000853, 10.000069, 46550, 626, 1738.9, 1279, 3756, 5372, 11948, 17917, 0
100.000819, 9.999966, 47110, 659, 1772.0, 1293, 3849, 5347, 10804, 15175, 0
110.000813, 9.999994, 46740, 672, 1754.9, 1281, 3841, 5516, 11620, 16960, 0
120.000779, 9.999966, 46563, 672, 1736.3, 1283, 3752, 5219, 11126, 18299, 0
130.000772, 9.999993, 39555, 597, 1851.7, 1238, 3951, 7620, 49899, 107432, 0
140.000844, 10.000072, 35730, 595, 2032.3, 1228, 4151, 11175, 62640, 256118, 0
150.000831, 9.999987, 47046, 658, 1779.7, 1295, 3814, 5325, 12161, 25537, 0
160.000789, 9.999958, 46559, 640, 1788.6, 1294, 3869, 5529, 12429, 22492, 0
170.000812, 10.000023, 45947, 653, 1779.6, 1299, 3833, 5732, 12679, 40080, 0
180.000781, 9.999969, 45910, 653, 1779.3, 1304, 3808, 5587, 12286, 24426, 0
190.000844, 10.000063, 46565, 614, 1781.4, 1294, 3899, 5991, 11957, 24504, 0
200.000819, 9.999975, 46622, 664, 1748.2, 1283, 3747, 5284, 11258, 20844, 0
210.000833, 10.000014, 46439, 650, 1779.6, 1292, 3866, 5405, 11661, 17688, 0
220.000787, 9.999954, 46455, 652, 1788.4, 1302, 3867, 5703, 14321, 20297, 0
230.000792, 10.000005, 41684, 585, 1846.9, 1255, 3852, 5876, 40341, 299699, 0
