elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
9.999991, 9.999991, 49278, 1169, 8557.1, 2609, 47372, 57933, 68858, 80572, 0
20.000438, 10.000447, 48253, 1065, 8647.0, 2620, 48629, 60019, 70471, 80965, 0
30.000381, 9.999943, 47205, 1234, 8795.7, 2629, 49225, 63373, 74224, 97284, 0
40.000389, 10.000008, 48076, 1218, 8656.7, 2652, 48591, 59366, 70429, 89896, 0
50.000394, 10.000005, 47338, 1180, 8775.7, 2661, 48062, 61806, 74615, 86488, 0
60.000373, 9.999979, 47038, 1304, 8858.8, 2658, 49943, 62148, 74124, 89443, 0
70.000415, 10.000042, 46684, 1219, 8931.9, 2680, 49085, 60583, 71678, 204874, 0
80.000383, 9.999968, 46875, 1174, 8940.9, 2665, 50495, 63518, 75881, 87125, 0
90.00039, 10.000007, 45937, 1082, 9055.1, 2675, 49957, 65089, 80117, 102983, 0
100.000381, 9.999991, 46511, 1127, 9080.9, 2669, 49870, 63464, 76692, 123845, 0
110.000391, 10.00001, 46674, 1151, 8950.3, 2668, 49928, 62441, 71934, 203341, 0
120.000389, 9.999998, 46024, 1028, 9024.8, 2668, 50724, 64306, 79196, 255950, 0
130.000482, 10.000093, 46756, 1128, 8983.8, 2678, 50207, 63120, 77890, 104802, 0
140.000384, 9.999902, 46300, 1111, 9004.0, 2674, 49576, 59819, 71237, 112938, 0
150.000421, 10.000037, 46437, 1197, 8960.9, 2679, 50055, 60426, 72109, 100982, 0
160.00039, 9.999969, 47028, 1146, 8906.5, 2675, 49014, 62931, 75995, 203411, 0
170.000374, 9.999984, 47159, 1116, 8889.1, 2667, 49841, 64536, 78298, 94086, 0
180.000381, 10.000007, 46275, 1206, 8938.2, 2682, 50335, 61829, 78696, 113586, 0
190.000436, 10.000055, 46935, 1056, 8990.3, 2673, 49734, 63704, 75236, 92585, 0
200.000411, 9.999975, 47065, 1245, 8812.3, 2705, 48593, 61062, 80576, 205157, 0
210.000461, 10.00005, 46593, 1230, 8896.0, 2702, 48767, 60246, 77354, 125680, 0
220.000389, 9.999928, 46736, 1186, 8866.5, 2704, 48990, 63831, 81589, 109437, 0
230.000476, 10.000087, 47081, 1186, 8887.9, 2685, 48904, 62695, 76410, 137203, 0
240.000387, 9.999911, 46188, 1174, 8940.2, 2696, 48651, 60924, 76925, 202109, 0
250.000396, 10.000009, 46539, 1143, 9016.8, 2667, 49999, 64382, 73971, 204263, 0
260.000379, 9.999983, 46884, 1162, 8888.2, 2685, 49864, 63710, 73378, 85925, 0
270.00045, 10.000071, 46683, 1127, 8902.8, 2694, 49922, 64012, 77654, 103555, 0
