elapsed, window, total, successful, failed
9.999991, 9.999991, 99126, 99126, 0
20.000438, 10.000447, 96309, 96309, 0
30.000381, 9.999943, 94398, 94398, 0
40.000389, 10.000008, 96258, 96258, 0
50.000394, 10.000005, 94285, 94285, 0
60.000373, 9.999979, 93879, 93879, 0
70.000415, 10.000042, 93561, 93561, 0
80.000383, 9.999968, 93712, 93712, 0
90.00039, 10.000007, 92080, 92080, 0
100.000381, 9.999991, 93162, 93162, 0
110.000391, 10.00001, 93589, 93589, 0
120.000389, 9.999998, 92478, 92478, 0
130.000482, 10.000093, 93633, 93633, 0
140.000384, 9.999902, 93175, 93175, 0
150.000421, 10.000037, 92431, 92431, 0
160.00039, 9.999969, 93847, 93847, 0
170.000374, 9.999984, 93674, 93674, 0
180.000381, 10.000007, 92868, 92868, 0
190.000436, 10.000055, 93518, 93518, 0
200.000411, 9.999975, 94146, 94146, 0
210.000461, 10.00005, 92898, 92898, 0
220.000389, 9.999928, 93997, 93997, 0
230.000476, 10.000087, 93940, 93940, 0
240.000387, 9.999911, 92677, 92677, 0
250.000396, 10.000009, 92935, 92935, 0
260.000379, 9.999983, 93730, 93730, 0
270.00045, 10.000071, 93584, 93584, 0
280.000372, 9.999922, 94214, 94214, 0
290.000513, 10.000141, 93854, 93854, 0
300.000432, 9.999919, 92631, 92631, 0
310.000481, 10.000049, 92712, 92712, 0
320.000378, 9.999897, 93051, 93051, 0
330.000428, 10.00005, 92365, 92365, 0
340.000385, 9.999957, 93495, 93495, 0
350.000383, 9.999998, 93489, 93489, 0
360.000443, 10.00006, 92902, 92902, 0
370.000442, 9.999999, 93106, 93106, 0
380.000372, 9.99993, 92522, 92522, 0
390.000374, 10.000002, 93081, 93081, 0
400.000421, 10.000047, 93716, 93716, 0
410.000374, 9.999953, 93622, 93622, 0
420.00038, 10.000006, 94077, 94077, 0
430.000458, 10.000078, 94338, 94338, 0
440.00041, 9.999952, 93401, 93401, 0
450.000379, 9.999969, 92032, 92032, 0
460.000385, 10.000006, 94323, 94323, 0
470.000382, 9.999997, 92704, 92704, 0
480.000409, 10.000027, 93093, 93093, 0
490.00038, 9.999971, 92821, 92821, 0
500.000372, 9.999992, 93892, 93892, 0
510.000375, 10.000003, 93515, 93515, 0
520.000433, 10.000058, 92976, 92976, 0
530.000379, 9.999946, 94420, 94420, 0
540.000382, 10.000003, 92616, 92616, 0
550.000453, 10.000071, 92955, 92955, 0
560.000375, 9.999922, 93649, 93649, 0
570.000564, 10.000189, 92615, 92615, 0
580.000417, 9.999853, 93827, 93827, 0
590.000407, 9.99999, 94417, 94417, 0
600.000374, 9.999967, 93005, 93005, 0
610.00047, 10.000096, 94000, 94000, 0
620.000431, 9.999961, 93053, 93053, 0
630.000392, 9.999961, 93202, 93202, 0
640.000462, 10.00007, 93267, 93267, 0
650.000376, 9.999914, 93288, 93288, 0
660.000432, 10.000056, 93039, 93039, 0
670.000542, 10.00011, 92792, 92792, 0
680.000375, 9.999833, 94081, 94081, 0
690.000377, 10.000002, 93413, 93413, 0
700.000406, 10.000029, 94145, 94145, 0
710.000416, 10.00001, 93342, 93342, 0
720.000375, 9.999959, 92546, 92546, 0
730.000396, 10.000021, 94556, 94556, 0
740.000453, 10.000057, 93790, 93790, 0
750.000401, 9.999948, 93624, 93624, 0
760.000445, 10.000044, 92803, 92803, 0
770.000373, 9.999928, 94595, 94595, 0
780.00037, 9.999997, 92915, 92915, 0
790.000374, 10.000004, 92972, 92972, 0
800.000438, 10.000064, 93313, 93313, 0
810.000386, 9.999948, 93926, 93926, 0
820.000388, 10.000002, 92566, 92566, 0
830.000375, 9.999987, 93002, 93002, 0
840.000447, 10.000072, 93083, 93083, 0
850.000438, 9.999991, 92936, 92936, 0
860.000462, 10.000024, 94467, 94467, 0
870.000384, 9.999922, 92970, 92970, 0
880.000376, 9.999992, 93377, 93377, 0
890.000501, 10.000125, 93816, 93816, 0
900.00039, 9.999889, 91796, 91796, 0
910.000393, 10.000003, 94021, 94021, 0
920.000431, 10.000038, 94175, 94175, 0
930.000453, 10.000022, 91546, 91546, 0
940.000432, 9.999979, 93699, 93699, 0
950.000438, 10.000006, 93348, 93348, 0
960.000467, 10.000029, 94062, 94062, 0
