elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000008, 10.000008, 49896, 675, 1707.0, 1247, 3674, 5121, 11573, 14561, 0
20.00042, 10.000412, 47446, 652, 1699.6, 1241, 3610, 5018, 11660, 19832, 0
30.00046, 10.00004, 47768, 654, 1712.7, 1244, 3648, 5002, 11867, 241375, 0
40.000377, 9.999917, 47328, 654, 1722.2, 1249, 3732, 5110, 10093, 13885, 0
50.000388, 10.000011, 46862, 677, 1707.8, 1249, 3715, 5012, 7924, 16192, 0
60.000421, 10.000033, 46884, 661, 1684.6, 1246, 3600, 4923, 9504, 20355, 0
70.000386, 9.999965, 46819, 641, 1748.7, 1262, 3799, 5235, 11489, 20355, 0
80.000604, 10.000218, 46412, 659, 1714.2, 1263, 3684, 5209, 11639, 22044, 0
90.000388, 9.999784, 46524, 631, 1712.8, 1263, 3684, 5213, 10950, 24341, 0
100.000438, 10.00005, 46536, 685, 1705.7, 1264, 3631, 5019, 10403, 24341, 0
110.000394, 9.999956, 46940, 637, 1733.8, 1267, 3714, 5251, 12523, 19493, 0
120.000373, 9.999979, 46710, 679, 1753.9, 1262, 3786, 5427, 11937, 21026, 0
130.000435, 10.000062, 46565, 623, 1744.0, 1271, 3767, 5287, 11423, 21026, 0
140.000401, 9.999966, 46904, 666, 1728.3, 1257, 3750, 5370, 11315, 15878, 0
150.000456, 10.000055, 46154, 626, 1722.2, 1263, 3712, 5251, 10309, 18179, 0
160.000371, 9.999915, 46170, 669, 1745.8, 1267, 3791, 5445, 11687, 22286, 0
170.000426, 10.000055, 46463, 676, 1739.2, 1269, 3740, 5251, 11421, 25457, 0
180.000408, 9.999982, 46025, 671, 1801.8, 1288, 3889, 5623, 10954, 240785, 0
190.000381, 9.999973, 46846, 668, 1760.2, 1282, 3793, 5398, 10492, 13748, 0
200.000402, 10.000021, 46978, 662, 1759.4, 1270, 3788, 5158, 11096, 22176, 0
210.000382, 9.99998, 46290, 668, 1779.4, 1279, 3832, 5558, 12595, 20938, 0
220.000384, 10.000002, 46779, 684, 1780.3, 1285, 3826, 5362, 12452, 22656, 0
230.00044, 10.000056, 46342, 682, 1750.4, 1276, 3738, 5163, 11806, 23493, 0
240.00038, 9.99994, 46527, 673, 1789.0, 1277, 3922, 5491, 11337, 24467, 0
250.000413, 10.000033, 46982, 660, 1743.3, 1278, 3808, 5275, 8531, 19363, 0
260.000417, 10.000004, 46772, 632, 1739.9, 1276, 3746, 5078, 10243, 17505, 0
270.000428, 10.000011, 46304, 656, 1765.7, 1276, 3768, 5464, 12291, 21623, 0
280.000424, 9.999996, 47025, 696, 1771.9, 1274, 3821, 5243, 11318, 21623, 0
290.000439, 10.000015, 46320, 688, 1780.9, 1288, 3867, 5451, 11720, 16177, 0
300.000422, 9.999983, 46179, 686, 1792.3, 1300, 3860, 5580, 12248, 17420, 0
310.000385, 9.999963, 45842, 644, 1743.0, 1277, 3702, 5250, 11504, 15991, 0
320.000437, 10.000052, 46810, 658, 1778.8, 1279, 3849, 5627, 12070, 24702, 0
330.000379, 9.999942, 46069, 663, 1737.2, 1283, 3724, 5224, 11229, 19326, 0
340.000382, 10.000003, 46083, 679, 1703.3, 1262, 3639, 5051, 9066, 29346, 0
350.000386, 10.000004, 46823, 651, 1728.7, 1259, 3712, 5275, 11504, 19093, 0
360.000474, 10.000088, 46214, 690, 1743.4, 1273, 3727, 5284, 11669, 19949, 0
370.000421, 9.999947, 46901, 677, 1740.2, 1271, 3725, 5257, 10542, 19949, 0
380.000395, 9.999974, 46833, 664, 1728.2, 1265, 3676, 5104, 11293, 201670, 0
390.000394, 9.999999, 45600, 681, 1760.9, 1276, 3795, 5395, 11902, 20608, 0
400.000398, 10.000004, 46644, 674, 1772.3, 1288, 3785, 5379, 11593, 15701, 0
410.000392, 9.999994, 46767, 682, 1731.7, 1272, 3731, 5167, 11568, 15715, 0
420.000427, 10.000035, 46222, 654, 1787.4, 1291, 3834, 5392, 12036, 15628, 0
430.000392, 9.999965, 46576, 662, 1780.2, 1277, 3803, 5539, 10712, 682488, 0
440.000418, 10.000026, 46164, 658, 1737.2, 1277, 3703, 5055, 9299, 19832, 0
450.00044, 10.000022, 46459, 658, 1737.0, 1277, 3759, 5098, 8797, 20795, 0
460.000403, 9.999963, 46523, 692, 1736.6, 1267, 3742, 5206, 10539, 20795, 0
470.004645, 10.004242, 47031, 645, 1759.3, 1269, 3835, 5213, 11285, 16279, 0
480.000394, 9.995749, 46313, 674, 1780.6, 1285, 3835, 5386, 11731, 18010, 0
490.000406, 10.000012, 46800, 664, 1756.1, 1282, 3751, 5279, 11257, 20224, 0
500.000398, 9.999992, 46399, 685, 1721.4, 1270, 3688, 5017, 8055, 14465, 0
510.000374, 9.999976, 46230, 695, 1758.3, 1280, 3771, 5308, 11763, 22850, 0
520.000382, 10.000008, 46882, 675, 1744.4, 1281, 3706, 5110, 9079, 18559, 0
530.000417, 10.000035, 46777, 661, 1732.2, 1270, 3721, 5023, 8748, 17383, 0
540.000384, 9.999967, 46396, 684, 1752.7, 1273, 3784, 5179, 8603, 19593, 0
550.000402, 10.000018, 47298, 678, 1742.5, 1276, 3748, 5191, 9582, 21293, 0
560.000449, 10.000047, 46833, 674, 1729.9, 1270, 3690, 5229, 10385, 19561, 0
570.00038, 9.999931, 46341, 666, 1781.9, 1277, 3878, 5290, 11544, 25641, 0
580.000429, 10.000049, 46871, 681, 1756.7, 1274, 3785, 5315, 11443, 25048, 0
590.000422, 9.999993, 46704, 677, 1765.5, 1279, 3770, 5256, 11691, 201942, 0
600.000386, 9.999964, 46290, 690, 1756.8, 1288, 3802, 5308, 10502, 24141, 0
610.000386, 10.0, 46391, 687, 1755.0, 1282, 3784, 5107, 11386, 20457, 0
620.007866, 10.00748, 47446, 679, 1745.3, 1278, 3758, 5090, 9034, 20835, 0
630.000441, 9.992575, 46030, 631, 1742.6, 1269, 3789, 5267, 10514, 19065, 0
640.000528, 10.000087, 46640, 660, 1777.3, 1286, 3833, 5303, 11255, 17621, 0
650.000385, 9.999857, 46441, 682, 1773.5, 1274, 3874, 5410, 11659, 16154, 0
660.000389, 10.000004, 46455, 682, 1774.4, 1284, 3861, 5451, 11305, 20469, 0
670.000398, 10.000009, 47143, 665, 1782.7, 1282, 3873, 5466, 11660, 18354, 0
680.000472, 10.000074, 46600, 696, 1772.7, 1274, 3846, 5334, 10304, 27366, 0
690.000389, 9.999917, 46712, 681, 1751.5, 1273, 3751, 5105, 11133, 17363, 0
700.000378, 9.999989, 46463, 692, 1774.7, 1274, 3853, 5352, 11739, 19171, 0
710.000384, 10.000006, 46751, 658, 1771.3, 1275, 3842, 5317, 11119, 203876, 0
720.000385, 10.000001, 46077, 679, 1788.3, 1290, 3876, 5650, 11701, 19501, 0
730.00039, 10.000005, 47103, 660, 1777.1, 1276, 3890, 5451, 11600, 22115, 0
740.000387, 9.999997, 46504, 658, 1753.8, 1272, 3833, 5324, 10401, 16382, 0
750.000428, 10.000041, 46023, 675, 1786.2, 1285, 3886, 5479, 12418, 18972, 0
760.000422, 9.999994, 46729, 655, 1750.2, 1277, 3787, 5344, 9295, 14497, 0
770.000376, 9.999954, 45806, 703, 1726.9, 1282, 3659, 4898, 7459, 19245, 0
780.000455, 10.000079, 46208, 686, 1737.1, 1270, 3758, 5315, 9173, 16790, 0
790.000415, 9.99996, 46659, 664, 1765.0, 1277, 3843, 5294, 10810, 16428, 0
800.000402, 9.999987, 46635, 683, 1765.7, 1278, 3836, 5322, 10478, 15272, 0
810.000402, 10.0, 46019, 690, 1780.9, 1288, 3828, 5413, 11304, 19389, 0
820.000438, 10.000036, 46629, 647, 1758.4, 1282, 3782, 5205, 10988, 26395, 0
830.000395, 9.999957, 46429, 674, 1764.9, 1286, 3829, 5324, 11108, 15592, 0
840.000377, 9.999982, 46635, 658, 1754.9, 1287, 3763, 5325, 10205, 18908, 0
850.000435, 10.000058, 47047, 650, 1752.4, 1274, 3797, 5306, 11474, 17625, 0
860.000373, 9.999938, 47236, 685, 1756.4, 1277, 3760, 5354, 11950, 31859, 0
870.000457, 10.000084, 46743, 641, 1753.8, 1276, 3764, 5173, 11768, 16490, 0
880.00048, 10.000023, 46690, 641, 1753.5, 1283, 3746, 5377, 10853, 16681, 0
890.000375, 9.999895, 46867, 680, 1768.7, 1279, 3856, 5309, 10348, 22860, 0
900.000541, 10.000166, 46497, 689, 1822.6, 1284, 3922, 6386, 15780, 27075, 0
910.000429, 9.999888, 46886, 642, 1819.7, 1287, 3937, 5890, 15171, 27075, 0
920.000468, 10.000039, 46127, 645, 1788.9, 1294, 3829, 5431, 11825, 21836, 0
930.00038, 9.999912, 46433, 673, 1789.8, 1297, 3871, 5454, 11601, 18813, 0
940.000372, 9.999992, 46849, 652, 1775.2, 1282, 3811, 5310, 12162, 23223, 0
