elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000091, 10.000091, 30153, 640, 8520.4, 4466, 28387, 37826, 46176, 69354, 0
20.000122, 10.000031, 29862, 626, 8293.6, 4009, 28902, 39252, 49903, 65660, 0
30.000093, 9.999971, 30077, 607, 8071.6, 3662, 28732, 40165, 50766, 64082, 0
40.000091, 9.999998, 30377, 599, 7699.3, 3174, 29206, 40444, 55402, 85286, 0
50.000081, 9.99999, 30855, 615, 7496.4, 2983, 29101, 39883, 49917, 62493, 0
60.000207, 10.000126, 31046, 543, 7252.3, 2704, 29482, 41673, 54784, 109128, 0
70.000174, 9.999967, 31422, 543, 7103.9, 2577, 28945, 41938, 56911, 109128, 0
80.000086, 9.999912, 32143, 600, 6764.7, 2343, 28778, 40342, 54225, 65717, 0
90.000123, 10.000037, 32221, 479, 6662.0, 2334, 28668, 40199, 52387, 70593, 0
100.000085, 9.999962, 33027, 479, 6505.6, 2340, 28254, 40039, 54802, 75029, 0
110.000107, 10.000022, 33586, 596, 6362.4, 2193, 28180, 38810, 54384, 79743, 0
120.000121, 10.000014, 33474, 510, 6190.7, 2078, 27980, 39413, 53468, 75805, 0
130.000117, 9.999996, 33696, 510, 6158.4, 2061, 28203, 42305, 61831, 78029, 0
140.000077, 9.99996, 34393, 561, 5870.6, 1947, 27569, 40149, 61431, 82138, 0
150.000149, 10.000072, 34425, 517, 5727.1, 1896, 26773, 39801, 57978, 78215, 0
160.000094, 9.999945, 34551, 517, 5716.5, 1889, 27521, 41974, 62745, 89569, 0
170.000121, 10.000027, 35001, 520, 5594.2, 1924, 26747, 39219, 56227, 87124, 0
180.000099, 9.999978, 34635, 603, 5511.1, 1832, 26871, 40789, 57787, 98799, 0
190.001462, 10.001363, 35143, 563, 5578.1, 1885, 27189, 40218, 57977, 98799, 0
200.000086, 9.998624, 35735, 564, 5377.1, 1775, 27000, 41097, 60859, 75854, 0
210.000099, 10.000013, 35350, 577, 5271.5, 1754, 26594, 41308, 59296, 79420, 0
220.000098, 9.999999, 35428, 519, 5321.8, 1740, 27536, 41595, 56274, 90477, 0
230.000078, 9.99998, 35955, 567, 5207.7, 1708, 27014, 40479, 56904, 78756, 0
240.000079, 10.000001, 36025, 594, 5297.5, 1766, 27192, 39583, 49738, 66375, 0
250.000108, 10.000029, 35664, 544, 5178.0, 1704, 26920, 41847, 60018, 85774, 0
260.000075, 9.999967, 36468, 579, 5124.2, 1697, 26963, 40316, 55799, 84878, 0
270.000092, 10.000017, 35982, 592, 5023.3, 1695, 26656, 38942, 52263, 71245, 0
280.000132, 10.00004, 36044, 522, 5193.4, 1719, 27171, 40451, 56438, 72082, 0
290.000074, 9.999942, 36426, 530, 5101.7, 1710, 26716, 38796, 52162, 75816, 0
300.000115, 10.000041, 36184, 584, 5060.4, 1703, 26676, 39860, 53455, 66152, 0
310.000077, 9.999962, 36118, 516, 5112.4, 1694, 27558, 40232, 54198, 95571, 0
320.000126, 10.000049, 36567, 541, 5067.3, 1674, 26759, 40173, 55514, 101639, 0
330.000082, 9.999956, 36580, 575, 4949.7, 1690, 25836, 39159, 55808, 76403, 0
340.000122, 10.00004, 35970, 524, 5070.2, 1701, 26274, 41461, 55858, 86107, 0
350.000079, 9.999957, 36627, 591, 4968.0, 1695, 26264, 39697, 54676, 77959, 0
360.000091, 10.000012, 36615, 539, 5014.8, 1736, 26174, 38951, 53258, 63872, 0
370.000122, 10.000031, 36213, 544, 4961.3, 1749, 25613, 39270, 55733, 86395, 0
380.00013, 10.000008, 36437, 551, 4957.1, 1701, 25961, 38594, 59951, 83095, 0
390.000085, 9.999955, 36618, 579, 4962.3, 1709, 25987, 38107, 54792, 75283, 0
400.00008, 9.999995, 36316, 559, 4845.1, 1692, 24708, 41261, 67930, 89739, 0
410.000082, 10.000002, 36745, 548, 4887.6, 1716, 25571, 39884, 59440, 82444, 0
420.000385, 10.000303, 37053, 574, 4983.7, 1748, 25466, 37407, 62090, 85432, 0
430.000118, 9.999733, 36395, 504, 5029.2, 1756, 25628, 39406, 56824, 83880, 0
440.000123, 10.000005, 36931, 539, 4889.2, 1706, 25467, 38754, 57337, 78323, 0
450.000088, 9.999965, 36888, 562, 4895.8, 1725, 25964, 39698, 52453, 201785, 0
460.000097, 10.000009, 36018, 529, 5045.4, 1751, 25993, 39987, 56346, 108900, 0
470.000119, 10.000022, 36654, 574, 4915.5, 1700, 25306, 39690, 57262, 75877, 0
480.000078, 9.999959, 36741, 560, 5084.0, 1706, 26305, 38756, 52966, 61810, 0
490.000094, 10.000016, 36279, 519, 4993.8, 1723, 25988, 39880, 56665, 88910, 0
500.000096, 10.000002, 37164, 545, 4936.3, 1717, 25851, 38693, 56996, 67898, 0
510.000126, 10.00003, 36738, 582, 4906.3, 1716, 25702, 38977, 53502, 66573, 0
520.000087, 9.999961, 36161, 580, 4979.9, 1723, 26090, 39707, 55421, 87861, 0
530.000101, 10.000014, 36797, 555, 5026.4, 1692, 26840, 38664, 52358, 62760, 0
540.00008, 9.999979, 36677, 587, 4982.3, 1696, 26670, 39560, 53522, 82567, 0
550.000075, 9.999995, 36266, 558, 5000.1, 1712, 27335, 41045, 55056, 99159, 0
560.000123, 10.000048, 37198, 517, 4864.0, 1670, 25674, 39292, 55873, 80267, 0
570.000103, 9.99998, 36652, 552, 4946.5, 1679, 26557, 40603, 54348, 70554, 0
580.00012, 10.000017, 36146, 554, 4981.9, 1679, 26796, 41029, 59281, 84423, 0
590.000098, 9.999978, 37099, 571, 4927.1, 1660, 26787, 40510, 55686, 92145, 0
600.000084, 9.999986, 36708, 582, 4867.3, 1660, 25941, 38298, 55446, 69123, 0
610.00011, 10.000026, 36537, 587, 4994.0, 1719, 26252, 41339, 58723, 90817, 0
620.000098, 9.999988, 37066, 574, 4941.9, 1705, 25975, 39041, 52881, 65789, 0
630.000084, 9.999986, 36825, 590, 4904.3, 1679, 25979, 39608, 55148, 82080, 0
640.000107, 10.000023, 36328, 522, 4969.2, 1690, 25795, 41114, 59841, 87054, 0
650.000117, 10.00001, 37064, 532, 4869.1, 1644, 26022, 39464, 56531, 71211, 0
660.000137, 10.00002, 36857, 532, 4825.4, 1649, 25712, 38833, 56250, 80309, 0
670.00018, 10.000043, 36593, 510, 4996.4, 1709, 26676, 40114, 57684, 85895, 0
680.000161, 9.999981, 36727, 599, 4886.5, 1688, 26007, 38268, 50900, 68250, 0
690.000154, 9.999993, 37048, 518, 4991.8, 1698, 26448, 39846, 58742, 71347, 0
700.000101, 9.999947, 36592, 578, 4965.7, 1714, 25732, 40044, 57766, 78377, 0
710.000133, 10.000032, 36972, 553, 4923.0, 1695, 25678, 38650, 55067, 66215, 0
720.000116, 9.999983, 37134, 569, 4835.0, 1690, 25337, 38785, 50156, 65458, 0
730.000368, 10.000252, 36180, 580, 4884.1, 1700, 25215, 41303, 56504, 77229, 0
740.000082, 9.999714, 36813, 593, 4872.6, 1693, 24783, 38300, 59889, 94622, 0
750.000154, 10.000072, 37225, 590, 4895.3, 1716, 25133, 37803, 55405, 85106, 0
760.000172, 10.000018, 36161, 540, 5017.3, 1766, 25958, 38501, 53389, 76000, 0
770.000134, 9.999962, 37324, 585, 4907.7, 1703, 25426, 38206, 51875, 76992, 0
780.000088, 9.999954, 36685, 565, 4841.3, 1699, 24646, 38520, 53060, 74214, 0
790.000108, 10.00002, 36314, 580, 4945.8, 1727, 25412, 39846, 56643, 90899, 0
800.000097, 9.999989, 36993, 551, 4917.8, 1706, 25927, 39551, 53867, 74495, 0
810.00011, 10.000013, 37063, 589, 4913.7, 1704, 25819, 37686, 52860, 64759, 0
820.000096, 9.999986, 36536, 549, 5060.7, 1767, 25806, 39048, 55577, 78835, 0
830.000087, 9.999991, 36964, 587, 4849.5, 1700, 25719, 37767, 54008, 90969, 0
840.000094, 10.000007, 37185, 577, 4930.3, 1743, 25065, 38322, 53453, 68482, 0
850.00011, 10.000016, 36189, 508, 4964.2, 1727, 25807, 39848, 57104, 96737, 0
860.000106, 9.999996, 36899, 591, 4864.0, 1689, 25541, 38457, 62498, 77193, 0
870.000078, 9.999972, 36913, 561, 4853.2, 1714, 25094, 39760, 55146, 68199, 0
880.000087, 10.000009, 36219, 549, 5058.7, 1783, 25823, 39941, 54274, 73166, 0
890.000094, 10.000007, 37017, 594, 4902.9, 1710, 25254, 40486, 57796, 104307, 0
900.00009, 9.999996, 37046, 584, 4858.2, 1699, 25174, 38426, 57003, 77580, 0
910.000076, 9.999986, 36147, 567, 4997.9, 1740, 25920, 40366, 58920, 74817, 0
920.000101, 10.000025, 37096, 524, 4867.9, 1699, 25309, 39555, 57128, 90688, 0
930.000086, 9.999985, 36698, 524, 4876.1, 1693, 25598, 38508, 55194, 82155, 0
940.000077, 9.999991, 36426, 523, 4920.7, 1739, 24903, 38116, 55995, 86330, 0
950.000099, 10.000022, 36925, 529, 4849.7, 1702, 25468, 38214, 58078, 73090, 0
960.000104, 10.000005, 36924, 595, 4910.6, 1706, 25119, 39757, 56139, 73003, 0
970.000184, 10.00008, 36061, 558, 5062.6, 1757, 25496, 39837, 59371, 100031, 0
