elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000091, 10.000091, 30126, 459, 2271.1, 1410, 5427, 6802, 8794, 18886, 0
20.000122, 10.000031, 29144, 451, 2253.1, 1429, 5314, 6734, 11330, 18155, 0
30.000093, 9.999971, 30052, 417, 2232.8, 1431, 5328, 6819, 9557, 15931, 0
40.000091, 9.999998, 30327, 449, 2157.2, 1409, 5108, 6581, 10041, 19587, 0
50.000081, 9.99999, 31037, 465, 2113.9, 1405, 4980, 6456, 10914, 20215, 0
60.000207, 10.000126, 31027, 451, 2083.8, 1417, 4840, 6383, 12058, 27889, 0
70.000174, 9.999967, 31403, 441, 2057.8, 1413, 4779, 6393, 12368, 27889, 0
80.000086, 9.999912, 32235, 445, 2017.7, 1402, 4721, 6125, 8555, 17261, 0
90.000123, 10.000037, 32357, 426, 2026.8, 1402, 4748, 6234, 11170, 17739, 0
100.000085, 9.999962, 32637, 426, 1990.0, 1395, 4599, 6058, 11298, 20537, 0
110.000107, 10.000022, 33630, 437, 1933.6, 1385, 4414, 5878, 8655, 23237, 0
120.000121, 10.000014, 33326, 452, 1905.8, 1386, 4309, 5694, 9353, 14073, 0
130.000117, 9.999996, 33395, 435, 1896.4, 1368, 4344, 6019, 10173, 16238, 0
140.000077, 9.99996, 34401, 439, 1849.6, 1363, 4181, 5469, 7833, 17266, 0
150.000149, 10.000072, 34460, 411, 1816.3, 1349, 4095, 5438, 7083, 12737, 0
160.000094, 9.999945, 34711, 427, 1831.0, 1363, 4127, 5523, 8838, 17328, 0
170.000121, 10.000027, 35322, 446, 1852.2, 1363, 4146, 5490, 7918, 19662, 0
180.000099, 9.999978, 35172, 438, 1777.2, 1339, 3986, 5240, 10320, 15012, 0
190.001462, 10.001363, 34850, 452, 1821.9, 1354, 4052, 5640, 9106, 20131, 0
200.000086, 9.998624, 35533, 434, 1756.4, 1340, 3874, 5205, 8953, 18505, 0
210.000099, 10.000013, 35402, 424, 1754.7, 1327, 3889, 5103, 11222, 14826, 0
220.000098, 9.999999, 35040, 414, 1759.1, 1340, 3880, 5292, 10426, 17831, 0
230.000078, 9.99998, 36237, 438, 1722.4, 1320, 3789, 5077, 9413, 21578, 0
