elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
9.99986, 9.99986, 31460, 592, 7802.8, 4610, 23950, 51824, 65675, 94802, 0
20.000261, 10.000401, 30964, 574, 7522.7, 4308, 22844, 49603, 69699, 95582, 0
30.000266, 10.000005, 31218, 623, 7311.6, 3772, 23012, 51067, 72145, 92780, 0
40.000295, 10.000029, 31484, 551, 7159.6, 3500, 22137, 57039, 79394, 113698, 0
50.000372, 10.000077, 32042, 623, 6975.2, 3323, 21644, 59000, 80829, 107868, 0
60.000309, 9.999937, 32247, 603, 6632.3, 3099, 21276, 57486, 79632, 96703, 0
70.000257, 9.999948, 32762, 540, 6400.6, 2923, 20770, 50456, 71738, 92812, 0
80.000287, 10.00003, 32960, 563, 6315.7, 2821, 21350, 50697, 72659, 93419, 0
90.000259, 9.999972, 33647, 600, 6157.0, 2756, 20652, 49781, 72095, 89631, 0
100.000263, 10.000004, 34320, 615, 6008.4, 2688, 20351, 48036, 67482, 92765, 0
110.000306, 10.000043, 34774, 545, 5849.1, 2604, 19470, 51081, 72501, 89240, 0
120.000254, 9.999948, 34251, 555, 5814.8, 2569, 20171, 47833, 68057, 107888, 0
130.000354, 10.0001, 35467, 594, 5593.6, 2519, 18734, 48074, 73687, 167877, 0
140.000282, 9.999928, 35691, 571, 5555.3, 2522, 18750, 45764, 72366, 90933, 0
150.000258, 9.999976, 35486, 544, 5400.5, 2424, 17984, 47244, 74946, 97266, 0
160.000311, 10.000053, 35951, 569, 5351.8, 2388, 18180, 49990, 71833, 122588, 0
170.000265, 9.999954, 36129, 594, 5286.5, 2379, 18025, 46784, 70926, 95850, 0
180.000254, 9.999989, 36075, 548, 5249.0, 2342, 18136, 46682, 76002, 118874, 0
190.000296, 10.000042, 36464, 608, 5170.2, 2339, 18466, 40273, 70825, 142672, 0
200.000284, 9.999988, 36770, 570, 5139.0, 2320, 17438, 45214, 71705, 95358, 0
210.000259, 9.999975, 36625, 546, 4992.8, 2293, 17328, 40752, 69253, 123994, 0
220.00029, 10.000031, 36618, 584, 5102.6, 2252, 17834, 45684, 72156, 109266, 0
230.000325, 10.000035, 37161, 576, 4985.9, 2270, 17188, 40460, 72732, 99830, 0
240.000276, 9.999951, 37444, 525, 4948.7, 2238, 17246, 42536, 72013, 110102, 0
250.000267, 9.999991, 37271, 580, 4916.7, 2234, 17388, 43432, 69115, 118767, 0
260.000326, 10.000059, 37379, 573, 4819.8, 2176, 16289, 42333, 85970, 110704, 0
270.000273, 9.999947, 37485, 584, 4737.6, 2175, 16705, 36768, 80962, 109476, 0
280.000354, 10.000081, 37119, 576, 4828.7, 2175, 16807, 43916, 76753, 115366, 0
290.000291, 9.999937, 37650, 569, 4742.1, 2183, 16294, 42874, 74943, 101193, 0
300.000304, 10.000013, 37686, 562, 4853.6, 2195, 16549, 45858, 72706, 103247, 0
310.000492, 10.000188, 37331, 565, 4818.4, 2201, 16305, 45702, 77566, 150809, 0
320.000299, 9.999807, 37883, 568, 4780.9, 2183, 16518, 44154, 73636, 93224, 0
330.000254, 9.999955, 37854, 575, 4724.1, 2175, 16485, 41194, 71290, 96035, 0
340.000254, 10.0, 37252, 552, 4774.4, 2189, 16550, 43255, 70814, 108655, 0
350.000299, 10.000045, 37755, 556, 4679.7, 2141, 16065, 43707, 74229, 107378, 0
360.000325, 10.000026, 37789, 579, 4761.7, 2162, 16297, 47877, 76901, 114064, 0
370.000271, 9.999946, 37475, 598, 4818.5, 2176, 17018, 45626, 72918, 151352, 0
380.00029, 10.000019, 37771, 598, 4718.5, 2158, 16025, 44828, 77607, 97374, 0
390.00027, 9.99998, 37911, 561, 4742.1, 2176, 16696, 43062, 69608, 92903, 0
400.00032, 10.00005, 37595, 562, 4784.8, 2191, 16277, 43307, 71719, 108119, 0
410.000267, 9.999947, 37941, 583, 4772.2, 2206, 16440, 39967, 72103, 91377, 0
420.000259, 9.999992, 38117, 577, 4710.0, 2167, 16008, 46440, 71934, 108495, 0
430.000264, 10.000005, 37471, 572, 4741.8, 2182, 16722, 39417, 69432, 98806, 0
440.000262, 9.999998, 38205, 559, 4682.4, 2143, 16142, 44587, 71545, 90571, 0
450.000295, 10.000033, 37892, 590, 4712.1, 2171, 16256, 44263, 69808, 102778, 0
460.000281, 9.999986, 37717, 561, 4713.2, 2171, 16178, 43870, 69028, 144336, 0
470.000274, 9.999993, 38247, 577, 4654.3, 2167, 16066, 43405, 71799, 94431, 0
480.000285, 10.000011, 38078, 577, 4684.3, 2149, 16265, 43658, 77266, 94047, 0
490.000283, 9.999998, 37567, 550, 4707.4, 2153, 16137, 47594, 77923, 150918, 0
500.000275, 9.999992, 38473, 554, 4565.9, 2127, 15621, 43921, 75781, 103124, 0
510.000267, 9.999992, 38069, 578, 4627.7, 2146, 15716, 44188, 76946, 117740, 0
520.000293, 10.000026, 37814, 578, 4673.5, 2126, 15718, 48384, 83384, 113558, 0
530.000253, 9.99996, 38081, 568, 4543.1, 2082, 15372, 45749, 82420, 105123, 0
540.000267, 10.000014, 37936, 550, 4720.5, 2142, 16074, 47710, 76637, 94856, 0
550.000325, 10.000058, 37570, 572, 4673.1, 2121, 16005, 44123, 77539, 155721, 0
560.000293, 9.999968, 37846, 573, 4656.4, 2136, 15914, 44161, 70425, 120092, 0
570.000255, 9.999962, 38391, 562, 4606.8, 2139, 15949, 43426, 71654, 95385, 0
580.000297, 10.000042, 38026, 585, 4650.6, 2131, 15902, 45643, 78778, 147575, 0
590.000253, 9.999956, 38013, 525, 4647.9, 2179, 16172, 41106, 74802, 96806, 0
600.000311, 10.000058, 37903, 577, 4647.3, 2145, 16082, 43680, 69627, 89902, 0
610.000299, 9.999988, 37834, 573, 4730.8, 2154, 16153, 42899, 77457, 104052, 0
620.000262, 9.999963, 38425, 587, 4568.5, 2119, 15804, 40712, 73404, 111636, 0
630.000271, 10.000009, 38054, 540, 4671.7, 2184, 16012, 44237, 70481, 88089, 0
