elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000136, 10.000136, 30149, 518, 2546.5, 2084, 5455, 7513, 12405, 19046, 0
20.000373, 10.000237, 28864, 471, 2560.8, 2110, 5506, 7590, 12533, 27071, 0
30.000113, 9.99974, 29916, 467, 2517.1, 2078, 5428, 7479, 12429, 27071, 0
40.000066, 9.999953, 30108, 424, 2526.6, 2088, 5411, 7578, 13616, 20641, 0
50.000072, 10.000006, 30446, 466, 2453.4, 2012, 5245, 7722, 14393, 29805, 0
60.000088, 10.000016, 30874, 466, 2399.5, 1997, 5133, 7243, 12400, 25687, 0
70.000076, 9.999988, 31328, 457, 2447.2, 2030, 5259, 7500, 13112, 25687, 0
80.000081, 10.000005, 31816, 408, 2400.1, 1966, 5190, 7747, 13913, 20339, 0
90.000071, 9.99999, 31959, 438, 2412.3, 1966, 5157, 7783, 16467, 29453, 0
100.000066, 9.999995, 32493, 429, 2385.6, 1967, 5103, 7412, 14199, 25546, 0
110.000092, 10.000026, 33033, 445, 2356.0, 1951, 4970, 7534, 14386, 25530, 0
120.000076, 9.999984, 33147, 458, 2345.8, 1941, 5024, 7259, 14023, 26416, 0
130.000156, 10.00008, 33371, 420, 2345.0, 1917, 5062, 7556, 14409, 44133, 0
140.000125, 9.999969, 33627, 439, 2305.1, 1903, 4916, 7139, 13747, 28138, 0
150.000083, 9.999958, 34497, 451, 2283.8, 1904, 4855, 6960, 12643, 29105, 0
160.000074, 9.999991, 34671, 416, 2268.8, 1884, 4849, 7003, 13548, 35805, 0
170.000065, 9.999991, 34466, 409, 2267.0, 1857, 4830, 7463, 14949, 21792, 0
180.000134, 10.000069, 34976, 454, 2246.6, 1858, 4797, 7106, 14172, 20192, 0
190.000101, 9.999967, 34861, 409, 2274.4, 1868, 4865, 7518, 15252, 24533, 0
200.000114, 10.000013, 34837, 455, 2227.7, 1841, 4810, 7050, 12261, 26851, 0
210.000086, 9.999972, 35331, 386, 2184.6, 1823, 4616, 6745, 12295, 18364, 0
220.000119, 10.000033, 34645, 393, 2233.8, 1832, 4780, 7125, 13737, 160281, 3010
230.000081, 9.999962, 35342, 428, 2216.9, 1828, 4701, 7325, 14280, 23686, 0
240.000097, 10.000016, 35633, 421, 2189.9, 1829, 4591, 6801, 13296, 20504, 0
250.000143, 10.000046, 35591, 429, 2165.5, 1795, 4560, 6861, 13468, 204944, 0
260.000137, 9.999994, 35557, 428, 2148.0, 1788, 4494, 6862, 13453, 23642, 0
270.000089, 9.999952, 36281, 450, 2140.7, 1779, 4530, 6734, 12640, 20743, 0
280.000064, 9.999975, 36025, 421, 2163.3, 1774, 4612, 7241, 14366, 20804, 0
