elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000136, 10.000136, 29733, 1171, 6274.2, 3927, 16207, 48301, 68248, 79642, 0
20.000373, 10.000237, 29278, 1278, 6317.1, 4011, 15331, 50779, 74757, 99233, 0
30.000113, 9.99974, 29765, 1318, 6444.1, 4056, 16722, 49587, 68244, 89601, 0
40.000066, 9.999953, 30095, 1276, 6436.6, 4064, 16041, 51703, 74446, 91193, 0
50.000072, 10.000006, 30353, 944, 6530.6, 4041, 15965, 57114, 80019, 103333, 0
60.000088, 10.000016, 31207, 1120, 6573.2, 3996, 16329, 58168, 87524, 111359, 0
70.000076, 9.999988, 31222, 1310, 6508.9, 4078, 15789, 55008, 74976, 92963, 0
80.000081, 10.000005, 31869, 1275, 6503.2, 4048, 16985, 51533, 79156, 168273, 0
90.000071, 9.99999, 32049, 1200, 6561.4, 4108, 16977, 51163, 69328, 82310, 0
100.000066, 9.999995, 32623, 1380, 6543.9, 4122, 16073, 55389, 72512, 136950, 0
110.000092, 10.000026, 32836, 1341, 6518.2, 4022, 16733, 55038, 71936, 142226, 0
120.000076, 9.999984, 33255, 1106, 6458.6, 4062, 16336, 52624, 75599, 211840, 0
130.000156, 10.00008, 33520, 1316, 6521.3, 4126, 16781, 50084, 66453, 99050, 0
140.000125, 9.999969, 33625, 1315, 6490.8, 4054, 16330, 53303, 74122, 128617, 0
150.000083, 9.999958, 34206, 1243, 6477.5, 4035, 16191, 53828, 74485, 205320, 0
160.000074, 9.999991, 34092, 1224, 6433.8, 4022, 16289, 53757, 81779, 107686, 0
170.000065, 9.999991, 34733, 1390, 6521.8, 4035, 16572, 55260, 85621, 106489, 0
180.000134, 10.000069, 35004, 1308, 6445.4, 3985, 16565, 53935, 74502, 87176, 0
190.000101, 9.999967, 34401, 1250, 6578.8, 4044, 17566, 50990, 80160, 115275, 0
200.000114, 10.000013, 35248, 1328, 6524.0, 4039, 16824, 54529, 81436, 154819, 0
210.000086, 9.999972, 35527, 1302, 6515.7, 4003, 16549, 57049, 81233, 211145, 0
220.000119, 10.000033, 34696, 832, 6537.2, 3991, 17046, 52746, 101658, 189535, 3122
230.000081, 9.999962, 35347, 1278, 6547.7, 4018, 16537, 56922, 87165, 102360, 0
240.000097, 10.000016, 35776, 1251, 6464.3, 4006, 16759, 55778, 74079, 92344, 0
250.000143, 10.000046, 35322, 1258, 6580.0, 3990, 16775, 62048, 80101, 109934, 0
260.000137, 9.999994, 35984, 1333, 6651.8, 3996, 17310, 60775, 77914, 151626, 0
270.000089, 9.999952, 36146, 1322, 6577.2, 3946, 16617, 61701, 85466, 105019, 0
280.000064, 9.999975, 35892, 1167, 6724.6, 3994, 17400, 63780, 82372, 109856, 0
290.000116, 10.000052, 36107, 1326, 6613.7, 3983, 16874, 60330, 83528, 159018, 0
300.000074, 9.999958, 36321, 1166, 6530.4, 3966, 16643, 59710, 78498, 91512, 0
310.000073, 9.999999, 35892, 1287, 6618.4, 3961, 16991, 60376, 85082, 105969, 0
320.000124, 10.000051, 36019, 1235, 6602.0, 4000, 17170, 62159, 87360, 118911, 0
330.000078, 9.999954, 36123, 1141, 6543.2, 4028, 17200, 54636, 81447, 104856, 0
340.000109, 10.000031, 35750, 1262, 6555.4, 4044, 16979, 54993, 90897, 124873, 0
350.000136, 10.000027, 35941, 1128, 6523.9, 4021, 17453, 53697, 78526, 140730, 0
360.000083, 9.999947, 36404, 1223, 6454.8, 3990, 16417, 56742, 88682, 106246, 0
370.000084, 10.000001, 35808, 757, 6530.1, 3969, 17312, 57201, 90702, 192873, 0
380.000098, 10.000014, 35842, 1181, 6377.0, 4028, 16376, 51079, 82246, 136966, 4197
390.000077, 9.999979, 36348, 1323, 6485.9, 3971, 17336, 53504, 78208, 94541, 0
400.000069, 9.999992, 36207, 1301, 6705.3, 3982, 17373, 63483, 82440, 126614, 0
410.000089, 10.00002, 36476, 1157, 6627.7, 3997, 16892, 61525, 83977, 148005, 0
420.000105, 10.000016, 36478, 1278, 6558.4, 3955, 16755, 64937, 85750, 203874, 0
430.000079, 9.999974, 36637, 1144, 6543.7, 3994, 17389, 57358, 86510, 110393, 0
440.000089, 10.00001, 36044, 876, 6701.2, 4023, 16676, 64387, 96811, 198630, 0
450.000101, 10.000012, 36546, 830, 6403.2, 3961, 16692, 54219, 81038, 204703, 0
460.000073, 9.999972, 36111, 1242, 6564.9, 4019, 16814, 57067, 86215, 138313, 0
470.000076, 10.000003, 36775, 1276, 6579.9, 4007, 17277, 57886, 75536, 90391, 0
480.00006, 9.999984, 37363, 1281, 6510.9, 3955, 17286, 58180, 80519, 205138, 0
490.000094, 10.000034, 36925, 1286, 6632.8, 3959, 17265, 60725, 88017, 135438, 0
500.000069, 9.999975, 36493, 1255, 6486.0, 3986, 16761, 53789, 82199, 145675, 0
510.000068, 9.999999, 37159, 1128, 6599.1, 3983, 16801, 60229, 77346, 97927, 0
520.000107, 10.000039, 36457, 1266, 6605.6, 3990, 17021, 59004, 81080, 118780, 0
530.000071, 9.999964, 36522, 1353, 6532.2, 3972, 16289, 60133, 91076, 133624, 0
540.000061, 9.99999, 36642, 1285, 6520.4, 4009, 16213, 60741, 82813, 112019, 0
550.000101, 10.00004, 36554, 1215, 6621.8, 4033, 16146, 62227, 82652, 119570, 0
560.000081, 9.99998, 36501, 1288, 6591.6, 3997, 16758, 59506, 87953, 149269, 0
570.000076, 9.999995, 36648, 1236, 6523.7, 3966, 17574, 55641, 84650, 112186, 0
580.000082, 10.000006, 36125, 783, 6601.2, 3909, 17319, 59426, 99522, 194171, 0
590.000074, 9.999992, 36351, 1262, 6633.4, 3992, 17382, 57828, 88362, 111559, 0
600.000062, 9.999988, 36482, 1177, 6586.7, 3962, 16558, 62698, 86201, 111078, 0
610.000135, 10.000073, 36270, 1177, 6568.9, 3981, 17072, 57913, 80644, 135062, 0
620.000072, 9.999937, 36597, 1285, 6695.7, 3934, 17770, 61944, 94470, 106417, 0
630.000112, 10.00004, 36835, 1271, 6617.0, 3938, 17775, 59455, 89992, 113211, 0
640.000074, 9.999962, 36301, 1350, 6605.3, 3959, 16899, 61313, 87711, 139880, 0
650.00013, 10.000056, 36695, 1248, 6637.4, 3991, 17123, 59996, 85702, 121676, 0
660.000083, 9.999953, 36469, 1266, 6586.1, 3981, 17036, 59837, 81790, 99867, 0
670.000224, 10.000141, 36258, 1204, 6727.1, 3983, 17435, 62874, 87665, 161090, 0
680.000089, 9.999865, 36318, 1226, 6548.6, 3956, 16550, 60829, 82991, 114381, 0
690.000192, 10.000103, 36613, 1190, 6588.7, 3950, 16459, 63706, 87921, 104829, 0
700.000063, 9.999871, 35987, 1058, 6729.2, 3981, 17752, 63719, 87576, 130098, 0
710.000123, 10.00006, 36283, 1151, 6601.2, 3993, 16520, 61137, 85015, 120215, 0
720.000112, 9.999989, 36515, 1325, 6658.8, 4005, 16987, 62278, 85416, 102773, 0
730.000066, 9.999954, 36406, 1326, 6675.1, 4049, 18093, 55326, 81059, 203298, 0
740.000213, 10.000147, 36616, 1232, 6613.1, 3994, 17034, 62287, 81930, 225729, 0
750.000077, 9.999864, 36150, 1246, 6491.2, 3972, 16787, 57092, 80201, 100511, 0
760.000117, 10.00004, 36057, 1350, 6521.1, 3988, 17307, 54474, 85534, 109964, 0
770.000101, 9.999984, 36328, 1345, 6533.4, 4024, 16557, 57415, 78678, 112989, 0
780.000079, 9.999978, 36720, 1336, 6504.4, 4013, 16589, 56830, 78954, 99669, 0
790.00007, 9.999991, 36257, 1226, 6631.1, 4019, 17740, 56969, 84393, 117611, 0
800.000067, 9.999997, 36547, 1226, 6611.2, 3962, 17781, 57570, 85256, 105612, 0
810.000078, 10.000011, 36626, 1271, 6550.6, 3941, 16884, 60519, 80561, 97316, 0
820.00006, 9.999982, 36384, 1364, 6657.8, 3968, 17648, 60012, 84898, 94166, 0
830.005612, 10.005552, 36768, 1379, 6563.2, 3979, 17306, 57995, 84112, 204361, 0
840.000071, 9.994459, 36932, 1301, 6590.2, 3950, 17178, 62014, 94509, 133345, 0
850.000114, 10.000043, 36125, 1177, 6688.6, 3933, 17241, 63712, 86166, 136502, 0
860.000067, 9.999953, 36092, 1082, 6698.5, 3979, 17590, 61312, 88288, 114059, 0
870.000106, 10.000039, 36375, 1419, 6562.1, 3986, 16628, 61495, 84527, 117092, 0
880.000096, 9.99999, 36099, 1115, 6660.2, 3963, 16853, 62603, 91713, 146353, 0
890.000101, 10.000005, 36291, 1227, 6648.4, 3989, 16708, 61287, 89850, 203546, 0
900.000204, 10.000103, 36445, 1304, 6483.4, 3995, 16689, 57773, 90416, 112533, 0
910.000073, 9.999869, 36224, 1289, 6532.4, 4002, 17301, 57276, 83840, 101458, 0
920.00009, 10.000017, 36556, 1330, 6653.1, 4031, 16948, 60172, 87494, 134886, 0
930.000088, 9.999998, 36878, 1229, 6638.8, 3981, 17128, 61208, 82412, 101771, 0
940.000087, 9.999999, 35986, 1302, 6562.8, 4003, 17038, 56047, 81009, 117978, 0
950.000102, 10.000015, 36492, 1179, 6542.0, 3964, 17480, 57714, 90875, 107743, 0
960.000101, 9.999999, 36624, 1075, 6550.7, 3974, 16804, 59513, 82723, 202645, 0
970.000069, 9.999968, 36149, 1268, 6643.6, 3999, 17345, 60971, 82308, 116164, 0
980.000061, 9.999992, 36522, 1313, 6727.6, 4067, 17916, 60605, 83707, 140024, 0
990.00009, 10.000029, 36614, 1277, 6534.0, 3963, 16928, 57512, 84838, 106250, 0
1000.000127, 10.000037, 36089, 1141, 6672.1, 3986, 17360, 62267, 81979, 102397, 0
1010.000111, 9.999984, 36453, 1237, 6642.2, 3979, 17229, 62540, 88461, 147386, 0
1020.000097, 9.999986, 36605, 1230, 6555.7, 3945, 16928, 62868, 85730, 98238, 0
1030.000063, 9.999966, 36206, 1331, 6663.5, 3950, 17243, 63682, 92232, 120350, 0
1040.000088, 10.000025, 36394, 1275, 6717.1, 3925, 17309, 65304, 89106, 203549, 0
1050.000146, 10.000058, 36681, 1121, 6494.0, 3955, 16858, 58161, 83026, 110252, 0
1060.000078, 9.999932, 36332, 1295, 6607.4, 4008, 17050, 61038, 87259, 128273, 0
1070.000085, 10.000007, 36454, 1191, 6658.9, 4008, 17405, 58281, 87576, 206674, 0
1080.000097, 10.000012, 36855, 1267, 6508.1, 4021, 16735, 56380, 76180, 93600, 0
1090.000099, 10.000002, 36332, 1322, 6481.2, 4019, 17425, 52246, 73599, 101309, 0
1100.000071, 9.999972, 36406, 1252, 6531.4, 4008, 17415, 55012, 86767, 102558, 0
1110.000059, 9.999988, 36514, 1273, 6561.8, 3993, 17636, 56731, 81757, 101862, 0
1120.000065, 10.000006, 36170, 1142, 6591.6, 4012, 17481, 56448, 77782, 138985, 0
1130.000091, 10.000026, 36546, 1161, 6585.9, 3971, 17063, 63006, 82631, 95511, 0
1140.000078, 9.999987, 36684, 1252, 6458.4, 3946, 16576, 62958, 85847, 104681, 0
1150.000069, 9.999991, 35859, 848, 6529.3, 3963, 16518, 60280, 100133, 189816, 1696
1160.00008, 10.000011, 36241, 1223, 6684.9, 4023, 16877, 64091, 91286, 146356, 0
1170.000089, 10.000009, 36640, 1222, 6610.3, 3945, 17238, 63784, 91416, 132413, 0
1180.000137, 10.000048, 36640, 1300, 6550.7, 3953, 16848, 62063, 86209, 130670, 0
1190.000092, 9.999955, 37058, 1110, 6694.3, 3956, 17294, 65546, 89179, 102157, 0
1200.000076, 9.999984, 36927, 1236, 6593.4, 3983, 17113, 60425, 86124, 105533, 0
1210.000131, 10.000055, 36729, 1132, 6627.9, 3959, 16869, 64441, 96162, 144902, 0
1220.000137, 10.000006, 36317, 1217, 6607.2, 3991, 17567, 60671, 84366, 206411, 0
1230.000129, 9.999992, 36663, 1219, 6560.1, 3974, 16817, 60812, 79926, 93948, 0
1240.000075, 9.999946, 35932, 1255, 6621.9, 3963, 17050, 62174, 79882, 93977, 0
1250.000068, 9.999993, 36177, 1310, 6726.0, 3993, 17410, 64102, 85821, 99676, 0
1260.000121, 10.000053, 36432, 1249, 6590.8, 4026, 16783, 56601, 77971, 111574, 0
1270.000109, 9.999988, 36601, 1148, 6620.3, 3978, 17532, 58426, 79090, 124352, 0
1280.000095, 9.999986, 36353, 1179, 6578.0, 4002, 17829, 57082, 77976, 120560, 0
1290.000063, 9.999968, 36727, 1235, 6512.8, 3964, 16868, 58751, 83821, 96642, 0
1300.000066, 10.000003, 36246, 1336, 6509.5, 3974, 16728, 58184, 84454, 118197, 0
1310.000101, 10.000035, 36298, 1181, 6643.6, 4006, 17254, 59688, 81054, 113072, 0
1320.00007, 9.999969, 36367, 761, 6514.7, 3945, 17426, 54138, 90932, 203741, 2764
1330.000069, 9.999999, 36152, 1210, 6513.1, 4039, 17595, 55503, 77734, 125388, 0
1340.000079, 10.00001, 36591, 1182, 6544.5, 3982, 17286, 58499, 84999, 109451, 0
1350.000089, 10.00001, 36842, 1173, 6545.7, 4008, 17172, 56875, 80009, 98728, 0
1360.000119, 10.00003, 36450, 953, 6511.7, 4013, 16813, 55597, 77432, 98728, 0
1370.000078, 9.999959, 36264, 1190, 6513.8, 4025, 16821, 55214, 79263, 93064, 0
1380.00009, 10.000012, 36744, 1248, 6492.4, 4004, 16802, 56642, 84289, 113227, 0
1390.000068, 9.999978, 35614, 946, 6638.6, 3977, 17387, 56962, 110797, 202960, 0
1400.000097, 10.000029, 35790, 1187, 6572.8, 3980, 16888, 59311, 94577, 126485, 3712
1410.000118, 10.000021, 36791, 1255, 6503.0, 3953, 16699, 57605, 86617, 126485, 0
1420.000111, 9.999993, 36060, 1138, 6605.7, 4005, 17298, 58983, 84466, 118810, 0
1430.000119, 10.000008, 36025, 1208, 6613.4, 3991, 17128, 62146, 83624, 116998, 0
1440.000075, 9.999956, 36603, 1277, 6611.5, 3958, 17143, 60410, 85811, 98020, 0
1450.000093, 10.000018, 36718, 1013, 6612.7, 4000, 17145, 60598, 88037, 135794, 0
1460.000059, 9.999966, 36267, 1184, 6642.0, 3971, 17115, 63015, 92782, 109961, 0
1470.000077, 10.000018, 36800, 1209, 6593.0, 3972, 17270, 59581, 78182, 203329, 0
1480.000073, 9.999996, 36566, 1163, 6617.4, 3971, 17345, 59872, 90290, 118033, 0
1490.000085, 10.000012, 36063, 1289, 6579.3, 4020, 17612, 56000, 81715, 116529, 0
1500.000077, 9.999992, 36653, 1237, 6507.7, 3957, 16631, 60409, 86731, 105912, 0
1510.000073, 9.999996, 36467, 1253, 6608.4, 3979, 17333, 57489, 86514, 112161, 0
1520.000099, 10.000026, 36215, 1279, 6506.6, 4018, 16311, 57597, 87485, 112463, 0
1530.000129, 10.00003, 36832, 1375, 6485.2, 4027, 17218, 53651, 74587, 97846, 0
1540.000073, 9.999944, 36310, 1237, 6651.5, 4037, 18059, 53747, 77607, 203826, 0
1550.00007, 9.999997, 36384, 1263, 6502.4, 4058, 16650, 55523, 77626, 111619, 0
1560.000079, 10.000009, 36695, 1282, 6500.7, 4002, 17215, 55569, 78065, 105103, 0
1570.000096, 10.000017, 36508, 1231, 6634.2, 3964, 17032, 60479, 84614, 102429, 0
1580.00013, 10.000034, 36284, 1143, 6614.5, 4023, 16555, 63495, 81980, 106361, 0
1590.000083, 9.999953, 35987, 792, 6523.9, 4010, 16840, 52688, 81860, 199832, 2612
1600.000068, 9.999985, 36304, 1317, 6568.6, 3993, 16490, 58604, 82757, 107979, 0
1610.000101, 10.000033, 36036, 1116, 6639.8, 4023, 16933, 58624, 78174, 101127, 0
1620.000077, 9.999976, 36424, 1259, 6473.3, 3980, 15813, 62792, 84993, 106619, 0
1630.000072, 9.999995, 36430, 1189, 6562.5, 3982, 16530, 62094, 96609, 121044, 0
1640.000068, 9.999996, 36313, 980, 6735.5, 4000, 16801, 64791, 88450, 166244, 0
1650.000073, 10.000005, 36784, 1198, 6517.0, 3950, 16714, 60174, 89015, 209137, 0
1660.000094, 10.000021, 36525, 1339, 6591.3, 3990, 16411, 62609, 87014, 209137, 0
1670.000078, 9.999984, 35868, 759, 6662.7, 3981, 16621, 61996, 102658, 204988, 0
1680.000144, 10.000066, 36152, 759, 6590.1, 3947, 16314, 64192, 104547, 204988, 1609
1690.000124, 9.99998, 36483, 1107, 6592.2, 3989, 17232, 57943, 84472, 119270, 0
1700.000136, 10.000012, 36146, 1219, 6685.7, 4001, 17106, 61528, 84592, 114657, 0
1710.000092, 9.999956, 36815, 1328, 6555.6, 3975, 16446, 61442, 81477, 105897, 0
1720.000208, 10.000116, 36543, 1087, 6529.2, 3984, 17017, 54488, 85304, 121230, 0
1730.00015, 9.999942, 36334, 1189, 6602.2, 4003, 17113, 61120, 79714, 98955, 0
1740.000171, 10.000021, 36922, 1119, 6545.9, 3984, 16604, 59765, 82372, 98587, 0
1750.000066, 9.999895, 36581, 1300, 6527.8, 3977, 17253, 56223, 83670, 119526, 0
1760.000112, 10.000046, 36222, 1296, 6553.9, 3987, 18107, 54681, 89823, 137783, 0
1770.000145, 10.000033, 36426, 1237, 6454.8, 4011, 16701, 52668, 80645, 96458, 0
1780.000072, 9.999927, 36379, 1336, 6576.3, 3993, 17229, 59142, 85280, 106719, 0
1790.000105, 10.000033, 36406, 1175, 6600.2, 4041, 17475, 58105, 76878, 102944, 0
1800.00008, 9.999975, 36815, 1339, 6506.7, 3960, 16552, 60974, 84834, 104622, 0
1801.00406, 1.00398, 3374, 1141, 6486.9, 3951, 16277, 61887, 85666, 104622, 0
