elapsed, window, total, successful, failed
10.000136, 10.000136, 90202, 90202, 0
20.000373, 10.000237, 87578, 87578, 0
30.000113, 9.99974, 89572, 89572, 0
40.000066, 9.999953, 90236, 90236, 0
50.000072, 10.000006, 91354, 91354, 0
60.000088, 10.000016, 92888, 92888, 0
70.000076, 9.999988, 93849, 93849, 0
80.000081, 10.000005, 95277, 95277, 0
90.000071, 9.99999, 95856, 95856, 0
100.000066, 9.999995, 98033, 98033, 0
110.000092, 10.000026, 99107, 99107, 0
120.000076, 9.999984, 99598, 99598, 0
130.000156, 10.00008, 100546, 100546, 0
140.000125, 9.999969, 101396, 101396, 0
150.000083, 9.999958, 102512, 102512, 0
160.000074, 9.999991, 103221, 103221, 0
170.000065, 9.999991, 103498, 103498, 0
180.000134, 10.000069, 104617, 104617, 0
190.000101, 9.999967, 104041, 104041, 0
200.000114, 10.000013, 105457, 105457, 0
210.000086, 9.999972, 105787, 105787, 0
220.000119, 10.000033, 113416, 104217, 9199
230.000081, 9.999962, 106082, 106082, 0
240.000097, 10.000016, 107051, 107051, 0
250.000143, 10.000046, 106768, 106768, 0
260.000137, 9.999994, 107718, 107718, 0
270.000089, 9.999952, 108444, 108444, 0
280.000064, 9.999975, 107730, 107730, 0
290.000116, 10.000052, 107477, 107477, 0
300.000074, 9.999958, 108815, 108815, 0
310.000073, 9.999999, 107695, 107695, 0
320.000124, 10.000051, 108301, 108301, 0
330.000078, 9.999954, 108713, 108713, 0
340.000109, 10.000031, 107788, 107788, 0
350.000136, 10.000027, 108158, 108158, 0
360.000083, 9.999947, 109108, 109108, 0
370.000084, 10.000001, 107386, 107386, 0
380.000098, 10.000014, 120280, 107622, 12658
390.000077, 9.999979, 108287, 108287, 0
400.000069, 9.999992, 109563, 109563, 0
410.000089, 10.00002, 109425, 109425, 0
420.000105, 10.000016, 109358, 109358, 0
430.000079, 9.999974, 108997, 108997, 0
440.000089, 10.00001, 108665, 108665, 0
450.000101, 10.000012, 110248, 110248, 0
460.000073, 9.999972, 108469, 108469, 0
470.000076, 10.000003, 110736, 110736, 0
480.00006, 9.999984, 111504, 111504, 0
490.000094, 10.000034, 110824, 110824, 0
500.000069, 9.999975, 110389, 110389, 0
510.000068, 9.999999, 111375, 111375, 0
520.000107, 10.000039, 109966, 109966, 0
530.000071, 9.999964, 109142, 109142, 0
540.000061, 9.99999, 109315, 109315, 0
550.000101, 10.00004, 109004, 109004, 0
560.000081, 9.99998, 109285, 109285, 0
570.000076, 9.999995, 109527, 109527, 0
580.000082, 10.000006, 108034, 108034, 0
590.000074, 9.999992, 108771, 108771, 0
600.000062, 9.999988, 110016, 110016, 0
610.000135, 10.000073, 109349, 109349, 0
620.000072, 9.999937, 109670, 109670, 0
630.000112, 10.00004, 111094, 111094, 0
640.000074, 9.999962, 109362, 109362, 0
650.00013, 10.000056, 109694, 109694, 0
660.000083, 9.999953, 109482, 109482, 0
670.000224, 10.000141, 108852, 108852, 0
680.000089, 9.999865, 109462, 109462, 0
690.000192, 10.000103, 109841, 109841, 0
700.000063, 9.999871, 108463, 108463, 0
710.000123, 10.00006, 109594, 109594, 0
720.000112, 9.999989, 109636, 109636, 0
730.000066, 9.999954, 109213, 109213, 0
740.000213, 10.000147, 109560, 109560, 0
750.000077, 9.999864, 109663, 109663, 0
760.000117, 10.00004, 108849, 108849, 0
770.000101, 9.999984, 109234, 109234, 0
780.000079, 9.999978, 109773, 109773, 0
790.00007, 9.999991, 109360, 109360, 0
800.000067, 9.999997, 109009, 109009, 0
810.000078, 10.000011, 109872, 109872, 0
820.00006, 9.999982, 108407, 108407, 0
830.005612, 10.005552, 109417, 109417, 0
840.000071, 9.994459, 109855, 109855, 0
850.000114, 10.000043, 108277, 108277, 0
860.000067, 9.999953, 109264, 109264, 0
870.000106, 10.000039, 109529, 109529, 0
880.000096, 9.99999, 108947, 108947, 0
890.000101, 10.000005, 108926, 108926, 0
900.000204, 10.000103, 109703, 109703, 0
910.000073, 9.999869, 108338, 108338, 0
920.00009, 10.000017, 109488, 109488, 0
930.000088, 9.999998, 110072, 110072, 0
940.000087, 9.999999, 108173, 108173, 0
950.000102, 10.000015, 108743, 108743, 0
960.000101, 9.999999, 109782, 109782, 0
970.000069, 9.999968, 108724, 108724, 0
980.000061, 9.999992, 109139, 109139, 0
990.00009, 10.000029, 109735, 109735, 0
1000.000127, 10.000037, 108819, 108819, 0
1010.000111, 9.999984, 109042, 109042, 0
1020.000097, 9.999986, 109527, 109527, 0
1030.000063, 9.999966, 108727, 108727, 0
1040.000088, 10.000025, 108824, 108824, 0
1050.000146, 10.000058, 110021, 110021, 0
1060.000078, 9.999932, 108533, 108533, 0
1070.000085, 10.000007, 109579, 109579, 0
1080.000097, 10.000012, 110205, 110205, 0
1090.000099, 10.000002, 109199, 109199, 0
1100.000071, 9.999972, 109351, 109351, 0
1110.000059, 9.999988, 109771, 109771, 0
1120.000065, 10.000006, 108898, 108898, 0
1130.000091, 10.000026, 109643, 109643, 0
1140.000078, 9.999987, 110151, 110151, 0
1150.000069, 9.999991, 113169, 108162, 5007
1160.00008, 10.000011, 107875, 107875, 0
1170.000089, 10.000009, 110160, 110160, 0
1180.000137, 10.000048, 110745, 110745, 0
1190.000092, 9.999955, 110956, 110956, 0
1200.000076, 9.999984, 111134, 111134, 0
1210.000131, 10.000055, 109189, 109189, 0
1220.000137, 10.000006, 109579, 109579, 0
1230.000129, 9.999992, 109618, 109618, 0
1240.000075, 9.999946, 109211, 109211, 0
1250.000068, 9.999993, 108401, 108401, 0
1260.000121, 10.000053, 109479, 109479, 0
1270.000109, 9.999988, 109225, 109225, 0
1280.000095, 9.999986, 108783, 108783, 0
1290.000063, 9.999968, 109770, 109770, 0
1300.000066, 10.000003, 109058, 109058, 0
1310.000101, 10.000035, 108323, 108323, 0
1320.00007, 9.999969, 117106, 108882, 8224
1330.000069, 9.999999, 107832, 107832, 0
1340.000079, 10.00001, 109222, 109222, 0
1350.000089, 10.00001, 111330, 111330, 0
1360.000119, 10.00003, 110148, 110148, 0
1370.000078, 9.999959, 108609, 108609, 0
1380.00009, 10.000012, 110226, 110226, 0
1390.000068, 9.999978, 107748, 107748, 0
1400.000097, 10.000029, 119304, 108028, 11276
1410.000118, 10.000021, 110201, 110201, 0
1420.000111, 9.999993, 108297, 108297, 0
1430.000119, 10.000008, 108578, 108578, 0
1440.000075, 9.999956, 109950, 109950, 0
1450.000093, 10.000018, 109536, 109536, 0
1460.000059, 9.999966, 108998, 108998, 0
1470.000077, 10.000018, 110442, 110442, 0
1480.000073, 9.999996, 108777, 108777, 0
1490.000085, 10.000012, 108784, 108784, 0
1500.000077, 9.999992, 110209, 110209, 0
1510.000073, 9.999996, 109388, 109388, 0
1520.000099, 10.000026, 108962, 108962, 0
1530.000129, 10.00003, 109675, 109675, 0
1540.000073, 9.999944, 108882, 108882, 0
1550.00007, 9.999997, 108830, 108830, 0
1560.000079, 10.000009, 109967, 109967, 0
1570.000096, 10.000017, 109128, 109128, 0
1580.00013, 10.000034, 108152, 108152, 0
1590.000083, 9.999953, 115743, 108059, 7684
1600.000068, 9.999985, 108417, 108417, 0
1610.000101, 10.000033, 108342, 108342, 0
1620.000077, 9.999976, 109758, 109758, 0
1630.000072, 9.999995, 109365, 109365, 0
1640.000068, 9.999996, 108902, 108902, 0
1650.000073, 10.000005, 110220, 110220, 0
1660.000094, 10.000021, 109215, 109215, 0
1670.000078, 9.999984, 107719, 107719, 0
1680.000144, 10.000066, 113565, 108854, 4711
1690.000124, 9.99998, 108882, 108882, 0
1700.000136, 10.000012, 108433, 108433, 0
1710.000092, 9.999956, 110191, 110191, 0
1720.000208, 10.000116, 109425, 109425, 0
1730.00015, 9.999942, 108819, 108819, 0
1740.000171, 10.000021, 110575, 110575, 0
1750.000066, 9.999895, 109346, 109346, 0
1760.000112, 10.000046, 108338, 108338, 0
1770.000145, 10.000033, 109732, 109732, 0
1780.000072, 9.999927, 108939, 108939, 0
1790.000105, 10.000033, 109015, 109015, 0
1800.00008, 9.999975, 110008, 110008, 0
1801.00406, 1.00398, 8774, 8774, 0
