elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
9.999829, 9.999829, 30270, 637, 8054.8, 4579, 23378, 55721, 74955, 85478, 0
20.000226, 10.000397, 29411, 641, 8138.0, 4462, 23125, 59315, 86414, 108236, 0
30.00022, 9.999994, 29809, 613, 7878.9, 4304, 23011, 56327, 75124, 202616, 0
40.000233, 10.000013, 30087, 587, 7609.6, 3944, 22356, 56832, 82633, 111862, 0
50.000259, 10.000026, 30587, 552, 7398.2, 3521, 22459, 63892, 93468, 108104, 0
60.000236, 9.999977, 30799, 520, 7072.8, 3297, 21342, 62522, 89365, 117192, 0
70.000223, 9.999987, 31306, 570, 6972.2, 3329, 21104, 58563, 78222, 101124, 0
80.000288, 10.000065, 31591, 586, 6743.1, 3108, 21478, 55038, 81251, 170171, 0
90.000219, 9.999931, 31817, 539, 6659.6, 3122, 20904, 55661, 77306, 149042, 0
100.000286, 10.000067, 32925, 574, 6346.9, 2967, 19888, 56762, 79801, 149042, 0
110.000245, 9.999959, 33211, 553, 6320.3, 2883, 20021, 58388, 78663, 140660, 0
120.00026, 10.000015, 33232, 584, 6235.1, 2859, 20357, 54004, 80071, 105711, 0
130.000288, 10.000028, 33627, 577, 6081.0, 2829, 20166, 49512, 72869, 101298, 0
140.000274, 9.999986, 34102, 589, 5879.4, 2705, 19151, 53923, 76389, 118581, 0
150.000228, 9.999954, 33824, 546, 5869.5, 2722, 18873, 54183, 77845, 103976, 0
160.000212, 9.999984, 34473, 579, 5578.2, 2582, 18258, 52260, 87357, 129092, 0
170.000219, 10.000007, 34386, 555, 5625.1, 2553, 18839, 50192, 86420, 115191, 0
180.00022, 10.000001, 34560, 548, 5623.8, 2550, 19000, 51603, 76724, 99217, 0
190.000202, 9.999982, 34865, 534, 5524.4, 2541, 18823, 46162, 83035, 110343, 0
200.000242, 10.00004, 35257, 515, 5416.5, 2489, 18416, 46192, 84449, 157489, 0
210.000211, 9.999969, 34970, 557, 5415.2, 2473, 18456, 52238, 80867, 100500, 0
220.000254, 10.000043, 35202, 554, 5343.0, 2418, 17857, 47487, 87478, 214145, 1646
230.000234, 9.99998, 35194, 559, 5366.5, 2519, 17694, 50614, 85937, 220160, 0
240.00024, 10.000006, 35804, 574, 5264.1, 2419, 17966, 53488, 79810, 116285, 0
250.000205, 9.999965, 35913, 578, 5058.5, 2346, 17196, 53853, 81287, 116285, 0
260.000209, 10.000004, 36388, 574, 4945.6, 2273, 16678, 52281, 81625, 122922, 0
270.000224, 10.000015, 36322, 506, 4928.3, 2304, 16167, 54967, 88660, 118750, 0
280.000213, 9.999989, 36004, 589, 4887.8, 2274, 16550, 51212, 81334, 118775, 0
290.000255, 10.000042, 35972, 592, 4964.1, 2287, 16930, 53452, 86275, 158835, 0
300.000216, 9.999961, 36404, 543, 4961.6, 2298, 16797, 55871, 82082, 95712, 0
310.00023, 10.000014, 35955, 576, 5071.5, 2325, 17311, 50917, 89673, 105870, 0
320.000226, 9.999996, 35941, 513, 5074.6, 2304, 17161, 50738, 89265, 117945, 0
330.000209, 9.999983, 36364, 528, 5082.3, 2390, 17653, 45116, 79593, 105406, 0
340.000261, 10.000052, 36118, 532, 5150.1, 2372, 17578, 45875, 88088, 146609, 0
350.000221, 9.99996, 35809, 588, 5206.2, 2420, 17932, 42410, 81160, 141510, 0
360.00026, 10.000039, 36355, 587, 5020.6, 2345, 16861, 45527, 91037, 113607, 0
370.000313, 10.000053, 35757, 537, 4980.2, 2310, 17184, 47703, 83414, 198136, 0
380.000228, 9.999915, 36151, 553, 5031.3, 2350, 17437, 44103, 82538, 119214, 1570
390.000222, 9.999994, 36297, 560, 4975.6, 2286, 17282, 47711, 79354, 101178, 0
400.000219, 9.999997, 37062, 543, 4675.5, 2211, 16149, 38856, 83029, 134177, 0
410.00021, 9.999991, 36905, 581, 4640.9, 2211, 15859, 43596, 86281, 135445, 0
420.000242, 10.000032, 37185, 559, 4770.3, 2251, 16382, 41027, 87929, 113770, 0
430.000209, 9.999967, 36258, 512, 4925.4, 2276, 17353, 48755, 83663, 113467, 0
440.000238, 10.000029, 35877, 450, 4906.4, 2297, 16548, 43735, 95707, 209657, 0
450.000233, 9.999995, 36016, 420, 4910.9, 2273, 16896, 45341, 88244, 206675, 4138
460.000249, 10.000016, 35551, 543, 5107.5, 2347, 17209, 50011, 87591, 126902, 1659
470.000208, 9.999959, 36114, 572, 4992.4, 2316, 17177, 49473, 79118, 107594, 0
480.000213, 10.000005, 36268, 529, 5088.2, 2355, 17678, 47726, 79764, 111363, 0
490.000209, 9.999996, 36306, 520, 4950.1, 2297, 17229, 47487, 87581, 201944, 0
500.000247, 10.000038, 36179, 572, 5096.6, 2354, 17166, 52649, 85028, 141075, 0
510.000253, 10.000006, 36367, 531, 4986.6, 2313, 16709, 55477, 82098, 112520, 0
520.000235, 9.999982, 36323, 546, 4985.1, 2324, 17016, 51566, 79627, 139679, 0
530.00026, 10.000025, 36425, 578, 4994.8, 2300, 16806, 51760, 91612, 142736, 0
540.00024, 9.99998, 36664, 558, 4867.3, 2292, 16291, 48630, 83366, 116274, 0
550.000206, 9.999966, 36286, 540, 4943.6, 2341, 16441, 50338, 84376, 117840, 0
560.000214, 10.000008, 36233, 577, 4847.3, 2296, 16508, 47065, 89525, 151748, 0
570.000223, 10.000009, 36429, 577, 4978.0, 2284, 17124, 50597, 87182, 128733, 0
580.000208, 9.999985, 35642, 515, 4908.3, 2238, 16498, 48809, 102729, 208361, 1677
590.000212, 10.000004, 36239, 560, 5012.8, 2319, 17314, 48587, 85866, 116706, 0
600.00021, 9.999998, 36876, 491, 4889.5, 2259, 16470, 53605, 90246, 121422, 0
610.000222, 10.000012, 36386, 531, 4866.6, 2255, 17063, 47206, 81050, 142217, 0
620.000211, 9.999989, 36340, 517, 4874.5, 2226, 16710, 53944, 93720, 119666, 0
630.000267, 10.000056, 36908, 575, 4903.7, 2238, 16909, 47748, 84692, 122884, 0
640.000233, 9.999966, 36467, 549, 4978.5, 2286, 17073, 52042, 83784, 176544, 0
650.000244, 10.000011, 36192, 545, 4946.5, 2263, 16953, 51377, 89426, 116127, 0
660.000256, 10.000012, 36479, 548, 4911.2, 2271, 16856, 51186, 84248, 107856, 0
670.000234, 9.999978, 36335, 569, 4967.5, 2282, 16711, 53293, 85623, 172179, 0
680.000216, 9.999982, 36744, 528, 4966.6, 2290, 16872, 53565, 85072, 130801, 0
690.00024, 10.000024, 36586, 523, 4886.5, 2259, 16263, 57348, 90594, 123277, 0
700.000249, 10.000009, 36417, 486, 5012.4, 2273, 17275, 52725, 91538, 147610, 0
710.000234, 9.999985, 36466, 486, 4965.6, 2302, 16713, 54262, 85145, 113872, 0
720.000205, 9.999971, 36382, 578, 4912.4, 2279, 16631, 51390, 83567, 107155, 0
730.000216, 10.000011, 36453, 531, 4878.4, 2290, 17155, 43626, 77118, 132476, 0
740.000216, 10.0, 36487, 580, 4848.8, 2258, 16707, 50349, 82296, 142839, 0
750.000236, 10.00002, 36806, 532, 4916.4, 2285, 16914, 50094, 78327, 101058, 0
760.000219, 9.999983, 36391, 562, 4956.2, 2324, 17114, 47767, 86594, 119443, 0
770.00022, 10.000001, 36304, 545, 4957.5, 2345, 16656, 48638, 81554, 124668, 0
780.000209, 9.999989, 36524, 530, 4921.3, 2311, 16718, 47652, 80494, 99823, 0
790.000221, 10.000012, 36669, 571, 4946.7, 2311, 17014, 47763, 83128, 121958, 0
800.000209, 9.999988, 36213, 552, 4857.7, 2284, 16811, 45047, 83003, 110527, 0
810.00024, 10.000031, 36634, 515, 4933.0, 2300, 16564, 52049, 83527, 106732, 0
820.00026, 10.00002, 36310, 568, 4997.8, 2271, 17424, 50691, 86577, 126897, 0
830.000221, 9.999961, 36229, 572, 4954.8, 2312, 16813, 47842, 83603, 192312, 0
840.000206, 9.999985, 36269, 582, 4852.1, 2259, 16757, 44227, 90226, 137719, 0
850.00026, 10.000054, 35735, 565, 4972.4, 2237, 16844, 51573, 89246, 155933, 0
860.000319, 10.000059, 36584, 544, 4922.8, 2263, 16444, 48003, 86699, 131151, 0
870.000244, 9.999925, 36748, 569, 4926.0, 2271, 16612, 52428, 85001, 121489, 0
880.000219, 9.999975, 36399, 534, 4950.4, 2270, 16300, 54743, 91525, 168939, 0
890.00023, 10.000011, 36513, 547, 5005.6, 2327, 16740, 51213, 89715, 202723, 0
900.000216, 9.999986, 36658, 544, 4993.8, 2324, 17206, 47104, 90589, 124963, 0
910.00022, 10.000004, 36109, 553, 5073.8, 2325, 17503, 46235, 85819, 203538, 0
920.000316, 10.000096, 36442, 521, 4871.2, 2255, 16776, 47384, 85892, 114972, 0
930.00021, 9.999894, 36235, 547, 4982.0, 2282, 17122, 49748, 86397, 108005, 0
940.000898, 10.000688, 36289, 542, 5036.0, 2293, 17634, 47515, 82621, 201474, 0
950.000257, 9.999359, 36339, 564, 4989.7, 2280, 17410, 44571, 89954, 117416, 0
960.000219, 9.999962, 36476, 552, 4958.4, 2288, 16986, 48901, 84275, 111085, 0
970.000268, 10.000049, 36181, 573, 4981.1, 2305, 17302, 49154, 82607, 126553, 0
980.000373, 10.000105, 36327, 554, 4970.7, 2281, 17142, 48999, 84657, 113563, 0
990.000258, 9.999885, 36495, 570, 4985.9, 2309, 17049, 51004, 85316, 108777, 0
1000.00021, 9.999952, 36650, 522, 4970.2, 2290, 16752, 50587, 84749, 115299, 0
1010.000249, 10.000039, 36286, 557, 4931.1, 2293, 16665, 50324, 85518, 148165, 0
1020.000213, 9.999964, 36443, 555, 4924.4, 2278, 16546, 51815, 88909, 110249, 0
1030.000226, 10.000013, 36308, 593, 4984.7, 2281, 16920, 53070, 89293, 126565, 0
1040.000211, 9.999985, 36174, 582, 5016.8, 2253, 16886, 56548, 90561, 130645, 0
1050.000205, 9.999994, 36683, 530, 4903.3, 2281, 16791, 52683, 86295, 201837, 0
1060.000221, 10.000016, 36439, 609, 5013.9, 2285, 17139, 52652, 88892, 147020, 0
1070.000255, 10.000034, 36314, 566, 4994.7, 2264, 17204, 50998, 84339, 174981, 0
1080.00026, 10.000005, 36865, 547, 4873.5, 2293, 16767, 46056, 76795, 98637, 0
1090.000213, 9.999953, 36631, 580, 5043.5, 2341, 17887, 47934, 75170, 110950, 0
1100.000261, 10.000048, 36195, 574, 5052.8, 2339, 17627, 44170, 86209, 203291, 0
1110.000213, 9.999952, 36793, 549, 4862.1, 2271, 16898, 45082, 81995, 114334, 0
1120.000311, 10.000098, 36476, 541, 4974.9, 2356, 17238, 43205, 81211, 204999, 0
1130.000232, 9.999921, 36295, 562, 5017.2, 2311, 17329, 50195, 83737, 105933, 0
1140.000208, 9.999976, 36839, 552, 4775.7, 2232, 16477, 45459, 88901, 108665, 0
1150.000244, 10.000036, 35783, 503, 4907.8, 2271, 16286, 48036, 89483, 205010, 3286
1160.000355, 10.000111, 35962, 537, 5121.4, 2315, 17007, 53780, 88880, 168231, 0
1170.000215, 9.99986, 36724, 560, 4892.3, 2269, 16432, 50369, 92679, 127919, 0
1180.000237, 10.000022, 36548, 544, 4930.6, 2296, 16935, 53653, 88432, 203011, 0
1190.000214, 9.999977, 36585, 566, 4867.8, 2207, 16575, 54355, 91574, 106262, 0
1200.000213, 9.999999, 36797, 523, 4934.4, 2291, 17098, 50247, 86382, 100375, 0
1210.000242, 10.000029, 36149, 571, 4847.0, 2248, 16197, 46248, 96576, 144910, 0
1220.000205, 9.999963, 36335, 559, 4930.8, 2263, 16888, 51792, 88307, 138007, 0
1230.000216, 10.000011, 36629, 535, 4927.1, 2247, 17061, 51504, 83529, 105746, 0
1240.000216, 10.0, 36730, 556, 4933.3, 2303, 16799, 54024, 78372, 113545, 0
1250.000261, 10.000045, 35792, 512, 4972.8, 2263, 16854, 50496, 86836, 101822, 0
1260.000214, 9.999953, 36842, 588, 5006.9, 2347, 16941, 50897, 77937, 116629, 0
1270.000215, 10.000001, 36452, 560, 4985.8, 2289, 17092, 51670, 80000, 126975, 0
1280.000253, 10.000038, 36437, 561, 4978.2, 2306, 17129, 44460, 79012, 201931, 0
1290.000215, 9.999962, 36551, 602, 4927.2, 2277, 17026, 45290, 85438, 101943, 0
1300.000209, 9.999994, 36649, 563, 5017.0, 2329, 17232, 47696, 85450, 118904, 0
1310.000231, 10.000022, 35871, 528, 4912.7, 2315, 16976, 46381, 81117, 206109, 0
1320.000257, 10.000026, 36200, 545, 4839.5, 2286, 17028, 43901, 79922, 206769, 3530
1330.000221, 9.999964, 36170, 582, 5039.2, 2359, 17340, 48080, 82958, 135522, 0
1340.000686, 10.000465, 36171, 551, 5003.8, 2312, 17399, 49702, 88062, 133435, 0
1350.000223, 9.999537, 37368, 565, 4780.1, 2285, 16512, 41716, 81650, 222241, 0
1360.000214, 9.999991, 36819, 499, 4814.7, 2338, 16740, 42325, 74733, 111109, 0
1370.000241, 10.000027, 36490, 553, 4925.5, 2294, 17184, 48084, 80551, 203888, 0
1380.000248, 10.000007, 36768, 585, 4928.0, 2336, 16781, 42165, 82528, 121789, 0
1390.000209, 9.999961, 36283, 489, 4935.8, 2287, 16925, 45366, 93965, 162949, 0
1400.000214, 10.000005, 36467, 592, 4966.7, 2331, 16896, 42393, 88574, 201849, 1529
1410.000208, 9.999994, 37054, 572, 4771.9, 2244, 16335, 46822, 81883, 107316, 0
1420.000287, 10.000079, 36635, 508, 4782.5, 2286, 16405, 39537, 88532, 134663, 0
1430.000216, 9.999929, 36737, 561, 4851.9, 2250, 16616, 53856, 84006, 139013, 0
1440.00021, 9.999994, 36533, 553, 4898.8, 2296, 16885, 47919, 85001, 102922, 0
1450.000221, 10.000011, 36731, 535, 4826.8, 2252, 16455, 42155, 86201, 140541, 0
1460.000207, 9.999986, 36143, 560, 4908.4, 2266, 16839, 48638, 88275, 127586, 0
1470.000211, 10.000004, 36788, 552, 4795.4, 2233, 16740, 47219, 79877, 202510, 0
1480.000228, 10.000017, 36350, 544, 4908.6, 2259, 16893, 51187, 85220, 118267, 0
1490.000254, 10.000026, 36458, 569, 4929.4, 2287, 17396, 45769, 88891, 146498, 0
1500.00021, 9.999956, 36737, 539, 4923.1, 2255, 16775, 50212, 89263, 135992, 0
1510.000246, 10.000036, 36564, 561, 4887.6, 2276, 16903, 48045, 90115, 138146, 0
1520.000241, 9.999995, 36568, 591, 4995.3, 2312, 16910, 49670, 87167, 123362, 0
1530.000214, 9.999973, 36385, 568, 4937.3, 2323, 17321, 41499, 74730, 105899, 0
1540.000293, 10.000079, 36413, 568, 4992.2, 2314, 17453, 45270, 82223, 202737, 0
1550.000223, 9.99993, 36194, 522, 5030.4, 2364, 17340, 45216, 79111, 106210, 0
1560.000253, 10.00003, 36690, 542, 4924.5, 2317, 17166, 44353, 77501, 202992, 0
1570.000249, 9.999996, 36187, 561, 4825.9, 2312, 16350, 49264, 83129, 116166, 0
1580.000217, 9.999968, 35915, 581, 4960.3, 2276, 16747, 55590, 85117, 202255, 0
1590.000225, 10.000008, 36656, 414, 4932.9, 2300, 17283, 45948, 74710, 174323, 0
1600.000212, 9.999987, 36325, 540, 4946.2, 2289, 16717, 52079, 84604, 138076, 0
1610.000233, 10.000021, 36419, 534, 4904.5, 2266, 16439, 51308, 79286, 128759, 0
1620.000258, 10.000025, 37116, 565, 4776.7, 2264, 15896, 52066, 89337, 135040, 0
1630.000248, 9.99999, 36838, 577, 4702.3, 2242, 16025, 45889, 97971, 156994, 0
1640.000206, 9.999958, 36538, 542, 4751.7, 2233, 15987, 46352, 87176, 203707, 0
1650.000206, 10.0, 37104, 560, 4797.4, 2231, 16423, 44785, 89401, 110576, 0
1660.000239, 10.000033, 36261, 554, 4874.7, 2287, 16482, 49918, 85639, 146830, 0
1670.000224, 9.999985, 36027, 530, 4996.3, 2298, 16752, 49551, 104801, 218327, 0
1680.000219, 9.999995, 36849, 520, 4817.3, 2274, 16343, 49339, 87978, 123614, 0
1690.000219, 10.0, 36342, 581, 4885.1, 2276, 16840, 48853, 87180, 133436, 0
1700.000291, 10.000072, 36466, 547, 4904.1, 2238, 16725, 51609, 87584, 141724, 0
1710.000219, 9.999928, 36939, 516, 4730.0, 2221, 16146, 50097, 81587, 122120, 0
1720.000294, 10.000075, 36538, 587, 4761.4, 2255, 16652, 42592, 86900, 135338, 0
1730.000222, 9.999928, 36549, 579, 4802.6, 2265, 16566, 46391, 80778, 100549, 0
1740.000211, 9.999989, 36918, 567, 4811.6, 2276, 16312, 49805, 82350, 201401, 0
1750.000223, 10.000012, 36244, 558, 4927.5, 2302, 17215, 45514, 78935, 129011, 0
1760.000213, 9.99999, 36122, 562, 4983.3, 2292, 17790, 41769, 86993, 121652, 0
1770.000235, 10.000022, 36878, 599, 4983.5, 2350, 16741, 44467, 84228, 105339, 0
1780.000214, 9.999979, 36118, 543, 5036.6, 2301, 17214, 48597, 86386, 138397, 0
1790.00031, 10.000096, 36185, 560, 4909.0, 2332, 17289, 44004, 77766, 201951, 0
1800.000231, 9.999921, 36543, 542, 4847.9, 2251, 16459, 50274, 86121, 110560, 0
1801.003957, 1.003726, 2554, 542, 4856.7, 2248, 16244, 53418, 87012, 110560, 0
