elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000127, 10.000127, 27807, 1156, 6468.3, 3347, 23105, 33924, 42970, 48771, 0
20.000972, 10.000845, 27713, 1267, 6573.1, 3404, 23318, 37116, 50909, 61955, 0
30.00095, 9.999978, 27861, 1331, 6720.2, 3418, 24641, 38547, 55215, 70313, 0
40.000986, 10.000036, 28193, 1233, 6900.7, 3481, 25877, 38720, 51504, 86547, 0
50.000939, 9.999953, 28815, 1141, 6893.7, 3477, 26689, 40575, 53327, 68572, 0
60.000926, 9.999987, 28863, 1152, 6988.6, 3483, 27284, 40085, 51824, 62621, 0
70.00098, 10.000054, 29432, 1090, 7168.1, 3505, 29531, 45017, 66823, 102547, 0
80.000959, 9.999979, 29706, 1238, 7235.7, 3510, 28634, 44733, 55580, 67956, 0
90.000958, 9.999999, 30063, 1239, 7274.4, 3463, 30552, 46042, 56080, 63007, 0
100.000943, 9.999985, 29866, 1232, 7398.3, 3527, 30210, 47419, 71172, 94835, 0
110.000935, 9.999992, 30585, 1206, 7234.9, 3509, 30125, 44962, 55697, 81426, 0
120.000942, 10.000007, 30886, 1231, 7140.1, 3518, 29592, 40660, 54088, 67750, 0
130.000944, 10.000002, 30915, 1231, 7353.3, 3579, 29932, 42529, 58721, 85057, 0
140.00097, 10.000026, 31424, 1242, 7246.7, 3534, 29509, 43097, 55778, 74102, 0
150.000968, 9.999998, 31630, 1233, 7375.4, 3521, 32098, 43959, 59456, 72552, 0
160.001006, 10.000038, 31389, 1246, 7419.7, 3571, 31939, 46131, 62319, 98315, 0
170.000973, 9.999967, 32556, 1291, 7348.6, 3540, 31981, 43630, 53458, 69461, 0
180.000929, 9.999956, 32214, 1231, 7362.7, 3535, 31376, 46668, 62298, 83049, 0
190.000952, 10.000023, 32085, 1289, 7443.6, 3591, 31407, 45850, 61467, 88467, 0
200.000953, 10.000001, 32695, 1139, 7249.3, 3572, 29980, 45769, 63593, 88467, 0
210.000932, 9.999979, 32738, 1307, 7370.0, 3556, 31751, 49412, 59483, 73334, 0
220.000974, 10.000042, 32469, 1233, 7491.4, 3612, 32103, 46545, 61602, 87968, 0
230.000938, 9.999964, 33179, 1197, 7355.0, 3568, 31918, 46041, 60022, 67844, 0
240.000936, 9.999998, 33035, 1227, 7255.0, 3578, 30616, 42408, 56778, 67501, 0
250.000996, 10.00006, 32452, 1286, 7436.0, 3616, 31572, 44679, 59866, 91927, 0
260.001037, 10.000041, 33267, 1245, 7383.9, 3586, 31214, 47115, 59931, 82365, 0
270.000019, 9.998982, 33531, 1203, 7344.5, 3536, 32217, 45362, 59385, 71321, 0
280.001042, 10.001023, 32882, 1325, 7470.2, 3611, 31903, 44382, 59660, 91377, 0
290.000006, 9.998964, 33578, 1286, 7467.7, 3595, 32253, 45909, 58393, 72576, 0
300.001022, 10.001016, 33727, 1217, 7494.4, 3551, 33188, 45614, 59249, 70521, 0
310.001096, 10.000074, 33191, 1197, 7592.7, 3608, 32250, 47789, 65017, 81068, 0
319.999991, 9.998895, 33731, 1222, 7453.8, 3578, 32162, 45497, 58805, 72483, 0
330.000957, 10.000966, 33657, 1203, 7423.4, 3551, 32639, 47471, 59672, 70049, 0
340.000925, 9.999968, 33177, 1188, 7449.1, 3605, 31836, 43964, 62194, 93056, 0
350.000991, 10.000066, 33562, 1245, 7424.2, 3572, 31593, 43305, 51855, 62196, 0
360.001009, 10.000018, 33697, 1180, 7468.5, 3564, 32213, 45786, 56806, 65936, 0
