elapsed, window, total, successful, failed
10.000127, 10.000127, 84142, 84142, 0
20.000972, 10.000845, 82959, 82959, 0
30.00095, 9.999978, 84241, 84241, 0
40.000986, 10.000036, 84367, 84367, 0
50.000939, 9.999953, 86623, 86623, 0
60.000926, 9.999987, 86630, 86630, 0
70.00098, 10.000054, 87253, 87253, 0
80.000959, 9.999979, 89528, 89528, 0
90.000958, 9.999999, 89272, 89272, 0
100.000943, 9.999985, 90123, 90123, 0
110.000935, 9.999992, 92367, 92367, 0
120.000942, 10.000007, 92396, 92396, 0
130.000944, 10.000002, 92708, 92708, 0
140.00097, 10.000026, 94364, 94364, 0
150.000968, 9.999998, 95065, 95065, 0
160.001006, 10.000038, 94686, 94686, 0
170.000973, 9.999967, 97394, 97394, 0
180.000929, 9.999956, 96718, 96718, 0
190.000952, 10.000023, 96357, 96357, 0
200.000953, 10.000001, 97756, 97756, 0
210.000932, 9.999979, 97928, 97928, 0
220.000974, 10.000042, 97568, 97568, 0
230.000938, 9.999964, 99102, 99102, 0
240.000936, 9.999998, 99147, 99147, 0
250.000996, 10.00006, 98449, 98449, 0
260.001037, 10.000041, 100150, 100150, 0
270.000019, 9.998982, 99790, 99790, 0
280.001042, 10.001023, 99030, 99030, 0
290.000006, 9.998964, 100680, 100680, 0
300.001022, 10.001016, 100393, 100393, 0
310.001096, 10.000074, 99245, 99245, 0
319.999991, 9.998895, 101240, 101240, 0
330.000957, 10.000966, 100605, 100605, 0
340.000925, 9.999968, 99925, 99925, 0
350.000991, 10.000066, 101554, 101554, 0
360.001009, 10.000018, 101184, 101184, 0
370.000926, 9.999917, 100049, 100049, 0
380.000931, 10.000005, 101546, 101546, 0
390.000935, 10.000004, 101828, 101828, 0
400.000955, 10.00002, 100637, 100637, 0
410.000979, 10.000024, 101857, 101857, 0
420.000942, 9.999963, 101551, 101551, 0
430.000939, 9.999997, 100955, 100955, 0
440.001126, 10.000187, 102282, 102282, 0
450.000928, 9.999802, 101568, 101568, 0
460.000922, 9.999994, 101015, 101015, 0
470.00093, 10.000008, 102215, 102215, 0
480.000971, 10.000041, 101792, 101792, 0
490.000937, 9.999966, 100796, 100796, 0
500.001055, 10.000118, 102320, 102320, 0
510.000973, 9.999918, 102115, 102115, 0
520.000976, 10.000003, 101109, 101109, 0
530.000939, 9.999963, 102253, 102253, 0
540.000954, 10.000015, 102126, 102126, 0
550.000923, 9.999969, 100771, 100771, 0
560.000984, 10.000061, 101717, 101717, 0
570.000949, 9.999965, 101686, 101686, 0
580.000928, 9.999979, 100382, 100382, 0
590.000934, 10.000006, 101933, 101933, 0
600.000987, 10.000053, 101806, 101806, 0
610.000986, 9.999999, 100453, 100453, 0
620.000976, 9.99999, 101375, 101375, 0
630.00096, 9.999984, 101818, 101818, 0
640.000954, 9.999994, 100542, 100542, 0
650.001004, 10.00005, 101916, 101916, 0
660.001039, 10.000035, 101898, 101898, 0
