elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000021, 10.000021, 30875, 920, 5762.3, 3151, 18720, 28389, 37544, 52375, 0
20.000253, 10.000232, 30630, 1297, 5940.9, 3241, 19788, 29894, 42967, 48488, 0
30.009628, 10.009375, 30774, 1224, 6006.2, 3271, 20190, 32705, 44269, 52489, 0
40.000211, 9.990583, 31301, 1338, 6270.2, 3300, 22087, 33424, 49087, 74389, 0
50.000242, 10.000031, 31629, 1130, 6256.1, 3335, 22558, 34109, 45371, 63670, 0
60.000247, 10.000005, 32163, 1241, 6379.7, 3344, 23356, 36600, 49289, 66747, 0
70.000231, 9.999984, 32599, 1288, 6460.3, 3333, 23884, 40439, 57726, 91854, 0
80.000254, 10.000023, 33178, 1279, 6430.6, 3331, 24651, 38254, 51877, 66540, 0
90.000223, 9.999969, 33341, 1150, 6403.1, 3341, 24925, 36768, 45059, 58532, 0
100.000215, 9.999992, 33314, 1168, 6499.9, 3381, 24591, 39083, 55170, 96367, 0
110.000243, 10.000028, 34368, 1260, 6435.7, 3344, 24744, 38276, 49991, 57660, 0
120.00026, 10.000017, 34536, 1239, 6510.3, 3362, 26260, 37907, 47678, 53733, 0
130.000264, 10.000004, 34263, 1206, 6546.4, 3387, 25057, 38319, 53537, 97874, 0
140.000217, 9.999953, 35288, 1310, 6573.9, 3362, 26961, 39640, 52595, 62314, 0
150.000224, 10.000007, 35695, 1063, 6628.7, 3380, 26947, 42392, 53619, 67271, 0
160.00021, 9.999986, 35076, 1298, 6641.2, 3380, 27006, 40275, 50862, 85851, 0
170.000225, 10.000015, 36033, 1318, 6582.3, 3356, 27318, 41428, 52234, 66218, 0
180.000216, 9.999991, 36001, 1384, 6498.1, 3381, 25390, 39138, 50278, 62232, 0
190.00026, 10.000044, 35708, 1320, 6646.5, 3386, 26248, 40132, 54826, 96816, 0
200.000224, 9.999964, 36674, 1257, 6558.7, 3378, 26943, 38838, 51316, 60302, 0
210.00026, 10.000036, 36460, 1416, 6508.9, 3372, 26384, 37562, 47055, 56575, 0
220.000341, 10.000081, 36311, 1199, 6621.8, 3409, 25739, 40080, 60193, 79531, 0
230.000221, 9.99988, 36783, 1345, 6494.4, 3399, 26121, 38066, 47906, 54317, 0
240.000261, 10.00004, 36790, 1283, 6662.1, 3372, 27315, 43970, 61060, 77037, 0
250.000245, 9.999984, 36603, 1314, 6565.0, 3401, 25885, 40984, 56479, 96682, 0
260.000247, 10.000002, 37192, 1207, 6570.8, 3370, 27163, 40687, 52949, 60635, 0
