elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.387111, 10.387111, 71048, 110, 991.5, 427, 604, 741, 130034, 400219, 0
20.007676, 9.620565, 63397, 107, 1399.2, 424, 600, 751, 174272, 594899, 0
30.027587, 10.019911, 68467, 126, 1275.7, 420, 595, 738, 158666, 180121, 0
40.020408, 9.992821, 65601, 107, 1356.5, 420, 597, 806, 145342, 151355, 0
50.014102, 9.993694, 68140, 111, 1314.3, 420, 596, 745, 144919, 150430, 0
60.005132, 9.99103, 66659, 123, 1283.0, 415, 592, 740, 142802, 151223, 0
70.038071, 10.032939, 66611, 112, 1322.8, 423, 598, 780, 131196, 151223, 0
80.019526, 9.981455, 65785, 118, 1286.1, 425, 603, 785, 142554, 152872, 0
90.009389, 9.989863, 66887, 114, 1277.1, 422, 601, 744, 145291, 152377, 0
100.033121, 10.023732, 66292, 112, 1277.3, 422, 602, 786, 132035, 149321, 0
110.03053, 9.997409, 68416, 97, 1328.3, 422, 598, 797, 130894, 137257, 0
120.010332, 9.979802, 65873, 105, 1327.0, 418, 596, 756, 140353, 655048, 0
130.006295, 9.995963, 66101, 106, 1322.4, 424, 600, 757, 132602, 313146, 0
140.045515, 10.03922, 67320, 106, 1390.3, 423, 600, 765, 132717, 151073, 0
150.004847, 9.959332, 66532, 117, 1328.5, 420, 595, 750, 141433, 150747, 0
160.004104, 9.999257, 66371, 94, 1293.1, 421, 596, 733, 144182, 163264, 0
170.058995, 10.054891, 66658, 103, 1342.2, 423, 599, 816, 132636, 167099, 0
180.061129, 10.002134, 67202, 89, 1303.8, 423, 600, 780, 131840, 136910, 0
190.007567, 9.946438, 66394, 113, 1265.2, 423, 597, 740, 146065, 153630, 0
200.019627, 10.01206, 67011, 118, 1315.3, 419, 594, 780, 131573, 151900, 0
210.022533, 10.002906, 66545, 108, 1267.2, 421, 595, 761, 130980, 136998, 0
220.002704, 9.980171, 66186, 105, 1348.5, 423, 597, 764, 142904, 151808, 0
230.009527, 10.006823, 66966, 117, 1377.3, 422, 599, 764, 132881, 150664, 0
240.002584, 9.993057, 67063, 100, 1370.0, 424, 599, 761, 132499, 137578, 0
250.129087, 10.126503, 68063, 107, 1273.5, 423, 596, 738, 131973, 430557, 0
260.142236, 10.013149, 66016, 111, 1319.7, 424, 603, 759, 132361, 139994, 0
270.121189, 9.978953, 67303, 95, 1302.9, 422, 598, 765, 131679, 137189, 0
280.105074, 9.983885, 65750, 90, 1262.5, 425, 599, 754, 145835, 152990, 0
290.125147, 10.020073, 67263, 108, 1292.1, 423, 600, 780, 131945, 137678, 0
300.113155, 9.988008, 66557, 104, 1394.1, 419, 597, 831, 131775, 475393, 0
310.112023, 9.998868, 68318, 103, 1353.7, 411, 595, 752, 145028, 406671, 0
320.100496, 9.988473, 67361, 102, 1361.2, 413, 598, 829, 132584, 145139, 0
330.106562, 10.006066, 65621, 114, 1299.1, 426, 605, 798, 132734, 138279, 0
340.093035, 9.986473, 66943, 102, 1329.4, 422, 599, 748, 144620, 152213, 0
350.120552, 10.027517, 67540, 93, 1263.8, 418, 598, 779, 132077, 138104, 0
360.10995, 9.989398, 66243, 102, 1345.9, 422, 601, 798, 131741, 460334, 0
370.100044, 9.990094, 66455, 114, 1367.9, 420, 598, 749, 144455, 149707, 0
380.121814, 10.02177, 66795, 116, 1374.7, 426, 604, 830, 132749, 141191, 0
390.117457, 9.995643, 66548, 101, 1333.0, 425, 605, 794, 132820, 337718, 0
400.116867, 9.99941, 66894, 110, 1329.9, 424, 598, 750, 142578, 150278, 0
410.121166, 10.004299, 66157, 110, 1298.9, 421, 598, 794, 132136, 494041, 0
420.10927, 9.988104, 67272, 109, 1259.5, 420, 597, 767, 131699, 137029, 0
430.1116, 10.00233, 66826, 129, 1288.7, 424, 600, 766, 132381, 136926, 0
440.108075, 9.996475, 65376, 109, 1324.9, 427, 603, 801, 133763, 397703, 0
450.128867, 10.020792, 67318, 98, 1334.5, 422, 598, 745, 132207, 136108, 0
460.128733, 9.999866, 66408, 122, 1387.6, 426, 603, 758, 133291, 138147, 0
470.137888, 10.009155, 66954, 126, 1357.1, 422, 601, 759, 133127, 137829, 0
480.123199, 9.985311, 65948, 102, 1373.6, 424, 603, 753, 142689, 527179, 0
490.128791, 10.005592, 66820, 108, 1364.7, 424, 603, 804, 132246, 318150, 0
500.137887, 10.009096, 67036, 98, 1261.3, 421, 602, 774, 132018, 136668, 0
510.114782, 9.976895, 66908, 109, 1372.1, 421, 599, 756, 145092, 562111, 0
520.12385, 10.009068, 66720, 117, 1355.3, 424, 604, 816, 132277, 142116, 0
530.124605, 10.000755, 65717, 107, 1405.2, 423, 605, 1088, 132617, 138590, 0
540.09699, 9.972385, 66828, 120, 1360.0, 422, 601, 758, 145824, 464725, 0
550.12591, 10.02892, 66978, 117, 1402.1, 421, 599, 886, 132582, 149506, 0
560.09357, 9.96766, 65416, 114, 1308.8, 422, 598, 745, 145535, 150553, 0
570.114881, 10.021311, 67707, 111, 1385.2, 424, 600, 778, 132869, 144291, 0
580.118374, 10.003493, 67310, 112, 1323.9, 418, 598, 821, 131725, 522418, 0
590.116712, 9.998338, 67376, 114, 1318.0, 417, 596, 735, 142087, 147916, 0
600.122489, 10.005777, 66317, 104, 1370.1, 419, 598, 823, 132031, 144879, 0
610.120939, 9.99845, 66677, 129, 1382.2, 425, 603, 828, 132657, 137247, 0
620.1173, 9.996361, 66468, 105, 1327.7, 421, 598, 743, 142359, 150197, 0
630.112065, 9.994765, 65774, 90, 1367.7, 427, 605, 815, 132742, 140573, 0
640.120176, 10.008111, 68145, 103, 1371.6, 423, 602, 830, 132788, 137875, 0
650.092919, 9.972743, 65577, 109, 1356.6, 420, 602, 756, 145228, 616620, 0
660.102399, 10.00948, 66955, 107, 1326.5, 422, 600, 814, 132357, 147171, 0
