elapsed, window, total, successful, failed
10.387111, 10.387111, 143401, 143401, 0
20.007676, 9.620565, 127440, 127440, 0
30.027587, 10.019911, 136152, 136152, 0
40.020408, 9.992821, 130969, 130969, 0
50.014102, 9.993694, 137180, 137180, 0
60.005132, 9.99103, 132350, 132350, 0
70.038071, 10.032939, 133518, 133518, 0
80.019526, 9.981455, 131404, 131404, 0
90.009389, 9.989863, 133940, 133940, 0
100.033121, 10.023732, 133011, 133011, 0
110.03053, 9.997409, 137307, 137307, 0
120.010332, 9.979802, 131197, 131197, 0
130.006295, 9.995963, 131854, 131854, 0
140.045515, 10.03922, 135407, 135407, 0
150.004847, 9.959332, 132608, 132608, 0
160.004104, 9.999257, 133225, 133225, 0
170.058995, 10.054891, 132644, 132644, 0
180.061129, 10.002134, 134353, 134353, 0
190.007567, 9.946438, 132767, 132767, 0
200.019627, 10.01206, 133938, 133938, 0
210.022533, 10.002906, 133239, 133239, 0
220.002704, 9.980171, 132152, 132152, 0
230.009527, 10.006823, 133616, 133616, 0
240.002584, 9.993057, 133705, 133705, 0
250.129087, 10.126503, 135812, 135812, 0
260.142236, 10.013149, 131758, 131758, 0
270.121189, 9.978953, 134020, 134020, 0
280.105074, 9.983885, 131900, 131900, 0
290.125147, 10.020073, 134705, 134705, 0
300.113155, 9.988008, 132637, 132637, 0
310.112023, 9.998868, 136956, 136956, 0
320.100496, 9.988473, 134998, 134998, 0
330.106562, 10.006066, 131509, 131509, 0
340.093035, 9.986473, 135339, 135339, 0
350.120552, 10.027517, 134631, 134631, 0
360.10995, 9.989398, 131840, 131840, 0
370.100044, 9.990094, 133415, 133415, 0
380.121814, 10.02177, 133508, 133508, 0
390.117457, 9.995643, 132817, 132817, 0
400.116867, 9.99941, 134406, 134406, 0
410.121166, 10.004299, 132266, 132266, 0
420.10927, 9.988104, 134005, 134005, 0
430.1116, 10.00233, 133423, 133423, 0
440.108075, 9.996475, 131525, 131525, 0
450.128867, 10.020792, 134118, 134118, 0
460.128733, 9.999866, 132946, 132946, 0
470.137888, 10.009155, 133820, 133820, 0
480.123199, 9.985311, 132047, 132047, 0
490.128791, 10.005592, 133649, 133649, 0
500.137887, 10.009096, 134581, 134581, 0
510.114782, 9.976895, 132875, 132875, 0
520.12385, 10.009068, 133928, 133928, 0
530.124605, 10.000755, 131398, 131398, 0
540.09699, 9.972385, 134012, 134012, 0
550.12591, 10.02892, 134152, 134152, 0
560.09357, 9.96766, 130868, 130868, 0
570.114881, 10.021311, 135935, 135935, 0
580.118374, 10.003493, 133964, 133964, 0
