elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.147686, 10.147686, 73522, 99, 988.6, 414, 600, 734, 135992, 181545, 0
20.026343, 9.878657, 59562, 104, 1076.3, 408, 597, 729, 148269, 563908, 0
30.010288, 9.983945, 65718, 100, 1021.8, 413, 598, 729, 147412, 157939, 0
40.136995, 10.126707, 65338, 92, 1015.1, 415, 600, 725, 147560, 155356, 0
50.127021, 9.990026, 64741, 87, 1015.8, 418, 602, 728, 147508, 155167, 0
60.144846, 10.017825, 65011, 87, 1049.5, 417, 601, 721, 147700, 155359, 0
70.131533, 9.986687, 64094, 91, 1011.5, 417, 603, 725, 139678, 158781, 0
80.146154, 10.014621, 66074, 81, 1006.0, 412, 602, 729, 133440, 147086, 0
90.157462, 10.011308, 64187, 89, 1007.7, 417, 604, 735, 134378, 140084, 0
100.158088, 10.000626, 65012, 84, 1041.6, 417, 602, 728, 137539, 156179, 0
110.135713, 9.977625, 65901, 96, 1077.9, 417, 604, 744, 134285, 149530, 0
120.119977, 9.984264, 64625, 96, 1062.8, 416, 600, 734, 132838, 139515, 0
130.162315, 10.042338, 64981, 89, 1109.4, 414, 600, 730, 138528, 152790, 0
140.148129, 9.985814, 64981, 94, 1021.4, 419, 603, 734, 134740, 150602, 0
150.122763, 9.974634, 64522, 87, 1082.9, 417, 602, 744, 133816, 413847, 0
160.129662, 10.006899, 65455, 87, 1009.6, 415, 601, 725, 136180, 157364, 0
170.132028, 10.002366, 64065, 94, 1020.3, 417, 603, 735, 133969, 461669, 0
180.125576, 9.993548, 65276, 101, 1021.3, 415, 602, 725, 136857, 154150, 0
190.130795, 10.005219, 65040, 96, 1030.6, 413, 603, 732, 133994, 150391, 0
200.128311, 9.997516, 65516, 96, 1000.7, 414, 603, 730, 134148, 141671, 0
210.12733, 9.999019, 65396, 83, 1049.0, 413, 602, 721, 136988, 153612, 0
220.131354, 10.004024, 65640, 83, 1021.4, 414, 600, 730, 133647, 146913, 0
230.135631, 10.004277, 64836, 87, 1078.8, 416, 601, 732, 133440, 468969, 0
240.132105, 9.996474, 64941, 87, 999.5, 413, 598, 716, 147130, 156719, 0
250.138454, 10.006349, 65638, 96, 1022.6, 416, 603, 736, 134167, 152055, 0
260.139976, 10.001522, 64793, 90, 1044.6, 418, 602, 734, 133358, 140863, 0
270.139086, 9.99911, 65316, 98, 1041.3, 417, 603, 727, 146829, 156518, 0
280.144614, 10.005528, 63644, 85, 1011.3, 414, 600, 726, 134658, 154115, 0
290.145217, 10.000603, 65888, 84, 1085.3, 415, 603, 738, 134471, 140246, 0
300.160568, 10.015351, 64662, 90, 1027.6, 414, 601, 725, 149450, 589124, 0
310.152104, 9.991536, 62395, 90, 1036.1, 413, 605, 754, 135990, 246819, 0
320.132561, 9.980457, 65531, 95, 1008.4, 408, 599, 737, 134743, 139927, 0
